RG_SCORE,MODEL
14.51,r_1_S_0001_0001_0001
14.36,r_1_S_0002_0001_0001
14.433,r_1_S_0003_0001_0001
14.482000000000001,r_1_S_0004_0001_0001
14.412,r_1_S_0005_0001_0001
14.588,r_1_S_0006_0001_0001
14.464,r_1_S_0007_0001_0001
14.728,r_1_S_0008_0001_0001
14.520999999999999,r_1_S_0009_0001_0001
14.49,r_1_S_0010_0001_0001
14.565,r_1_S_0011_0001_0001
14.519,r_1_S_0012_0001_0001
14.535,r_1_S_0013_0001_0001
14.749,r_1_S_0014_0001_0001
14.45,r_1_S_0015_0001_0001
14.748,r_1_S_0016_0001_0001
14.477,r_1_S_0017_0001_0001
14.561,r_1_S_0018_0001_0001
14.527999999999999,r_1_S_0019_0001_0001
14.440999999999999,r_1_S_0020_0001_0001
14.467,r_1_S_0021_0001_0001
14.607000000000001,r_1_S_0022_0001_0001
14.539000000000001,r_1_S_0023_0001_0001
14.552999999999999,r_1_S_0024_0001_0001
14.488,r_1_S_0025_0001_0001
14.584000000000001,r_1_S_0026_0001_0001
14.616,r_1_S_0027_0001_0001
14.599,r_1_S_0028_0001_0001
14.49,r_1_S_0029_0001_0001
14.546,r_1_S_0030_0001_0001
14.445,r_1_S_0031_0001_0001
14.607999999999999,r_1_S_0032_0001_0001
14.509,r_1_S_0033_0001_0001
14.495999999999999,r_1_S_0034_0001_0001
14.504000000000001,r_1_S_0035_0001_0001
14.675,r_1_S_0036_0001_0001
14.495,r_1_S_0037_0001_0001
14.524000000000001,r_1_S_0038_0001_0001
14.542,r_1_S_0039_0001_0001
14.562999999999999,r_1_S_0040_0001_0001
14.588,r_1_S_0041_0001_0001
14.537,r_1_S_0042_0001_0001
14.558,r_1_S_0043_0001_0001
14.582,r_1_S_0044_0001_0001
14.532,r_1_S_0045_0001_0001
14.606,r_1_S_0046_0001_0001
14.439,r_1_S_0047_0001_0001
14.529000000000002,r_1_S_0048_0001_0001
14.437999999999999,r_1_S_0049_0001_0001
14.345999999999998,r_1_S_0050_0001_0001
14.672,r_1_S_0051_0001_0001
14.543,r_1_S_0052_0001_0001
14.672,r_1_S_0053_0001_0001
14.504000000000001,r_1_S_0054_0001_0001
14.527999999999999,r_1_S_0055_0001_0001
14.642999999999999,r_1_S_0056_0001_0001
14.467,r_1_S_0057_0001_0001
14.615,r_1_S_0058_0001_0001
14.520999999999999,r_1_S_0059_0001_0001
14.514000000000001,r_1_S_0060_0001_0001
