RG_SCORE,MODEL
20.081,r_1_S_0001_0001_0001
23.662,r_1_S_0002_0001_0001
31.941,r_1_S_0003_0001_0001
23.879,r_1_S_0004_0001_0001
43.105,r_1_S_0005_0001_0001
19.455,r_1_S_0006_0001_0001
21.096999999999998,r_1_S_0007_0001_0001
17.916,r_1_S_0008_0001_0001
18.826,r_1_S_0009_0001_0001
21.853,r_1_S_0010_0001_0001
19.089000000000002,r_1_S_0011_0001_0001
17.458,r_1_S_0012_0001_0001
26.253,r_1_S_0013_0001_0001
39.128,r_1_S_0014_0001_0001
18.238,r_1_S_0015_0001_0001
20.257,r_1_S_0016_0001_0001
46.629,r_1_S_0017_0001_0001
25.308000000000003,r_1_S_0018_0001_0001
20.289,r_1_S_0019_0001_0001
17.812,r_1_S_0020_0001_0001
30.034000000000002,r_1_S_0021_0001_0001
17.552,r_1_S_0022_0001_0001
17.604,r_1_S_0023_0001_0001
18.85,r_1_S_0024_0001_0001
25.359,r_1_S_0025_0001_0001
28.389,r_1_S_0026_0001_0001
32.114000000000004,r_1_S_0027_0001_0001
19.3,r_1_S_0028_0001_0001
21.035999999999998,r_1_S_0029_0001_0001
19.459,r_1_S_0030_0001_0001
18.262999999999998,r_1_S_0031_0001_0001
18.921,r_1_S_0032_0001_0001
17.31,r_1_S_0033_0001_0001
20.032,r_1_S_0034_0001_0001
17.747,r_1_S_0035_0001_0001
17.874000000000002,r_1_S_0036_0001_0001
18.222,r_1_S_0037_0001_0001
17.881,r_1_S_0038_0001_0001
17.734,r_1_S_0039_0001_0001
27.57,r_1_S_0040_0001_0001
19.840999999999998,r_1_S_0041_0001_0001
17.424,r_1_S_0042_0001_0001
18.242,r_1_S_0043_0001_0001
34.915,r_1_S_0044_0001_0001
17.41,r_1_S_0045_0001_0001
18.364,r_1_S_0046_0001_0001
17.52,r_1_S_0047_0001_0001
20.134,r_1_S_0048_0001_0001
17.66,r_1_S_0049_0001_0001
19.745,r_1_S_0050_0001_0001
18.685,r_1_S_0051_0001_0001
18.025,r_1_S_0052_0001_0001
17.47,r_1_S_0053_0001_0001
37.891999999999996,r_1_S_0054_0001_0001
18.586,r_1_S_0055_0001_0001
18.637,r_1_S_0056_0001_0001
26.772,r_1_S_0057_0001_0001
26.344,r_1_S_0058_0001_0001
19.146,r_1_S_0059_0001_0001
19.185,r_1_S_0060_0001_0001
18.029,r_1_S_0061_0001_0001
48.07,r_1_S_0062_0001_0001
19.566,r_1_S_0063_0001_0001
17.602,r_1_S_0064_0001_0001
17.680999999999997,r_1_S_0065_0001_0001
18.553,r_1_S_0066_0001_0001
20.06,r_1_S_0067_0001_0001
17.714000000000002,r_1_S_0068_0001_0001
19.515,r_1_S_0069_0001_0001
17.702,r_1_S_0070_0001_0001
17.53,r_1_S_0071_0001_0001
45.582,r_1_S_0072_0001_0001
18.278,r_1_S_0073_0001_0001
17.598,r_1_S_0074_0001_0001
47.533,r_1_S_0075_0001_0001
19.187,r_1_S_0076_0001_0001
18.037,r_1_S_0077_0001_0001
18.053,r_1_S_0078_0001_0001
82.319,r_1_S_0079_0001_0001
17.633,r_1_S_0080_0001_0001
35.957,r_1_S_0081_0001_0001
22.02,r_1_S_0082_0001_0001
21.585,r_1_S_0083_0001_0001
18.451,r_1_S_0084_0001_0001
31.388,r_1_S_0085_0001_0001
26.58,r_1_S_0086_0001_0001
17.663,r_1_S_0087_0001_0001
17.538,r_1_S_0088_0001_0001
19.136,r_1_S_0089_0001_0001
57.986000000000004,r_1_S_0090_0001_0001
18.027,r_1_S_0091_0001_0001
24.866999999999997,r_1_S_0092_0001_0001
20.514,r_1_S_0093_0001_0001
22.365,r_1_S_0094_0001_0001
28.267,r_1_S_0095_0001_0001
18.253,r_1_S_0096_0001_0001
17.634,r_1_S_0098_0001_0001
18.414,r_1_S_0099_0001_0001
17.334,r_1_S_0100_0001_0001
40.641,r_1_S_0101_0001_0001
17.355999999999998,r_1_S_0102_0001_0001
18.064,r_1_S_0103_0001_0001
21.491,r_1_S_0104_0001_0001
24.726,r_1_S_0105_0001_0001
17.567,r_1_S_0106_0001_0001
