RG_SCORE,MODEL
18.035999999999998,r_1_F_00000001_0001_0001
19.171,r_1_F_00000005_0001_0001
17.656,r_1_F_00000008_0001_0001
17.234,r_1_F_00000009_0001_0001
18.361,r_1_F_00000016_0001_0001
18.154,r_1_F_00000017_0001_0001
17.347,r_1_F_00000020_0001_0001
16.233,r_1_F_00000024_0001_0001
20.054000000000002,r_1_F_00000028_0001_0001
19.736,r_1_F_00000034_0001_0001
17.912,r_1_F_00000035_0001_0001
17.930999999999997,r_1_F_00000036_0001_0001
22.313000000000002,r_1_F_00000039_0001_0001
17.354,r_1_F_00000047_0001_0001
15.817,r_1_F_00000048_0001_0001
18.023,r_1_F_00000056_0001_0001
17.16,r_1_F_00000066_0001_0001
18.845,r_1_F_00000071_0001_0001
15.979000000000001,r_1_F_00000072_0001_0001
17.148,r_1_F_00000075_0001_0001
19.437,r_1_F_00000077_0001_0001
18.680999999999997,r_1_F_00000081_0001_0001
18.0,r_1_F_00000083_0001_0001
18.268,r_1_F_00000091_0001_0001
17.569000000000003,r_1_F_00000095_0001_0001
17.686,r_1_F_00000096_0001_0001
16.357,r_1_F_00000106_0001_0001
17.867,r_1_F_00000109_0001_0001
20.067999999999998,r_1_F_00000119_0001_0001
17.892,r_1_F_00000120_0001_0001
18.544,r_1_F_00000121_0001_0001
16.72,r_1_F_00000127_0001_0001
17.634,r_1_F_00000131_0001_0001
17.554000000000002,r_1_F_00000136_0001_0001
16.897000000000002,r_1_F_00000138_0001_0001
19.958,r_1_F_00000139_0001_0001
21.493000000000002,r_1_F_00000140_0001_0001
17.805,r_1_F_00000142_0001_0001
18.747,r_1_F_00000144_0001_0001
19.71,r_1_F_00000147_0001_0001
17.267,r_1_F_00000149_0001_0001
16.91,r_1_F_00000154_0001_0001
18.417,r_1_F_00000158_0001_0001
17.578,r_1_F_00000161_0001_0001
17.211,r_1_F_00000162_0001_0001
18.99,r_1_F_00000169_0001_0001
16.726,r_1_F_00000174_0001_0001
17.28,r_1_F_00000175_0001_0001
17.625,r_1_F_00000176_0001_0001
17.774,r_1_F_00000177_0001_0001
