RG_SCORE,MODEL
14.57,r_1_F_00000001_0001_0001
14.872,r_1_F_00000002_0001_0001
15.163,r_1_F_00000004_0001_0001
14.821,r_1_F_00000005_0001_0001
14.538,r_1_F_00000006_0001_0001
16.152,r_1_F_00000007_0001_0001
14.145,r_1_F_00000008_0001_0001
15.388,r_1_F_00000010_0001_0001
14.88,r_1_F_00000011_0001_0001
16.202,r_1_F_00000012_0001_0001
14.892000000000001,r_1_F_00000013_0001_0001
15.522,r_1_F_00000014_0001_0001
16.11,r_1_F_00000015_0001_0001
16.805999999999997,r_1_F_00000018_0001_0001
14.659,r_1_F_00000019_0001_0001
14.895999999999999,r_1_F_00000020_0001_0001
15.745,r_1_F_00000022_0001_0001
16.493,r_1_F_00000024_0001_0001
15.384,r_1_F_00000025_0001_0001
16.587,r_1_F_00000026_0001_0001
14.552,r_1_F_00000029_0001_0001
15.333,r_1_F_00000030_0001_0001
17.320999999999998,r_1_F_00000031_0001_0001
14.908,r_1_F_00000032_0001_0001
14.73,r_1_F_00000033_0001_0001
14.786,r_1_F_00000035_0001_0001
15.425,r_1_F_00000036_0001_0001
15.692,r_1_F_00000037_0001_0001
14.755999999999998,r_1_F_00000038_0001_0001
15.017999999999999,r_1_F_00000039_0001_0001
15.86,r_1_F_00000040_0001_0001
15.35,r_1_F_00000042_0001_0001
14.841,r_1_F_00000043_0001_0001
14.491,r_1_F_00000044_0001_0001
15.725999999999999,r_1_F_00000045_0001_0001
14.508,r_1_F_00000049_0001_0001
15.261,r_1_F_00000050_0001_0001
20.129,r_1_F_00000051_0001_0001
14.937999999999999,r_1_F_00000052_0001_0001
15.125,r_1_F_00000054_0001_0001
17.319000000000003,r_1_F_00000056_0001_0001
14.945,r_1_F_00000058_0001_0001
14.582,r_1_F_00000060_0001_0001
15.364,r_1_F_00000061_0001_0001
18.685,r_1_F_00000063_0001_0001
15.494000000000002,r_1_F_00000065_0001_0001
15.255,r_1_F_00000067_0001_0001
15.934000000000001,r_1_F_00000068_0001_0001
14.915,r_1_F_00000069_0001_0001
15.437000000000001,r_1_F_00000070_0001_0001
15.147,r_1_F_00000071_0001_0001
18.892,r_1_F_00000073_0001_0001
15.82,r_1_F_00000074_0001_0001
15.241,r_1_F_00000075_0001_0001
15.273,r_1_F_00000076_0001_0001
15.065,r_1_F_00000077_0001_0001
14.339,r_1_F_00000080_0001_0001
15.710999999999999,r_1_F_00000083_0001_0001
16.328,r_1_F_00000084_0001_0001
16.33,r_1_F_00000085_0001_0001
16.748,r_1_F_00000086_0001_0001
15.273,r_1_F_00000089_0001_0001
15.399000000000001,r_1_F_00000090_0001_0001
14.530999999999999,r_1_F_00000094_0001_0001
15.564,r_1_F_00000095_0001_0001
15.457,r_1_F_00000096_0001_0001
14.67,r_1_F_00000097_0001_0001
15.005999999999998,r_1_F_00000098_0001_0001
14.722000000000001,r_1_F_00000099_0001_0001
16.117,r_1_F_00000100_0001_0001
16.927,r_1_F_00000101_0001_0001
14.783,r_1_F_00000102_0001_0001
17.223,r_1_F_00000103_0001_0001
14.548,r_1_F_00000104_0001_0001
15.229000000000001,r_1_F_00000105_0001_0001
14.548,r_1_F_00000106_0001_0001
14.32,r_1_F_00000107_0001_0001
15.318,r_1_F_00000108_0001_0001
14.874,r_1_F_00000109_0001_0001
17.885,r_1_F_00000110_0001_0001
15.89,r_1_F_00000112_0001_0001
15.375,r_1_F_00000113_0001_0001
14.524000000000001,r_1_F_00000114_0001_0001
16.03,r_1_F_00000119_0001_0001
17.455,r_1_F_00000120_0001_0001
16.29,r_1_F_00000121_0001_0001
15.046,r_1_F_00000122_0001_0001
15.205,r_1_F_00000124_0001_0001
14.890999999999998,r_1_F_00000125_0001_0001
17.729,r_1_F_00000127_0001_0001
16.137999999999998,r_1_F_00000133_0001_0001
15.083,r_1_F_00000135_0001_0001
15.273,r_1_F_00000136_0001_0001
14.915999999999999,r_1_F_00000137_0001_0001
16.547,r_1_F_00000140_0001_0001
15.956,r_1_F_00000141_0001_0001
15.350999999999999,r_1_F_00000143_0001_0001
15.665,r_1_F_00000144_0001_0001
15.274000000000001,r_1_F_00000146_0001_0001
15.367,r_1_F_00000147_0001_0001
15.665,r_1_F_00000148_0001_0001
15.204,r_1_F_00000150_0001_0001
16.792,r_1_F_00000152_0001_0001
15.977,r_1_F_00000154_0001_0001
14.72,r_1_F_00000155_0001_0001
14.468,r_1_F_00000156_0001_0001
18.503,r_1_F_00000157_0001_0001
15.993,r_1_F_00000158_0001_0001
15.200999999999999,r_1_F_00000160_0001_0001
15.027000000000001,r_1_F_00000161_0001_0001
14.481,r_1_F_00000162_0001_0001
14.644,r_1_F_00000165_0001_0001
14.554,r_1_F_00000166_0001_0001
14.562000000000001,r_1_F_00000167_0001_0001
15.577,r_1_F_00000168_0001_0001
17.165,r_1_F_00000170_0001_0001
15.067,r_1_F_00000171_0001_0001
13.887,r_1_F_00000172_0001_0001
15.718,r_1_F_00000173_0001_0001
15.962,r_1_F_00000174_0001_0001
15.333,r_1_F_00000175_0001_0001
15.880999999999998,r_1_F_00000176_0001_0001
16.623,r_1_F_00000177_0001_0001
14.530999999999999,r_1_F_00000178_0001_0001
15.509,r_1_F_00000179_0001_0001
15.694,r_1_F_00000182_0001_0001
16.129,r_1_F_00000184_0001_0001
14.14,r_1_F_00000185_0001_0001
15.850999999999999,r_1_F_00000186_0001_0001
16.373,r_1_F_00000187_0001_0001
15.817,r_1_F_00000188_0001_0001
15.015999999999998,r_1_F_00000190_0001_0001
14.524000000000001,r_1_F_00000195_0001_0001
16.458,r_1_F_00000197_0001_0001
15.565,r_1_F_00000198_0001_0001
18.141,r_1_F_00000199_0001_0001
15.167,r_1_F_00000202_0001_0001
17.345,r_1_F_00000203_0001_0001
18.887,r_1_F_00000204_0001_0001
16.768,r_1_F_00000206_0001_0001
14.427999999999999,r_1_F_00000207_0001_0001
14.839,r_1_F_00000208_0001_0001
14.56,r_1_F_00000209_0001_0001
15.353,r_1_F_00000210_0001_0001
16.445999999999998,r_1_F_00000211_0001_0001
16.323,r_1_F_00000212_0001_0001
15.807,r_1_F_00000213_0001_0001
15.523,r_1_F_00000214_0001_0001
15.128,r_1_F_00000215_0001_0001
16.916,r_1_F_00000219_0001_0001
15.334000000000001,r_1_F_00000220_0001_0001
14.710999999999999,r_1_F_00000222_0001_0001
15.868,r_1_F_00000223_0001_0001
14.743,r_1_F_00000225_0001_0001
