RG_SCORE,MODEL
16.761,r_1_S_0001_0001_0001
16.535,r_1_S_0002_0001_0001
16.482,r_1_S_0003_0001_0001
16.509,r_1_S_0004_0001_0001
16.721,r_1_S_0005_0001_0001
16.832,r_1_S_0006_0001_0001
16.67,r_1_S_0007_0001_0001
16.428,r_1_S_0008_0001_0001
17.055,r_1_S_0009_0001_0001
16.71,r_1_S_0010_0001_0001
16.394000000000002,r_1_S_0011_0001_0001
16.796,r_1_S_0012_0001_0001
16.422,r_1_S_0013_0001_0001
16.442,r_1_S_0014_0001_0001
16.706,r_1_S_0015_0001_0001
16.345,r_1_S_0016_0001_0001
16.909000000000002,r_1_S_0017_0001_0001
16.398,r_1_S_0018_0001_0001
16.438,r_1_S_0019_0001_0001
16.512999999999998,r_1_S_0020_0001_0001
16.644000000000002,r_1_S_0021_0001_0001
16.596,r_1_S_0022_0001_0001
16.362000000000002,r_1_S_0023_0001_0001
16.89,r_1_S_0024_0001_0001
16.942999999999998,r_1_S_0025_0001_0001
16.926,r_1_S_0026_0001_0001
16.781,r_1_S_0027_0001_0001
17.017,r_1_S_0028_0001_0001
16.702,r_1_S_0029_0001_0001
16.713,r_1_S_0030_0001_0001
16.54,r_1_S_0031_0001_0001
17.009,r_1_S_0032_0001_0001
18.113,r_1_S_0033_0001_0001
16.746,r_1_S_0034_0001_0001
17.869,r_1_S_0035_0001_0001
16.719,r_1_S_0036_0001_0001
16.567,r_1_S_0037_0001_0001
16.373,r_1_S_0038_0001_0001
16.417,r_1_S_0039_0001_0001
16.468,r_1_S_0040_0001_0001
16.715999999999998,r_1_S_0041_0001_0001
16.680999999999997,r_1_S_0042_0001_0001
16.546,r_1_S_0043_0001_0001
16.393,r_1_S_0044_0001_0001
16.325,r_1_S_0045_0001_0001
16.535999999999998,r_1_S_0046_0001_0001
16.414,r_1_S_0047_0001_0001
16.704,r_1_S_0048_0001_0001
16.31,r_1_S_0049_0001_0001
16.698,r_1_S_0050_0001_0001
16.641,r_1_S_0051_0001_0001
17.28,r_1_S_0052_0001_0001
16.815,r_1_S_0053_0001_0001
16.637,r_1_S_0054_0001_0001
