RG_SCORE,MODEL
9.626,r_1_F_00000001_0001_0001
9.285,r_1_F_00000002_0001_0001
9.062000000000001,r_1_F_00000004_0001_0001
8.762,r_1_F_00000007_0001_0001
9.397,r_1_F_00000009_0001_0001
10.536,r_1_F_00000010_0001_0001
9.562000000000001,r_1_F_00000012_0001_0001
9.234,r_1_F_00000013_0001_0001
9.645,r_1_F_00000014_0001_0001
10.425999999999998,r_1_F_00000015_0001_0001
9.427999999999999,r_1_F_00000018_0001_0001
9.158999999999999,r_1_F_00000019_0001_0001
9.722000000000001,r_1_F_00000023_0001_0001
9.708,r_1_F_00000024_0001_0001
9.605,r_1_F_00000026_0001_0001
9.139,r_1_F_00000028_0001_0001
9.514,r_1_F_00000029_0001_0001
9.581,r_1_F_00000030_0001_0001
9.775,r_1_F_00000032_0001_0001
9.481,r_1_F_00000033_0001_0001
10.706,r_1_F_00000034_0001_0001
9.379,r_1_F_00000037_0001_0001
11.758,r_1_F_00000040_0001_0001
10.031,r_1_F_00000041_0001_0001
9.937999999999999,r_1_F_00000042_0001_0001
9.113999999999999,r_1_F_00000044_0001_0001
9.946,r_1_F_00000045_0001_0001
10.363,r_1_F_00000046_0001_0001
9.802999999999999,r_1_F_00000047_0001_0001
9.691,r_1_F_00000048_0001_0001
9.266,r_1_F_00000051_0001_0001
8.649,r_1_F_00000052_0001_0001
9.448,r_1_F_00000053_0001_0001
9.416,r_1_F_00000056_0001_0001
9.325,r_1_F_00000059_0001_0001
10.115,r_1_F_00000060_0001_0001
9.513,r_1_F_00000061_0001_0001
9.567,r_1_F_00000063_0001_0001
9.238999999999999,r_1_F_00000064_0001_0001
8.801,r_1_F_00000066_0001_0001
9.468,r_1_F_00000067_0001_0001
9.275,r_1_F_00000068_0001_0001
10.287,r_1_F_00000070_0001_0001
9.382,r_1_F_00000071_0001_0001
9.293,r_1_F_00000072_0001_0001
8.717,r_1_F_00000073_0001_0001
9.691,r_1_F_00000074_0001_0001
9.015,r_1_F_00000075_0001_0001
9.616,r_1_F_00000076_0001_0001
8.889,r_1_F_00000079_0001_0001
8.842,r_1_F_00000080_0001_0001
10.056000000000001,r_1_F_00000081_0001_0001
9.351,r_1_F_00000084_0001_0001
9.26,r_1_F_00000087_0001_0001
9.796,r_1_F_00000088_0001_0001
10.657,r_1_F_00000089_0001_0001
9.885,r_1_F_00000090_0001_0001
9.272,r_1_F_00000091_0001_0001
9.136000000000001,r_1_F_00000092_0001_0001
9.644,r_1_F_00000094_0001_0001
8.959,r_1_F_00000095_0001_0001
10.255,r_1_F_00000102_0001_0001
10.442,r_1_F_00000103_0001_0001
9.592,r_1_F_00000104_0001_0001
9.109,r_1_F_00000106_0001_0001
9.3,r_1_F_00000108_0001_0001
10.568,r_1_F_00000109_0001_0001
9.416,r_1_F_00000111_0001_0001
9.607000000000001,r_1_F_00000112_0001_0001
9.857999999999999,r_1_F_00000115_0001_0001
8.885,r_1_F_00000116_0001_0001
9.288,r_1_F_00000117_0001_0001
9.112,r_1_F_00000118_0001_0001
9.155,r_1_F_00000119_0001_0001
9.977,r_1_F_00000120_0001_0001
9.482999999999999,r_1_F_00000122_0001_0001
9.378,r_1_F_00000125_0001_0001
9.507,r_1_F_00000126_0001_0001
9.245,r_1_F_00000130_0001_0001
