RG_SCORE,MODEL
16.492,r_1_F_00000001_0001_0001
16.204,r_1_F_00000002_0001_0001
15.356,r_1_F_00000006_0001_0001
16.72,r_1_F_00000007_0001_0001
15.333,r_1_F_00000009_0001_0001
15.655,r_1_F_00000010_0001_0001
15.013,r_1_F_00000011_0001_0001
15.43,r_1_F_00000013_0001_0001
15.584000000000001,r_1_F_00000014_0001_0001
18.545,r_1_F_00000016_0001_0001
14.5,r_1_F_00000017_0001_0001
16.201,r_1_F_00000021_0001_0001
16.285999999999998,r_1_F_00000024_0001_0001
16.744,r_1_F_00000025_0001_0001
15.555,r_1_F_00000027_0001_0001
15.887,r_1_F_00000032_0001_0001
15.672,r_1_F_00000034_0001_0001
15.67,r_1_F_00000038_0001_0001
14.777999999999999,r_1_F_00000043_0001_0001
17.090999999999998,r_1_F_00000044_0001_0001
14.99,r_1_F_00000046_0001_0001
15.749,r_1_F_00000047_0001_0001
17.430999999999997,r_1_F_00000048_0001_0001
16.412,r_1_F_00000051_0001_0001
16.492,r_1_F_00000052_0001_0001
15.498,r_1_F_00000056_0001_0001
14.404000000000002,r_1_F_00000060_0001_0001
14.548,r_1_F_00000066_0001_0001
15.883,r_1_F_00000067_0001_0001
17.109,r_1_F_00000068_0001_0001
17.457,r_1_F_00000071_0001_0001
15.442,r_1_F_00000072_0001_0001
15.354000000000001,r_1_F_00000074_0001_0001
18.953,r_1_F_00000075_0001_0001
16.215,r_1_F_00000077_0001_0001
14.684000000000001,r_1_F_00000081_0001_0001
16.805999999999997,r_1_F_00000084_0001_0001
15.384,r_1_F_00000086_0001_0001
14.899000000000001,r_1_F_00000088_0001_0001
16.555,r_1_F_00000089_0001_0001
17.514,r_1_F_00000093_0001_0001
16.674,r_1_F_00000094_0001_0001
15.497,r_1_F_00000098_0001_0001
16.219,r_1_F_00000102_0001_0001
16.264,r_1_F_00000105_0001_0001
14.545,r_1_F_00000106_0001_0001
17.384,r_1_F_00000108_0001_0001
17.736,r_1_F_00000109_0001_0001
16.154,r_1_F_00000110_0001_0001
16.307000000000002,r_1_F_00000111_0001_0001
17.144000000000002,r_1_F_00000117_0001_0001
15.675999999999998,r_1_F_00000118_0001_0001
14.832,r_1_F_00000121_0001_0001
17.81,r_1_F_00000122_0001_0001
16.495,r_1_F_00000126_0001_0001
16.628,r_1_F_00000133_0001_0001
15.85,r_1_F_00000134_0001_0001
15.669,r_1_F_00000136_0001_0001
14.607000000000001,r_1_F_00000139_0001_0001
15.875,r_1_F_00000142_0001_0001
15.755,r_1_F_00000147_0001_0001
15.033,r_1_F_00000149_0001_0001
16.410999999999998,r_1_F_00000150_0001_0001
16.000999999999998,r_1_F_00000153_0001_0001
17.075,r_1_F_00000158_0001_0001
18.457,r_1_F_00000160_0001_0001
14.864,r_1_F_00000162_0001_0001
15.815999999999999,r_1_F_00000169_0001_0001
15.545,r_1_F_00000173_0001_0001
16.255,r_1_F_00000174_0001_0001
17.217,r_1_F_00000175_0001_0001
15.534,r_1_F_00000176_0001_0001
16.281,r_1_F_00000178_0001_0001
15.729000000000001,r_1_F_00000187_0001_0001
15.955,r_1_F_00000193_0001_0001
16.44,r_1_F_00000194_0001_0001
16.086,r_1_F_00000196_0001_0001
16.631,r_1_F_00000200_0001_0001
18.213,r_1_F_00000202_0001_0001
15.640999999999998,r_1_F_00000203_0001_0001
15.715,r_1_F_00000205_0001_0001
15.696,r_1_F_00000206_0001_0001
16.723,r_1_F_00000208_0001_0001
15.595,r_1_F_00000209_0001_0001
19.718,r_1_F_00000211_0001_0001
15.445,r_1_F_00000213_0001_0001
16.079,r_1_F_00000214_0001_0001
16.183,r_1_F_00000215_0001_0001
15.649000000000001,r_1_F_00000223_0001_0001
16.468,r_1_F_00000225_0001_0001
14.838,r_1_F_00000228_0001_0001
16.142,r_1_F_00000229_0001_0001
16.171,r_1_F_00000232_0001_0001
18.643,r_1_F_00000234_0001_0001
16.087,r_1_F_00000244_0001_0001
17.668,r_1_F_00000245_0001_0001
16.993,r_1_F_00000246_0001_0001
17.593,r_1_F_00000248_0001_0001
15.827,r_1_F_00000250_0001_0001
16.207,r_1_F_00000251_0001_0001
15.867,r_1_F_00000254_0001_0001
14.68,r_1_F_00000256_0001_0001
16.921,r_1_F_00000262_0001_0001
16.739,r_1_F_00000265_0001_0001
14.687999999999999,r_1_F_00000268_0001_0001
15.700999999999999,r_1_F_00000269_0001_0001
16.514,r_1_F_00000271_0001_0001
18.262999999999998,r_1_F_00000272_0001_0001
15.386,r_1_F_00000273_0001_0001
15.32,r_1_F_00000276_0001_0001
18.375,r_1_F_00000278_0001_0001
17.771,r_1_F_00000279_0001_0001
17.949,r_1_F_00000280_0001_0001
15.132,r_1_F_00000285_0001_0001
15.668,r_1_F_00000287_0001_0001
16.144000000000002,r_1_F_00000288_0001_0001
15.144,r_1_F_00000290_0001_0001
16.824,r_1_F_00000292_0001_0001
17.49,r_1_F_00000296_0001_0001
15.459000000000001,r_1_F_00000299_0001_0001
17.285,r_1_F_00000302_0001_0001
18.936,r_1_F_00000306_0001_0001
15.325999999999999,r_1_F_00000311_0001_0001
16.712,r_1_F_00000312_0001_0001
16.545,r_1_F_00000314_0001_0001
17.217,r_1_F_00000316_0001_0001
17.865,r_1_F_00000317_0001_0001
17.934,r_1_F_00000319_0001_0001
15.999,r_1_F_00000320_0001_0001
17.915,r_1_F_00000322_0001_0001
16.64,r_1_F_00000323_0001_0001
17.183,r_1_F_00000329_0001_0001
16.043,r_1_F_00000331_0001_0001
15.661,r_1_F_00000333_0001_0001
16.081,r_1_F_00000335_0001_0001
16.688,r_1_F_00000336_0001_0001
15.335,r_1_F_00000337_0001_0001
