RG_SCORE,MODEL
16.315,r_1_F_00000001_0001_0001
16.14,r_1_F_00000003_0001_0001
16.511,r_1_F_00000004_0001_0001
14.655,r_1_F_00000005_0001_0001
14.835,r_1_F_00000008_0001_0001
15.515,r_1_F_00000009_0001_0001
15.119000000000002,r_1_F_00000010_0001_0001
14.209000000000001,r_1_F_00000011_0001_0001
15.440999999999999,r_1_F_00000012_0001_0001
14.367,r_1_F_00000013_0001_0001
14.759,r_1_F_00000014_0001_0001
14.777999999999999,r_1_F_00000015_0001_0001
15.481,r_1_F_00000016_0001_0001
15.32,r_1_F_00000021_0001_0001
17.558,r_1_F_00000022_0001_0001
15.880999999999998,r_1_F_00000023_0001_0001
15.197000000000001,r_1_F_00000025_0001_0001
15.232000000000001,r_1_F_00000028_0001_0001
16.612000000000002,r_1_F_00000030_0001_0001
16.238,r_1_F_00000032_0001_0001
14.651,r_1_F_00000033_0001_0001
14.98,r_1_F_00000034_0001_0001
15.409,r_1_F_00000041_0001_0001
17.032,r_1_F_00000042_0001_0001
16.142,r_1_F_00000044_0001_0001
16.834,r_1_F_00000045_0001_0001
14.83,r_1_F_00000046_0001_0001
15.261,r_1_F_00000049_0001_0001
16.329,r_1_F_00000050_0001_0001
14.767000000000001,r_1_F_00000053_0001_0001
15.75,r_1_F_00000054_0001_0001
15.243,r_1_F_00000056_0001_0001
17.022000000000002,r_1_F_00000058_0001_0001
14.658,r_1_F_00000060_0001_0001
17.535999999999998,r_1_F_00000061_0001_0001
16.877,r_1_F_00000062_0001_0001
15.969000000000001,r_1_F_00000064_0001_0001
17.145,r_1_F_00000065_0001_0001
15.302,r_1_F_00000067_0001_0001
15.549000000000001,r_1_F_00000068_0001_0001
16.464000000000002,r_1_F_00000071_0001_0001
15.82,r_1_F_00000073_0001_0001
15.328,r_1_F_00000074_0001_0001
15.207,r_1_F_00000075_0001_0001
15.589,r_1_F_00000078_0001_0001
15.229000000000001,r_1_F_00000079_0001_0001
16.369,r_1_F_00000080_0001_0001
15.485,r_1_F_00000081_0001_0001
15.109000000000002,r_1_F_00000084_0001_0001
13.969000000000001,r_1_F_00000087_0001_0001
15.446,r_1_F_00000089_0001_0001
14.345999999999998,r_1_F_00000090_0001_0001
15.321,r_1_F_00000095_0001_0001
15.43,r_1_F_00000096_0001_0001
14.969000000000001,r_1_F_00000097_0001_0001
15.989,r_1_F_00000099_0001_0001
16.278,r_1_F_00000101_0001_0001
17.977999999999998,r_1_F_00000102_0001_0001
18.899,r_1_F_00000104_0001_0001
14.924000000000001,r_1_F_00000105_0001_0001
15.552999999999999,r_1_F_00000107_0001_0001
15.501,r_1_F_00000108_0001_0001
15.110999999999999,r_1_F_00000112_0001_0001
16.515,r_1_F_00000115_0001_0001
