RG_SCORE,MODEL
16.302,r_1_F_00000003_0001_0001
17.169,r_1_F_00000007_0001_0001
16.486,r_1_F_00000021_0001_0001
14.638,r_1_F_00000039_0001_0001
16.534000000000002,r_1_F_00000042_0001_0001
15.249,r_1_F_00000044_0001_0001
16.425,r_1_F_00000049_0001_0001
15.71,r_1_F_00000062_0001_0001
15.085999999999999,r_1_F_00000068_0001_0001
16.633,r_1_F_00000071_0001_0001
15.987,r_1_F_00000073_0001_0001
15.107999999999999,r_1_F_00000081_0001_0001
16.234,r_1_F_00000086_0001_0001
15.190999999999999,r_1_F_00000088_0001_0001
15.913,r_1_F_00000089_0001_0001
17.221,r_1_F_00000096_0001_0001
15.270999999999999,r_1_F_00000122_0001_0001
17.373,r_1_F_00000126_0001_0001
15.845999999999998,r_1_F_00000132_0001_0001
14.658,r_1_F_00000134_0001_0001
16.145,r_1_F_00000148_0001_0001
15.261,r_1_F_00000157_0001_0001
14.392000000000001,r_1_F_00000161_0001_0001
17.762999999999998,r_1_F_00000164_0001_0001
16.518,r_1_F_00000172_0001_0001
17.223,r_1_F_00000175_0001_0001
16.586,r_1_F_00000185_0001_0001
15.562000000000001,r_1_F_00000192_0001_0001
16.17,r_1_F_00000193_0001_0001
17.375999999999998,r_1_F_00000201_0001_0001
16.266,r_1_F_00000205_0001_0001
15.705,r_1_F_00000209_0001_0001
15.508,r_1_F_00000221_0001_0001
17.222,r_1_F_00000229_0001_0001
16.672,r_1_F_00000242_0001_0001
15.389000000000001,r_1_F_00000245_0001_0001
16.066,r_1_F_00000246_0001_0001
15.777000000000001,r_1_F_00000251_0001_0001
16.151,r_1_F_00000252_0001_0001
16.418,r_1_F_00000257_0001_0001
15.992,r_1_F_00000267_0001_0001
15.629000000000001,r_1_F_00000277_0001_0001
14.65,r_1_F_00000285_0001_0001
15.468,r_1_F_00000286_0001_0001
15.607999999999999,r_1_F_00000287_0001_0001
15.579,r_1_F_00000298_0001_0001
14.783,r_1_F_00000309_0001_0001
14.23,r_1_F_00000320_0001_0001
15.710999999999999,r_1_F_00000322_0001_0001
14.85,r_1_F_00000324_0001_0001
16.38,r_1_F_00000326_0001_0001
14.838,r_1_F_00000329_0001_0001
15.777000000000001,r_1_F_00000348_0001_0001
15.915,r_1_F_00000349_0001_0001
17.134,r_1_F_00000350_0001_0001
15.929,r_1_F_00000353_0001_0001
14.717,r_1_F_00000358_0001_0001
16.059,r_1_F_00000361_0001_0001
15.704,r_1_F_00000368_0001_0001
15.720999999999998,r_1_F_00000379_0001_0001
15.481,r_1_F_00000380_0001_0001
17.169,r_1_F_00000386_0001_0001
16.183,r_1_F_00000390_0001_0001
16.325,r_1_F_00000395_0001_0001
16.625,r_1_F_00000408_0001_0001
16.566,r_1_F_00000410_0001_0001
14.374,r_1_F_00000412_0001_0001
15.459000000000001,r_1_F_00000421_0001_0001
16.445999999999998,r_1_F_00000429_0001_0001
16.514,r_1_F_00000433_0001_0001
15.845,r_1_F_00000442_0001_0001
15.939,r_1_F_00000445_0001_0001
16.124000000000002,r_1_F_00000450_0001_0001
16.944000000000003,r_1_F_00000455_0001_0001
15.417,r_1_F_00000462_0001_0001
15.530999999999999,r_1_F_00000463_0001_0001
15.376,r_1_F_00000465_0001_0001
17.035,r_1_F_00000467_0001_0001
18.742,r_1_F_00000471_0001_0001
17.214000000000002,r_1_F_00000472_0001_0001
14.595999999999998,r_1_F_00000478_0001_0001
16.0,r_1_S_00000001_0001_0001
13.752,r_1_S_00000002_0001_0001
13.837,r_1_S_00000004_0001_0001
13.815,r_1_S_00000005_0001_0001
14.038,r_1_S_00000006_0001_0001
14.032,r_1_S_00000008_0001_0001
13.878,r_1_S_00000009_0001_0001
13.203,r_1_S_00000010_0001_0001
