RG_SCORE,MODEL
21.307,r_1_S_0001_0001_0001
19.492,r_1_S_0002_0001_0001
19.526,r_1_S_0003_0001_0001
18.562,r_1_S_0004_0001_0001
21.445,r_1_S_0005_0001_0001
18.726,r_1_S_0006_0001_0001
18.79,r_1_S_0007_0001_0001
19.225,r_1_S_0008_0001_0001
20.784000000000002,r_1_S_0009_0001_0001
23.339000000000002,r_1_S_0010_0001_0001
19.058,r_1_S_0011_0001_0001
21.554000000000002,r_1_S_0012_0001_0001
18.804000000000002,r_1_S_0013_0001_0001
20.471,r_1_S_0014_0001_0001
18.964000000000002,r_1_S_0015_0001_0001
18.908,r_1_S_0016_0001_0001
19.294,r_1_S_0017_0001_0001
18.046,r_1_S_0018_0001_0001
19.2,r_1_S_0019_0001_0001
20.956999999999997,r_1_S_0020_0001_0001
19.011,r_1_S_0021_0001_0001
20.795,r_1_S_0022_0001_0001
18.133,r_1_S_0023_0001_0001
22.445999999999998,r_1_S_0024_0001_0001
22.677,r_1_S_0025_0001_0001
18.891,r_1_S_0026_0001_0001
20.718000000000004,r_1_S_0027_0001_0001
19.349,r_1_S_0028_0001_0001
21.183000000000003,r_1_S_0029_0001_0001
18.848,r_1_S_0030_0001_0001
18.764,r_1_S_0031_0001_0001
21.000999999999998,r_1_S_0032_0001_0001
22.465999999999998,r_1_S_0033_0001_0001
21.629,r_1_S_0034_0001_0001
19.167,r_1_S_0035_0001_0001
18.848,r_1_S_0036_0001_0001
19.535999999999998,r_1_S_0037_0001_0001
18.928,r_1_S_0038_0001_0001
18.587,r_1_S_0039_0001_0001
18.343,r_1_S_0040_0001_0001
20.195999999999998,r_1_S_0041_0001_0001
19.136,r_1_S_0042_0001_0001
20.409000000000002,r_1_S_0043_0001_0001
21.518,r_1_S_0044_0001_0001
21.427,r_1_S_0045_0001_0001
21.505,r_1_S_0046_0001_0001
20.971999999999998,r_1_S_0047_0001_0001
19.354,r_1_S_0048_0001_0001
22.89,r_1_S_0049_0001_0001
21.508000000000003,r_1_S_0050_0001_0001
18.438,r_2_S_0001_0001_0001
20.224,r_2_S_0002_0001_0001
18.528,r_2_S_0003_0001_0001
19.396,r_2_S_0004_0001_0001
18.465,r_2_S_0005_0001_0001
22.276999999999997,r_2_S_0006_0001_0001
20.464000000000002,r_2_S_0007_0001_0001
18.21,r_2_S_0008_0001_0001
18.747,r_2_S_0009_0001_0001
