RG_SCORE,MODEL
15.677,r_1_F_00000001_0001_0001
15.949000000000002,r_1_F_00000004_0001_0001
16.625,r_1_F_00000005_0001_0001
15.555,r_1_F_00000006_0001_0001
14.927999999999999,r_1_F_00000009_0001_0001
16.144000000000002,r_1_F_00000010_0001_0001
15.574000000000002,r_1_F_00000011_0001_0001
15.624,r_1_F_00000012_0001_0001
15.377,r_1_F_00000013_0001_0001
16.815,r_1_F_00000014_0001_0001
15.061,r_1_F_00000015_0001_0001
14.673,r_1_F_00000016_0001_0001
16.46,r_1_F_00000017_0001_0001
15.13,r_1_F_00000019_0001_0001
15.162,r_1_F_00000020_0001_0001
15.350999999999999,r_1_F_00000021_0001_0001
18.012999999999998,r_1_F_00000023_0001_0001
15.504000000000001,r_1_F_00000025_0001_0001
15.193,r_1_F_00000027_0001_0001
15.179,r_1_F_00000028_0001_0001
15.52,r_1_F_00000029_0001_0001
15.514000000000001,r_1_F_00000030_0001_0001
17.517,r_1_F_00000031_0001_0001
16.45,r_1_F_00000032_0001_0001
15.777000000000001,r_1_F_00000034_0001_0001
14.95,r_1_F_00000035_0001_0001
15.6,r_1_F_00000037_0001_0001
15.725999999999999,r_1_F_00000039_0001_0001
16.076,r_1_F_00000040_0001_0001
15.154000000000002,r_1_F_00000041_0001_0001
15.219000000000001,r_1_F_00000042_0001_0001
15.585,r_1_F_00000043_0001_0001
15.659,r_1_F_00000044_0001_0001
16.291,r_1_F_00000046_0001_0001
14.853,r_1_F_00000048_0001_0001
15.429,r_1_F_00000049_0001_0001
16.016,r_1_F_00000050_0001_0001
16.149,r_1_F_00000051_0001_0001
15.902999999999999,r_1_F_00000052_0001_0001
15.306,r_1_F_00000053_0001_0001
16.664,r_1_F_00000054_0001_0001
16.272000000000002,r_1_F_00000055_0001_0001
16.523,r_1_F_00000056_0001_0001
16.43,r_1_F_00000057_0001_0001
15.293,r_1_F_00000058_0001_0001
15.718,r_1_F_00000059_0001_0001
17.144000000000002,r_1_F_00000060_0001_0001
15.556,r_1_F_00000062_0001_0001
16.812,r_1_F_00000063_0001_0001
15.614,r_1_F_00000064_0001_0001
14.665,r_1_F_00000066_0001_0001
17.055,r_1_F_00000067_0001_0001
15.587,r_1_F_00000068_0001_0001
15.859000000000002,r_1_F_00000069_0001_0001
15.575999999999999,r_1_F_00000070_0001_0001
15.869000000000002,r_1_F_00000071_0001_0001
16.096,r_1_F_00000072_0001_0001
14.985,r_1_F_00000074_0001_0001
15.695,r_1_F_00000075_0001_0001
15.122,r_1_F_00000076_0001_0001
16.089000000000002,r_1_F_00000078_0001_0001
15.525,r_1_F_00000079_0001_0001
15.394,r_1_F_00000080_0001_0001
16.245,r_1_F_00000081_0001_0001
15.3,r_1_F_00000083_0001_0001
16.258,r_1_F_00000086_0001_0001
15.776,r_1_F_00000090_0001_0001
14.595999999999998,r_1_F_00000091_0001_0001
16.454,r_1_F_00000092_0001_0001
15.198,r_1_F_00000093_0001_0001
15.987,r_1_F_00000094_0001_0001
17.129,r_1_F_00000096_0001_0001
15.931,r_1_F_00000099_0001_0001
16.195,r_1_F_00000100_0001_0001
15.991,r_1_F_00000102_0001_0001
15.554,r_1_F_00000106_0001_0001
16.998,r_1_F_00000112_0001_0001
15.752,r_1_F_00000114_0001_0001
14.414000000000001,r_1_F_00000115_0001_0001
14.939,r_1_F_00000117_0001_0001
16.002,r_1_F_00000118_0001_0001
16.111,r_1_F_00000119_0001_0001
15.503,r_1_F_00000120_0001_0001
15.857999999999999,r_1_F_00000122_0001_0001
17.164,r_1_F_00000126_0001_0001
15.783,r_1_F_00000128_0001_0001
15.404000000000002,r_1_F_00000129_0001_0001
16.016,r_1_F_00000130_0001_0001
15.605,r_1_F_00000131_0001_0001
15.844000000000001,r_1_F_00000132_0001_0001
15.459000000000001,r_1_F_00000133_0001_0001
16.493,r_1_F_00000134_0001_0001
16.069000000000003,r_1_F_00000135_0001_0001
15.689,r_1_F_00000136_0001_0001
15.748,r_1_F_00000137_0001_0001
14.902000000000001,r_1_F_00000139_0001_0001
15.185,r_1_F_00000141_0001_0001
15.174000000000001,r_1_F_00000144_0001_0001
16.843,r_1_F_00000145_0001_0001
15.392999999999999,r_1_F_00000146_0001_0001
15.960999999999999,r_1_F_00000147_0001_0001
15.267999999999999,r_1_F_00000149_0001_0001
15.491,r_1_F_00000150_0001_0001
15.140999999999998,r_1_F_00000152_0001_0001
14.979000000000001,r_1_F_00000153_0001_0001
15.579,r_1_F_00000155_0001_0001
16.035999999999998,r_1_F_00000156_0001_0001
16.381,r_1_F_00000158_0001_0001
