RG_SCORE,MODEL
28.934,r_1_S_0001_0001_0001
28.756999999999998,r_1_S_0002_0001_0001
28.811999999999998,r_1_S_0003_0001_0001
29.1,r_1_S_0004_0001_0001
30.151999999999997,r_1_S_0005_0001_0001
29.114,r_1_S_0006_0001_0001
28.864,r_1_S_0007_0001_0001
29.058000000000003,r_1_S_0008_0001_0001
28.713,r_1_S_0009_0001_0001
29.224,r_1_S_0010_0001_0001
28.969,r_1_S_0011_0001_0001
29.017,r_1_S_0012_0001_0001
28.756,r_1_S_0013_0001_0001
30.255,r_1_S_0014_0001_0001
29.058000000000003,r_1_S_0015_0001_0001
28.953000000000003,r_1_S_0016_0001_0001
28.984,r_1_S_0017_0001_0001
28.98,r_1_S_0018_0001_0001
28.944000000000003,r_1_S_0019_0001_0001
29.039,r_1_S_0020_0001_0001
29.048000000000002,r_1_S_0021_0001_0001
29.006,r_1_S_0022_0001_0001
29.011999999999997,r_1_S_0023_0001_0001
28.868000000000002,r_1_S_0024_0001_0001
28.671,r_1_S_0025_0001_0001
29.101999999999997,r_1_S_0026_0001_0001
29.11,r_1_S_0027_0001_0001
28.951,r_1_S_0028_0001_0001
28.909000000000002,r_1_S_0029_0001_0001
28.66,r_1_S_0030_0001_0001
28.709,r_1_S_0031_0001_0001
28.869,r_1_S_0032_0001_0001
29.01,r_1_S_0033_0001_0001
29.01,r_1_S_0034_0001_0001
29.057,r_1_S_0035_0001_0001
29.156,r_1_S_0036_0001_0001
29.875,r_1_S_0037_0001_0001
29.014,r_1_S_0038_0001_0001
29.02,r_1_S_0039_0001_0001
28.733,r_1_S_0040_0001_0001
29.013,r_1_S_0041_0001_0001
28.752,r_1_S_0042_0001_0001
28.944000000000003,r_1_S_0043_0001_0001
28.906,r_1_S_0044_0001_0001
28.94,r_1_S_0045_0001_0001
28.849,r_1_S_0046_0001_0001
28.866999999999997,r_1_S_0047_0001_0001
29.072,r_1_S_0048_0001_0001
28.899,r_1_S_0049_0001_0001
28.951,r_1_S_0050_0001_0001
29.206999999999997,r_2_S_0001_0001_0001
28.831999999999997,r_2_S_0002_0001_0001
28.897,r_2_S_0003_0001_0001
29.814,r_2_S_0004_0001_0001
29.06,r_2_S_0005_0001_0001
28.715,r_2_S_0006_0001_0001
