RG_SCORE,MODEL
21.916999999999998,r_1_S_0001_0001_0001
21.668000000000003,r_1_S_0002_0001_0001
21.48,r_1_S_0003_0001_0001
21.246,r_1_S_0004_0001_0001
21.851,r_1_S_0005_0001_0001
21.647,r_1_S_0006_0001_0001
21.575,r_1_S_0007_0001_0001
21.668000000000003,r_1_S_0008_0001_0001
21.425,r_1_S_0009_0001_0001
21.526,r_1_S_0010_0001_0001
21.71,r_1_S_0011_0001_0001
21.514,r_1_S_0012_0001_0001
21.488000000000003,r_1_S_0013_0001_0001
21.715999999999998,r_1_S_0014_0001_0001
21.64,r_1_S_0015_0001_0001
21.599,r_1_S_0016_0001_0001
21.608,r_1_S_0017_0001_0001
21.691,r_1_S_0018_0001_0001
21.648000000000003,r_1_S_0019_0001_0001
21.566999999999997,r_1_S_0020_0001_0001
21.619,r_1_S_0021_0001_0001
21.811,r_1_S_0022_0001_0001
21.684,r_1_S_0023_0001_0001
21.615,r_1_S_0024_0001_0001
21.491999999999997,r_1_S_0025_0001_0001
21.471,r_1_S_0026_0001_0001
21.791,r_1_S_0027_0001_0001
21.587,r_1_S_0028_0001_0001
21.659000000000002,r_1_S_0029_0001_0001
21.662,r_1_S_0030_0001_0001
21.673000000000002,r_1_S_0031_0001_0001
21.644000000000002,r_1_S_0032_0001_0001
21.669,r_1_S_0033_0001_0001
21.575,r_1_S_0034_0001_0001
21.814,r_1_S_0035_0001_0001
21.56,r_1_S_0036_0001_0001
21.549,r_1_S_0037_0001_0001
21.531,r_1_S_0038_0001_0001
21.691,r_1_S_0039_0001_0001
21.629,r_1_S_0040_0001_0001
21.516,r_1_S_0041_0001_0001
21.439,r_1_S_0042_0001_0001
21.634,r_1_S_0043_0001_0001
21.592,r_1_S_0044_0001_0001
21.433000000000003,r_1_S_0045_0001_0001
21.601,r_1_S_0046_0001_0001
21.299,r_1_S_0047_0001_0001
21.284000000000002,r_1_S_0048_0001_0001
21.581999999999997,r_1_S_0049_0001_0001
21.725,r_1_S_0050_0001_0001
21.674,r_2_S_0001_0001_0001
21.607,r_2_S_0002_0001_0001
21.691999999999997,r_2_S_0003_0001_0001
21.546999999999997,r_2_S_0004_0001_0001
21.519000000000002,r_2_S_0005_0001_0001
21.658,r_2_S_0006_0001_0001
21.686,r_2_S_0007_0001_0001
21.463,r_2_S_0008_0001_0001
21.31,r_2_S_0009_0001_0001
21.706999999999997,r_2_S_0010_0001_0001
21.666999999999998,r_2_S_0011_0001_0001
21.24,r_2_S_0012_0001_0001
21.44,r_2_S_0013_0001_0001
21.129,r_2_S_0014_0001_0001
21.506,r_2_S_0015_0001_0001
21.614,r_2_S_0016_0001_0001
21.506999999999998,r_2_S_0017_0001_0001
20.921999999999997,r_2_S_0018_0001_0001
21.51,r_2_S_0019_0001_0001
21.779,r_2_S_0020_0001_0001
21.648000000000003,r_2_S_0021_0001_0001
21.549,r_2_S_0022_0001_0001
21.55,r_2_S_0023_0001_0001
21.590999999999998,r_2_S_0024_0001_0001
21.771,r_2_S_0025_0001_0001
21.590999999999998,r_2_S_0026_0001_0001
21.568,r_2_S_0027_0001_0001
21.643,r_2_S_0028_0001_0001
21.41,r_2_S_0029_0001_0001
21.82,r_2_S_0030_0001_0001
21.546,r_2_S_0031_0001_0001
21.669,r_2_S_0032_0001_0001
21.523000000000003,r_2_S_0033_0001_0001
21.429000000000002,r_2_S_0034_0001_0001
21.443,r_2_S_0035_0001_0001
21.660999999999998,r_2_S_0036_0001_0001
21.54,r_2_S_0037_0001_0001
21.361,r_2_S_0038_0001_0001
21.641,r_2_S_0039_0001_0001
21.226999999999997,r_2_S_0040_0001_0001
21.232,r_2_S_0041_0001_0001
21.497,r_2_S_0042_0001_0001
21.088,r_2_S_0043_0001_0001
21.651999999999997,r_2_S_0044_0001_0001
21.689,r_2_S_0045_0001_0001
21.758000000000003,r_2_S_0046_0001_0001
21.315,r_2_S_0047_0001_0001
21.178,r_2_S_0048_0001_0001
21.518,r_2_S_0049_0001_0001
21.509,r_2_S_0050_0001_0001
21.427,r_3_S_0001_0001_0001
21.631999999999998,r_3_S_0002_0001_0001
21.463,r_3_S_0003_0001_0001
21.549,r_3_S_0004_0001_0001
21.67,r_3_S_0005_0001_0001
21.296,r_3_S_0006_0001_0001
21.699,r_3_S_0007_0001_0001
21.49,r_3_S_0008_0001_0001
21.636999999999997,r_3_S_0009_0001_0001
21.256,r_3_S_0010_0001_0001
21.505,r_3_S_0011_0001_0001
21.646,r_3_S_0012_0001_0001
21.456999999999997,r_3_S_0013_0001_0001
21.401,r_3_S_0014_0001_0001
21.717,r_3_S_0015_0001_0001
21.595,r_3_S_0016_0001_0001
21.624000000000002,r_3_S_0017_0001_0001
21.389,r_3_S_0018_0001_0001
21.6,r_3_S_0019_0001_0001
21.933000000000003,r_3_S_0020_0001_0001
21.448,r_3_S_0021_0001_0001
21.522,r_3_S_0022_0001_0001
21.342,r_3_S_0023_0001_0001
21.465999999999998,r_3_S_0024_0001_0001
21.345,r_3_S_0025_0001_0001
21.451999999999998,r_3_S_0026_0001_0001
21.179000000000002,r_3_S_0027_0001_0001
21.604,r_3_S_0028_0001_0001
21.744,r_3_S_0029_0001_0001
21.523000000000003,r_3_S_0030_0001_0001
21.619,r_3_S_0031_0001_0001
21.625,r_3_S_0032_0001_0001
21.616999999999997,r_3_S_0033_0001_0001
21.732,r_3_S_0034_0001_0001
21.349,r_3_S_0035_0001_0001
21.039,r_3_S_0036_0001_0001
21.611,r_3_S_0037_0001_0001
21.346999999999998,r_3_S_0038_0001_0001
21.275,r_3_S_0039_0001_0001
21.708000000000002,r_3_S_0040_0001_0001
21.506999999999998,r_3_S_0041_0001_0001
21.642,r_3_S_0042_0001_0001
21.333000000000002,r_3_S_0043_0001_0001
21.563000000000002,r_3_S_0044_0001_0001
21.386,r_3_S_0045_0001_0001
21.593000000000004,r_3_S_0046_0001_0001
21.538,r_3_S_0047_0001_0001
21.655,r_3_S_0048_0001_0001
21.443,r_3_S_0049_0001_0001
21.539,r_3_S_0050_0001_0001
21.662,r_4_S_0001_0001_0001
21.345,r_4_S_0002_0001_0001
21.506,r_4_S_0003_0001_0001
21.658,r_4_S_0004_0001_0001
21.311999999999998,r_4_S_0005_0001_0001
21.598000000000003,r_4_S_0006_0001_0001
21.662,r_4_S_0007_0001_0001
21.505,r_4_S_0008_0001_0001
21.421,r_4_S_0009_0001_0001
21.589000000000002,r_4_S_0010_0001_0001
21.494,r_4_S_0011_0001_0001
21.588,r_4_S_0012_0001_0001
21.596999999999998,r_4_S_0013_0001_0001
21.432,r_4_S_0014_0001_0001
21.538,r_4_S_0015_0001_0001
21.526999999999997,r_4_S_0016_0001_0001
21.013,r_4_S_0017_0001_0001
21.166999999999998,r_4_S_0018_0001_0001
21.715,r_4_S_0019_0001_0001
21.64,r_4_S_0020_0001_0001
21.766,r_4_S_0021_0001_0001
21.686999999999998,r_4_S_0022_0001_0001
