RG_SCORE,MODEL
28.355,r_1_S_0001_0001_0001
28.151999999999997,r_1_S_0002_0001_0001
28.589000000000002,r_1_S_0003_0001_0001
28.625,r_1_S_0004_0001_0001
28.611,r_1_S_0005_0001_0001
29.035,r_1_S_0006_0001_0001
28.721999999999998,r_1_S_0007_0001_0001
29.337,r_1_S_0008_0001_0001
28.828000000000003,r_1_S_0009_0001_0001
28.255,r_1_S_0010_0001_0001
28.903000000000002,r_1_S_0011_0001_0001
28.535999999999998,r_1_S_0012_0001_0001
29.565,r_1_S_0013_0001_0001
28.59,r_1_S_0014_0001_0001
28.235,r_1_S_0015_0001_0001
28.363000000000003,r_1_S_0016_0001_0001
29.145,r_1_S_0017_0001_0001
28.401999999999997,r_1_S_0018_0001_0001
28.618000000000002,r_1_S_0019_0001_0001
28.348000000000003,r_1_S_0020_0001_0001
28.918000000000003,r_1_S_0021_0001_0001
28.866,r_1_S_0022_0001_0001
28.768,r_1_S_0023_0001_0001
28.506999999999998,r_1_S_0024_0001_0001
28.636,r_1_S_0025_0001_0001
29.081999999999997,r_1_S_0026_0001_0001
28.570999999999998,r_1_S_0027_0001_0001
28.866,r_1_S_0028_0001_0001
28.717,r_1_S_0029_0001_0001
28.608,r_1_S_0030_0001_0001
29.186,r_1_S_0031_0001_0001
28.691999999999997,r_1_S_0032_0001_0001
28.61,r_1_S_0033_0001_0001
28.248,r_1_S_0034_0001_0001
28.718000000000004,r_1_S_0035_0001_0001
28.824,r_1_S_0036_0001_0001
28.555,r_1_S_0037_0001_0001
28.635,r_1_S_0038_0001_0001
28.573,r_1_S_0039_0001_0001
28.864,r_1_S_0040_0001_0001
29.136,r_1_S_0041_0001_0001
29.325,r_1_S_0042_0001_0001
28.945999999999998,r_1_S_0043_0001_0001
28.1,r_1_S_0044_0001_0001
28.875,r_1_S_0045_0001_0001
28.463,r_1_S_0046_0001_0001
28.653000000000002,r_1_S_0047_0001_0001
28.276,r_1_S_0048_0001_0001
28.837,r_1_S_0049_0001_0001
28.714000000000002,r_1_S_0050_0001_0001
