RG_SCORE,MODEL
12.633,r_1_F_00000001_0001_0001
15.115,r_1_F_00000003_0001_0001
12.694,r_1_F_00000007_0001_0001
14.013,r_1_F_00000014_0001_0001
12.45,r_1_F_00000018_0001_0001
15.302,r_1_F_00000035_0001_0001
12.017999999999999,r_1_F_00000048_0001_0001
12.199000000000002,r_1_F_00000053_0001_0001
12.89,r_1_F_00000070_0001_0001
12.244000000000002,r_1_F_00000073_0001_0001
11.805,r_1_F_00000075_0001_0001
11.905,r_1_F_00000077_0001_0001
14.46,r_1_F_00000103_0001_0001
12.005999999999998,r_1_F_00000110_0001_0001
15.207,r_1_F_00000119_0001_0001
11.992,r_1_F_00000121_0001_0001
12.767999999999999,r_1_F_00000128_0001_0001
13.704,r_1_F_00000137_0001_0001
12.162,r_1_F_00000147_0001_0001
11.887,r_1_F_00000148_0001_0001
12.714,r_1_F_00000155_0001_0001
12.493,r_1_F_00000159_0001_0001
12.484000000000002,r_1_F_00000164_0001_0001
12.106,r_1_F_00000165_0001_0001
12.782,r_1_F_00000173_0001_0001
12.151,r_1_F_00000180_0001_0001
13.172,r_1_F_00000182_0001_0001
12.232000000000001,r_1_F_00000189_0001_0001
12.475999999999999,r_1_F_00000193_0001_0001
12.079,r_1_F_00000213_0001_0001
12.99,r_1_F_00000215_0001_0001
12.14,r_1_F_00000220_0001_0001
12.279000000000002,r_1_F_00000232_0001_0001
13.735,r_1_F_00000236_0001_0001
14.44,r_1_F_00000238_0001_0001
12.446,r_1_F_00000245_0001_0001
13.184000000000001,r_1_F_00000256_0001_0001
15.748,r_1_F_00000259_0001_0001
11.834000000000001,r_1_F_00000263_0001_0001
14.128,r_1_F_00000267_0001_0001
13.440999999999999,r_1_F_00000268_0001_0001
13.0,r_1_F_00000275_0001_0001
11.929,r_1_F_00000281_0001_0001
12.261,r_1_F_00000285_0001_0001
13.690999999999999,r_1_F_00000293_0001_0001
13.422,r_1_F_00000299_0001_0001
14.795,r_1_F_00000321_0001_0001
12.697000000000001,r_1_F_00000324_0001_0001
14.184000000000001,r_1_F_00000329_0001_0001
11.744000000000002,r_1_F_00000337_0001_0001
12.525,r_1_F_00000347_0001_0001
14.692,r_1_F_00000350_0001_0001
12.487,r_1_F_00000354_0001_0001
13.584000000000001,r_1_F_00000357_0001_0001
12.695,r_1_F_00000365_0001_0001
12.302999999999999,r_1_F_00000369_0001_0001
11.89,r_1_F_00000383_0001_0001
12.366,r_1_F_00000388_0001_0001
12.232000000000001,r_1_F_00000392_0001_0001
14.048,r_1_F_00000394_0001_0001
14.49,r_1_F_00000395_0001_0001
12.49,r_1_F_00000422_0001_0001
12.135,r_1_F_00000436_0001_0001
12.254000000000001,r_1_F_00000441_0001_0001
13.040999999999999,r_1_F_00000444_0001_0001
12.981,r_1_F_00000450_0001_0001
13.989,r_1_F_00000466_0001_0001
12.227,r_1_F_00000473_0001_0001
12.33,r_1_F_00000480_0001_0001
12.704,r_1_F_00000488_0001_0001
12.264000000000001,r_1_F_00000495_0001_0001
12.46,r_1_S_00000002_0001_0001
12.334000000000001,r_1_S_00000004_0001_0001
