RG_SCORE,MODEL
17.817999999999998,r_1_S_00000001_0001_0001
15.872,r_1_S_00000002_0001_0001
16.62,r_1_S_00000003_0001_0001
15.161,r_1_S_00000004_0001_0001
16.613,r_1_S_00000005_0001_0001
17.782,r_1_S_00000006_0001_0001
15.068,r_1_S_00000007_0001_0001
16.384,r_1_S_00000008_0001_0001
15.508,r_1_S_00000009_0001_0001
16.980999999999998,r_1_S_00000010_0001_0001
16.078,r_1_S_00000011_0001_0001
15.82,r_1_S_00000012_0001_0001
16.495,r_1_S_00000013_0001_0001
18.31,r_1_S_00000014_0001_0001
15.832,r_1_S_00000015_0001_0001
18.587,r_1_S_00000016_0001_0001
19.554000000000002,r_1_S_00000017_0001_0001
18.442,r_1_S_00000018_0001_0001
17.845,r_1_S_00000019_0001_0001
16.947,r_1_S_00000020_0001_0001
15.572000000000001,r_1_S_00000021_0001_0001
16.47,r_1_S_00000022_0001_0001
16.067999999999998,r_1_S_00000023_0001_0001
15.828,r_1_S_00000024_0001_0001
16.483,r_1_S_00000025_0001_0001
15.743,r_1_S_00000026_0001_0001
17.298,r_1_S_00000027_0001_0001
15.885,r_1_S_00000028_0001_0001
17.155,r_1_S_00000029_0001_0001
16.58,r_1_S_00000030_0001_0001
15.864,r_1_S_00000031_0001_0001
15.436,r_1_S_00000032_0001_0001
17.169,r_1_S_00000033_0001_0001
15.925999999999998,r_1_S_00000034_0001_0001
16.977,r_1_S_00000035_0001_0001
15.75,r_1_S_00000036_0001_0001
17.047,r_1_S_00000037_0001_0001
16.613,r_1_S_00000038_0001_0001
17.986,r_1_S_00000039_0001_0001
16.166,r_1_S_00000040_0001_0001
16.45,r_1_S_00000041_0001_0001
17.457,r_1_S_00000042_0001_0001
18.722,r_1_S_00000043_0001_0001
17.915,r_1_S_00000044_0001_0001
16.159000000000002,r_1_S_00000045_0001_0001
15.477,r_1_S_00000046_0001_0001
16.382,r_1_S_00000047_0001_0001
17.949,r_1_S_00000048_0001_0001
16.237000000000002,r_1_S_00000049_0001_0001
15.953,r_1_S_00000050_0001_0001
17.218,r_1_S_00000051_0001_0001
15.535,r_1_S_00000052_0001_0001
16.090999999999998,r_1_S_00000053_0001_0001
15.513,r_1_S_00000054_0001_0001
17.49,r_1_S_00000055_0001_0001
15.505,r_1_S_00000056_0001_0001
16.320999999999998,r_1_S_00000057_0001_0001
15.6,r_1_S_00000058_0001_0001
16.879,r_1_S_00000059_0001_0001
15.019,r_1_S_00000060_0001_0001
15.497,r_1_S_00000061_0001_0001
15.43,r_1_S_00000062_0001_0001
15.459000000000001,r_1_S_00000063_0001_0001
16.202,r_1_S_00000064_0001_0001
16.614,r_1_S_00000065_0001_0001
16.108,r_1_S_00000066_0001_0001
15.669,r_1_S_00000067_0001_0001
17.137999999999998,r_1_S_00000068_0001_0001
15.845999999999998,r_1_S_00000069_0001_0001
16.74,r_1_S_00000070_0001_0001
16.688,r_1_S_00000071_0001_0001
17.005,r_1_S_00000072_0001_0001
15.474,r_1_S_00000073_0001_0001
15.901,r_1_S_00000074_0001_0001
15.874,r_1_S_00000075_0001_0001
16.430999999999997,r_1_S_00000076_0001_0001
15.463,r_1_S_00000077_0001_0001
16.107,r_1_S_00000078_0001_0001
16.417,r_1_S_00000079_0001_0001
19.26,r_1_S_00000080_0001_0001
17.334,r_1_S_00000081_0001_0001
16.12,r_1_S_00000082_0001_0001
15.675,r_1_S_00000083_0001_0001
16.153,r_1_S_00000084_0001_0001
15.7,r_1_S_00000085_0001_0001
15.649000000000001,r_1_S_00000086_0001_0001
15.743,r_1_S_00000087_0001_0001
15.925,r_1_S_00000088_0001_0001
17.91,r_1_S_00000089_0001_0001
15.829,r_1_S_00000090_0001_0001
16.491,r_1_S_00000091_0001_0001
18.52,r_1_S_00000092_0001_0001
16.421,r_1_S_00000093_0001_0001
15.684000000000001,r_1_S_00000094_0001_0001
18.358,r_1_S_00000095_0001_0001
16.143,r_1_S_00000096_0001_0001
16.094,r_1_S_00000097_0001_0001
16.934,r_1_S_00000098_0001_0001
15.344000000000001,r_1_S_00000099_0001_0001
16.671,r_1_S_00000100_0001_0001
17.565,r_1_S_00000101_0001_0001
18.708,r_1_S_00000102_0001_0001
16.519000000000002,r_1_S_00000103_0001_0001
19.802,r_1_S_00000104_0001_0001
16.602999999999998,r_1_S_00000105_0001_0001
17.429000000000002,r_1_S_00000106_0001_0001
15.802,r_1_S_00000107_0001_0001
15.638,r_1_S_00000108_0001_0001
16.767,r_1_S_00000109_0001_0001
17.152,r_1_S_00000110_0001_0001
17.733,r_1_S_00000111_0001_0001
16.098,r_1_S_00000112_0001_0001
17.297,r_1_S_00000113_0001_0001
16.706,r_1_S_00000114_0001_0001
15.972000000000001,r_1_S_00000115_0001_0001
15.637,r_1_S_00000116_0001_0001
16.144000000000002,r_1_S_00000117_0001_0001
16.989,r_1_S_00000118_0001_0001
16.549,r_1_S_00000119_0001_0001
17.83,r_1_S_00000120_0001_0001
16.442,r_1_S_00000121_0001_0001
16.797,r_1_S_00000122_0001_0001
14.945,r_1_S_00000123_0001_0001
15.355,r_1_S_00000124_0001_0001
16.105,r_1_S_00000125_0001_0001
16.271,r_1_S_00000126_0001_0001
15.352,r_1_S_00000127_0001_0001
19.952,r_1_S_00000128_0001_0001
16.928,r_1_S_00000129_0001_0001
19.011,r_1_S_00000130_0001_0001
16.3,r_1_S_00000131_0001_0001
18.928,r_1_S_00000132_0001_0001
16.768,r_1_S_00000133_0001_0001
15.814,r_1_S_00000134_0001_0001
16.877,r_1_S_00000135_0001_0001
17.637999999999998,r_1_S_00000136_0001_0001
15.878,r_1_S_00000137_0001_0001
16.894000000000002,r_1_S_00000138_0001_0001
15.4,r_1_S_00000139_0001_0001
16.131,r_1_S_00000140_0001_0001
16.023,r_1_S_00000141_0001_0001
16.835,r_1_S_00000142_0001_0001
16.507,r_1_S_00000143_0001_0001
15.636,r_1_S_00000144_0001_0001
15.936,r_1_S_00000145_0001_0001
16.297,r_1_S_00000146_0001_0001
17.57,r_1_S_00000147_0001_0001
18.404,r_1_S_00000148_0001_0001
19.11,r_1_S_00000149_0001_0001
16.322,r_1_S_00000150_0001_0001
15.630999999999998,r_1_S_00000151_0001_0001
15.549000000000001,r_1_S_00000152_0001_0001
16.733,r_1_S_00000153_0001_0001
18.015,r_1_S_00000154_0001_0001
16.579,r_1_S_00000155_0001_0001
17.704,r_1_S_00000156_0001_0001
18.185,r_1_S_00000157_0001_0001
15.244000000000002,r_1_S_00000158_0001_0001
17.747,r_1_S_00000159_0001_0001
17.238,r_1_S_00000160_0001_0001
16.066,r_1_S_00000161_0001_0001
16.171,r_1_S_00000162_0001_0001
17.012999999999998,r_1_S_00000163_0001_0001
16.453,r_1_S_00000164_0001_0001
15.847000000000001,r_1_S_00000165_0001_0001
15.682,r_1_S_00000166_0001_0001
16.072,r_1_S_00000167_0001_0001
17.2,r_1_S_00000168_0001_0001
16.273,r_1_S_00000169_0001_0001
18.537,r_1_S_00000170_0001_0001
15.661,r_1_S_00000171_0001_0001
15.571,r_1_S_00000172_0001_0001
18.418,r_1_S_00000173_0001_0001
17.914,r_1_S_00000174_0001_0001
18.535999999999998,r_1_S_00000175_0001_0001
17.194000000000003,r_1_S_00000176_0001_0001
17.24,r_1_S_00000177_0001_0001
15.892000000000001,r_1_S_00000178_0001_0001
17.114,r_1_S_00000179_0001_0001
17.012999999999998,r_1_S_00000180_0001_0001
15.901,r_1_S_00000181_0001_0001
17.484,r_1_S_00000182_0001_0001
19.973,r_1_S_00000183_0001_0001
16.357,r_1_S_00000184_0001_0001
15.139000000000001,r_1_S_00000185_0001_0001
18.038,r_1_S_00000186_0001_0001
18.019000000000002,r_1_S_00000187_0001_0001
19.098,r_1_S_00000188_0001_0001
16.397000000000002,r_1_S_00000189_0001_0001
16.958,r_1_S_00000190_0001_0001
15.287,r_1_S_00000191_0001_0001
16.096,r_1_S_00000192_0001_0001
18.567999999999998,r_1_S_00000193_0001_0001
18.115,r_1_S_00000194_0001_0001
17.289,r_1_S_00000195_0001_0001
16.245,r_1_S_00000196_0001_0001
16.175,r_1_S_00000197_0001_0001
16.051,r_1_S_00000198_0001_0001
16.737000000000002,r_1_S_00000199_0001_0001
17.597,r_1_S_00000200_0001_0001
20.283,r_1_S_00000201_0001_0001
16.225,r_1_S_00000202_0001_0001
16.265,r_1_S_00000203_0001_0001
15.384,r_1_S_00000204_0001_0001
16.248,r_1_S_00000205_0001_0001
16.835,r_1_S_00000206_0001_0001
17.168,r_1_S_00000207_0001_0001
17.855999999999998,r_1_S_00000208_0001_0001
16.416,r_1_S_00000209_0001_0001
16.445,r_1_S_00000210_0001_0001
17.085,r_1_S_00000211_0001_0001
17.651,r_1_S_00000212_0001_0001
16.933,r_1_S_00000213_0001_0001
16.03,r_1_S_00000214_0001_0001
16.682000000000002,r_1_S_00000215_0001_0001
16.909000000000002,r_1_S_00000216_0001_0001
16.247,r_1_S_00000217_0001_0001
17.665,r_1_S_00000218_0001_0001
18.646,r_1_S_00000219_0001_0001
17.458,r_1_S_00000220_0001_0001
16.442999999999998,r_1_S_00000221_0001_0001
15.905,r_1_S_00000222_0001_0001
16.831,r_1_S_00000223_0001_0001
17.9,r_1_S_00000224_0001_0001
17.102,r_1_S_00000225_0001_0001
17.589000000000002,r_1_S_00000226_0001_0001
16.916,r_1_S_00000227_0001_0001
17.077,r_1_S_00000228_0001_0001
17.192,r_1_S_00000229_0001_0001
17.514,r_1_S_00000230_0001_0001
18.498,r_1_S_00000231_0001_0001
16.074,r_1_S_00000232_0001_0001
18.512,r_1_S_00000233_0001_0001
15.276,r_1_S_00000234_0001_0001
17.947,r_1_S_00000235_0001_0001
18.180999999999997,r_1_S_00000236_0001_0001
16.679000000000002,r_1_S_00000237_0001_0001
16.552,r_1_S_00000238_0001_0001
15.561,r_1_S_00000239_0001_0001
17.907,r_1_S_00000240_0001_0001
18.113,r_1_S_00000241_0001_0001
15.392000000000001,r_1_S_00000242_0001_0001
16.148,r_1_S_00000243_0001_0001
15.932,r_1_S_00000244_0001_0001
15.565,r_1_S_00000245_0001_0001
18.094,r_1_S_00000246_0001_0001
16.977999999999998,r_1_S_00000247_0001_0001
17.593,r_1_S_00000248_0001_0001
17.467,r_1_S_00000249_0001_0001
15.967,r_1_S_00000250_0001_0001
17.044,r_1_S_00000251_0001_0001
17.205,r_1_S_00000252_0001_0001
15.681,r_1_S_00000253_0001_0001
15.602,r_1_S_00000254_0001_0001
16.098,r_1_S_00000255_0001_0001
17.53,r_1_S_00000256_0001_0001
15.115,r_1_S_00000257_0001_0001
16.563,r_1_S_00000258_0001_0001
16.854,r_1_S_00000259_0001_0001
18.832,r_1_S_00000260_0001_0001
16.658,r_1_S_00000261_0001_0001
15.304,r_1_S_00000262_0001_0001
15.905999999999999,r_1_S_00000263_0001_0001
17.23,r_1_S_00000264_0001_0001
17.898,r_1_S_00000265_0001_0001
16.577,r_1_S_00000266_0001_0001
15.979000000000001,r_1_S_00000267_0001_0001
16.590999999999998,r_1_S_00000268_0001_0001
16.039,r_1_S_00000269_0001_0001
16.625999999999998,r_1_S_00000270_0001_0001
17.065,r_1_S_00000271_0001_0001
17.96,r_1_S_00000272_0001_0001
15.859000000000002,r_1_S_00000273_0001_0001
17.412,r_1_S_00000274_0001_0001
19.189,r_1_S_00000275_0001_0001
15.352,r_1_S_00000276_0001_0001
15.305,r_1_S_00000277_0001_0001
17.397000000000002,r_1_S_00000278_0001_0001
18.250999999999998,r_1_S_00000279_0001_0001
15.458,r_1_S_00000280_0001_0001
15.690999999999999,r_1_S_00000281_0001_0001
16.152,r_1_S_00000282_0001_0001
17.683,r_1_S_00000283_0001_0001
17.992,r_1_S_00000284_0001_0001
17.905,r_1_S_00000285_0001_0001
16.090999999999998,r_1_S_00000286_0001_0001
16.803,r_1_S_00000287_0001_0001
16.294,r_1_S_00000288_0001_0001
18.647000000000002,r_1_S_00000289_0001_0001
16.887,r_1_S_00000290_0001_0001
17.097,r_1_S_00000291_0001_0001
16.442,r_1_S_00000292_0001_0001
16.837,r_1_S_00000293_0001_0001
15.952,r_1_S_00000294_0001_0001
16.704,r_1_S_00000295_0001_0001
18.479,r_1_S_00000296_0001_0001
16.332,r_1_S_00000297_0001_0001
17.415,r_1_S_00000298_0001_0001
15.658,r_1_S_00000299_0001_0001
16.924,r_1_S_00000300_0001_0001
15.635,r_1_S_00000301_0001_0001
15.818,r_1_S_00000302_0001_0001
15.457,r_1_S_00000303_0001_0001
17.655,r_1_S_00000304_0001_0001
15.98,r_1_S_00000305_0001_0001
16.36,r_1_S_00000306_0001_0001
15.392000000000001,r_1_S_00000307_0001_0001
17.145,r_1_S_00000308_0001_0001
16.945,r_1_S_00000309_0001_0001
17.082,r_1_S_00000310_0001_0001
17.156,r_1_S_00000311_0001_0001
15.69,r_1_S_00000312_0001_0001
17.649,r_1_S_00000313_0001_0001
15.936,r_1_S_00000314_0001_0001
16.623,r_1_S_00000315_0001_0001
16.178,r_1_S_00000316_0001_0001
16.418,r_1_S_00000317_0001_0001
18.712,r_1_S_00000318_0001_0001
16.505,r_1_S_00000319_0001_0001
20.094,r_1_S_00000320_0001_0001
18.011,r_1_S_00000321_0001_0001
15.738,r_1_S_00000322_0001_0001
15.895999999999999,r_1_S_00000323_0001_0001
15.975,r_1_S_00000324_0001_0001
16.92,r_1_S_00000325_0001_0001
15.962,r_1_S_00000326_0001_0001
15.839,r_1_S_00000327_0001_0001
16.185,r_1_S_00000328_0001_0001
17.587,r_1_S_00000329_0001_0001
