RG_SCORE,MODEL
20.099,r_1_S_0001_0001_0001
23.708000000000002,r_1_S_0002_0001_0001
22.570999999999998,r_1_S_0003_0001_0001
17.391,r_1_S_0004_0001_0001
24.15,r_1_S_0005_0001_0001
22.144000000000002,r_1_S_0006_0001_0001
21.933000000000003,r_1_S_0007_0001_0001
23.98,r_1_S_0008_0001_0001
23.084,r_1_S_0009_0001_0001
24.523000000000003,r_1_S_0010_0001_0001
22.744,r_1_S_0011_0001_0001
21.194000000000003,r_1_S_0012_0001_0001
19.662,r_1_S_0013_0001_0001
22.884,r_1_S_0014_0001_0001
22.349,r_1_S_0015_0001_0001
21.912,r_1_S_0016_0001_0001
24.061999999999998,r_1_S_0017_0001_0001
22.627,r_1_S_0018_0001_0001
21.839000000000002,r_1_S_0019_0001_0001
24.705,r_1_S_0020_0001_0001
23.772,r_1_S_0021_0001_0001
22.991999999999997,r_1_S_0022_0001_0001
22.214000000000002,r_1_S_0023_0001_0001
24.767,r_1_S_0024_0001_0001
23.201,r_1_S_0025_0001_0001
23.436999999999998,r_1_S_0026_0001_0001
22.511,r_1_S_0027_0001_0001
23.72,r_1_S_0028_0001_0001
21.851999999999997,r_1_S_0029_0001_0001
21.644000000000002,r_1_S_0030_0001_0001
23.022,r_1_S_0031_0001_0001
21.779,r_1_S_0032_0001_0001
21.31,r_1_S_0033_0001_0001
24.421,r_1_S_0034_0001_0001
21.915,r_1_S_0035_0001_0001
23.355,r_1_S_0036_0001_0001
24.115,r_1_S_0037_0001_0001
22.592,r_1_S_0038_0001_0001
21.648000000000003,r_1_S_0039_0001_0001
21.721999999999998,r_1_S_0040_0001_0001
22.23,r_1_S_0041_0001_0001
23.772,r_1_S_0042_0001_0001
21.151,r_1_S_0043_0001_0001
23.48,r_1_S_0044_0001_0001
23.17,r_1_S_0045_0001_0001
22.311,r_1_S_0046_0001_0001
24.305,r_1_S_0047_0001_0001
23.954,r_1_S_0048_0001_0001
22.308000000000003,r_1_S_0049_0001_0001
23.127,r_1_S_0050_0001_0001
21.886,r_1_S_0051_0001_0001
24.915,r_1_S_0052_0001_0001
19.807000000000002,r_1_S_0053_0001_0001
24.588,r_1_S_0054_0001_0001
19.72,r_1_S_0055_0001_0001
22.843000000000004,r_1_S_0056_0001_0001
21.666999999999998,r_1_S_0057_0001_0001
20.788,r_1_S_0058_0001_0001
24.115,r_1_S_0059_0001_0001
22.47,r_1_S_0060_0001_0001
24.426,r_1_S_0061_0001_0001
21.897,r_1_S_0062_0001_0001
22.635,r_1_S_0063_0001_0001
24.129,r_1_S_0064_0001_0001
22.038,r_1_S_0065_0001_0001
24.328000000000003,r_1_S_0066_0001_0001
19.722,r_1_S_0067_0001_0001
