RG_SCORE,MODEL
8.235,r_1_S_00000001_0001_0001
8.482000000000001,r_1_S_00000002_0001_0001
8.246,r_1_S_00000003_0001_0001
8.781,r_1_S_00000004_0001_0001
8.777000000000001,r_1_S_00000005_0001_0001
8.066,r_1_S_00000006_0001_0001
9.361,r_1_S_00000007_0001_0001
8.281,r_1_S_00000008_0001_0001
8.465,r_1_S_00000009_0001_0001
8.34,r_1_S_00000010_0001_0001
8.777000000000001,r_1_S_00000011_0001_0001
8.94,r_1_S_00000012_0001_0001
8.65,r_1_S_00000013_0001_0001
8.696,r_1_S_00000014_0001_0001
8.372,r_1_S_00000015_0001_0001
8.771,r_1_S_00000016_0001_0001
8.749,r_1_S_00000017_0001_0001
8.793,r_1_S_00000018_0001_0001
8.297,r_1_S_00000019_0001_0001
9.005,r_1_S_00000020_0001_0001
8.232999999999999,r_1_S_00000021_0001_0001
8.64,r_1_S_00000022_0001_0001
8.356,r_1_S_00000023_0001_0001
8.109,r_1_S_00000024_0001_0001
8.771,r_1_S_00000025_0001_0001
8.402000000000001,r_1_S_00000026_0001_0001
8.443999999999999,r_1_S_00000027_0001_0001
8.825,r_1_S_00000028_0001_0001
9.168,r_1_S_00000029_0001_0001
7.859,r_1_S_00000030_0001_0001
8.421,r_1_S_00000031_0001_0001
8.294,r_1_S_00000032_0001_0001
8.908,r_1_S_00000033_0001_0001
8.558,r_1_S_00000034_0001_0001
8.79,r_1_S_00000035_0001_0001
9.275,r_1_S_00000036_0001_0001
8.926,r_1_S_00000037_0001_0001
8.378,r_1_S_00000038_0001_0001
8.632,r_1_S_00000039_0001_0001
8.451,r_1_S_00000040_0001_0001
8.429,r_1_S_00000041_0001_0001
8.782,r_1_S_00000042_0001_0001
8.552,r_1_S_00000043_0001_0001
9.253,r_1_S_00000044_0001_0001
9.162,r_1_S_00000045_0001_0001
8.59,r_1_S_00000046_0001_0001
8.877,r_1_S_00000047_0001_0001
8.204,r_1_S_00000048_0001_0001
8.038,r_1_S_00000049_0001_0001
8.265,r_1_S_00000050_0001_0001
9.229,r_1_S_00000051_0001_0001
8.43,r_1_S_00000052_0001_0001
8.427999999999999,r_1_S_00000053_0001_0001
8.415,r_1_S_00000054_0001_0001
8.273,r_1_S_00000055_0001_0001
8.807,r_1_S_00000056_0001_0001
8.441,r_1_S_00000057_0001_0001
8.552,r_1_S_00000058_0001_0001
8.488,r_1_S_00000059_0001_0001
8.449,r_1_S_00000060_0001_0001
8.951,r_1_S_00000061_0001_0001
8.251,r_1_S_00000062_0001_0001
8.847999999999999,r_1_S_00000063_0001_0001
8.277000000000001,r_1_S_00000064_0001_0001
9.203,r_1_S_00000065_0001_0001
8.621,r_1_S_00000066_0001_0001
8.83,r_1_S_00000067_0001_0001
8.866,r_1_S_00000068_0001_0001
8.646,r_1_S_00000069_0001_0001
9.269,r_1_S_00000070_0001_0001
8.478,r_1_S_00000071_0001_0001
8.481,r_1_S_00000072_0001_0001
8.669,r_1_S_00000073_0001_0001
8.77,r_1_S_00000074_0001_0001
8.519,r_1_S_00000075_0001_0001
8.039,r_1_S_00000076_0001_0001
8.884,r_1_S_00000077_0001_0001
8.913,r_1_S_00000078_0001_0001
8.503,r_1_S_00000079_0001_0001
8.48,r_1_S_00000080_0001_0001
8.85,r_1_S_00000081_0001_0001
8.522,r_1_S_00000082_0001_0001
8.79,r_1_S_00000083_0001_0001
8.583,r_1_S_00000084_0001_0001
8.765,r_1_S_00000085_0001_0001
8.443999999999999,r_1_S_00000086_0001_0001
8.488999999999999,r_1_S_00000087_0001_0001
8.783,r_1_S_00000088_0001_0001
8.552999999999999,r_1_S_00000089_0001_0001
8.836,r_1_S_00000090_0001_0001
8.514,r_1_S_00000091_0001_0001
8.461,r_1_S_00000092_0001_0001
9.004,r_1_S_00000093_0001_0001
8.317,r_1_S_00000094_0001_0001
8.549,r_1_S_00000095_0001_0001
8.52,r_1_S_00000096_0001_0001
8.947000000000001,r_1_S_00000097_0001_0001
9.232999999999999,r_1_S_00000098_0001_0001
9.42,r_1_S_00000099_0001_0001
8.217,r_1_S_00000100_0001_0001
8.312999999999999,r_1_S_00000101_0001_0001
8.892000000000001,r_1_S_00000102_0001_0001
8.827,r_1_S_00000103_0001_0001
8.396,r_1_S_00000104_0001_0001
8.616,r_1_S_00000105_0001_0001
8.601,r_1_S_00000106_0001_0001
8.531,r_1_S_00000107_0001_0001
8.401,r_1_S_00000108_0001_0001
8.601,r_1_S_00000109_0001_0001
8.774,r_1_S_00000110_0001_0001
9.242,r_1_S_00000111_0001_0001
9.264,r_1_S_00000112_0001_0001
8.777999999999999,r_1_S_00000113_0001_0001
9.103,r_1_S_00000114_0001_0001
8.725,r_1_S_00000115_0001_0001
7.755,r_1_S_00000116_0001_0001
9.362,r_1_S_00000117_0001_0001
8.392999999999999,r_1_S_00000118_0001_0001
9.157,r_1_S_00000119_0001_0001
8.763,r_1_S_00000120_0001_0001
8.036,r_1_S_00000121_0001_0001
