RG_SCORE,MODEL
9.841000000000001,r2_t2_1_S_0001_0001_0001
9.904,r2_t2_1_S_0002_0001_0001
9.829,r2_t2_1_S_0003_0001_0001
9.88,r2_t2_1_S_0004_0001_0001
9.863999999999999,r2_t2_1_S_0005_0001_0001
9.952,r2_t2_1_S_0006_0001_0001
9.747,r2_t2_1_S_0007_0001_0001
9.727,r2_t2_1_S_0008_0001_0001
9.825,r2_t2_1_S_0009_0001_0001
9.722000000000001,r2_t2_1_S_0010_0001_0001
9.805,r2_t2_1_S_0011_0001_0001
9.971,r2_t2_1_S_0012_0001_0001
9.759,r2_t2_1_S_0013_0001_0001
10.004,r2_t2_1_S_0014_0001_0001
9.949,r2_t2_1_S_0015_0001_0001
9.808,r2_t2_1_S_0016_0001_0001
9.808,r2_t2_1_S_0017_0001_0001
9.753,r2_t2_1_S_0018_0001_0001
9.743,r2_t2_1_S_0019_0001_0001
9.833,r2_t2_1_S_0020_0001_0001
9.906,r2_t2_1_S_0021_0001_0001
9.774,r2_t2_1_S_0022_0001_0001
9.873,r2_t2_1_S_0023_0001_0001
9.762,r2_t2_1_S_0024_0001_0001
9.92,r2_t2_1_S_0025_0001_0001
9.908,r2_t2_1_S_0026_0001_0001
9.772,r2_t2_1_S_0027_0001_0001
9.78,r2_t2_1_S_0028_0001_0001
9.861,r2_t2_1_S_0029_0001_0001
9.843,r2_t2_1_S_0030_0001_0001
9.741,r2_t2_1_S_0031_0001_0001
9.929,r2_t2_1_S_0032_0001_0001
9.876,r2_t2_1_S_0033_0001_0001
9.796,r2_t2_1_S_0034_0001_0001
9.846,r2_t2_1_S_0035_0001_0001
9.793,r2_t2_1_S_0036_0001_0001
9.879,r2_t2_1_S_0037_0001_0001
9.781,r2_t2_1_S_0038_0001_0001
9.8,r2_t2_1_S_0039_0001_0001
9.998,r2_t2_1_S_0040_0001_0001
9.857999999999999,r2_t2_1_S_0041_0001_0001
9.738,r2_t2_1_S_0042_0001_0001
9.755,r2_t2_1_S_0043_0001_0001
10.001,r2_t2_1_S_0044_0001_0001
10.003,r2_t2_1_S_0045_0001_0001
9.798,r2_t2_1_S_0046_0001_0001
9.838,r2_t2_1_S_0047_0001_0001
10.048,r2_t2_1_S_0048_0001_0001
9.856,r2_t2_1_S_0049_0001_0001
9.782,r2_t2_1_S_0050_0001_0001
9.988,r2_t2_1_S_0051_0001_0001
9.948,r2_t2_1_S_0052_0001_0001
9.863999999999999,r2_t2_1_S_0053_0001_0001
9.75,r2_t2_1_S_0054_0001_0001
9.787,r2_t2_1_S_0055_0001_0001
9.806000000000001,r2_t2_1_S_0056_0001_0001
9.857999999999999,r2_t2_1_S_0057_0001_0001
9.716000000000001,r2_t2_1_S_0058_0001_0001
9.711,r2_t2_1_S_0059_0001_0001
9.951,r2_t2_1_S_0060_0001_0001
9.925,r2_t2_1_S_0061_0001_0001
9.728,r2_t2_1_S_0062_0001_0001
9.785,r2_t2_1_S_0063_0001_0001
9.833,r2_t2_1_S_0064_0001_0001
9.84,r2_t2_1_S_0065_0001_0001
9.748,r2_t2_1_S_0066_0001_0001
9.936,r2_t2_1_S_0067_0001_0001
