RG_SCORE,MODEL
28.773000000000003,r_1_S_0001_0001_0001
28.703000000000003,r_1_S_0002_0001_0001
29.031,r_1_S_0003_0001_0001
28.45,r_1_S_0004_0001_0001
28.570999999999998,r_1_S_0005_0001_0001
29.136,r_1_S_0006_0001_0001
28.656,r_1_S_0007_0001_0001
28.513,r_1_S_0008_0001_0001
28.176,r_1_S_0009_0001_0001
28.885,r_1_S_0010_0001_0001
28.886999999999997,r_1_S_0011_0001_0001
28.464000000000002,r_1_S_0012_0001_0001
28.541,r_1_S_0013_0001_0001
28.752,r_1_S_0014_0001_0001
29.416,r_1_S_0015_0001_0001
28.524,r_1_S_0016_0001_0001
28.482,r_1_S_0017_0001_0001
28.564,r_1_S_0018_0001_0001
28.435,r_1_S_0019_0001_0001
28.261999999999997,r_1_S_0020_0001_0001
28.704,r_1_S_0021_0001_0001
28.881,r_1_S_0022_0001_0001
28.704,r_1_S_0023_0001_0001
28.674,r_1_S_0024_0001_0001
28.701,r_1_S_0025_0001_0001
28.869,r_1_S_0026_0001_0001
28.655,r_1_S_0027_0001_0001
28.734,r_1_S_0028_0001_0001
28.621,r_1_S_0029_0001_0001
28.704,r_1_S_0030_0001_0001
28.728,r_1_S_0031_0001_0001
27.879,r_1_S_0032_0001_0001
29.281,r_1_S_0033_0001_0001
28.497,r_1_S_0034_0001_0001
28.804000000000002,r_1_S_0035_0001_0001
29.69,r_1_S_0036_0001_0001
29.373,r_1_S_0037_0001_0001
28.623,r_1_S_0038_0001_0001
28.524,r_1_S_0039_0001_0001
28.819000000000003,r_1_S_0040_0001_0001
28.518,r_1_S_0041_0001_0001
28.502,r_1_S_0042_0001_0001
28.261999999999997,r_1_S_0043_0001_0001
28.693,r_1_S_0044_0001_0001
28.66,r_1_S_0045_0001_0001
28.596999999999998,r_1_S_0046_0001_0001
28.859,r_1_S_0047_0001_0001
29.235,r_1_S_0048_0001_0001
28.645,r_1_S_0049_0001_0001
28.59,r_1_S_0050_0001_0001
28.878,r_2_S_0001_0001_0001
28.612,r_2_S_0002_0001_0001
28.609,r_2_S_0003_0001_0001
28.416,r_2_S_0004_0001_0001
28.565,r_2_S_0005_0001_0001
28.660999999999998,r_2_S_0006_0001_0001
28.928,r_2_S_0007_0001_0001
28.515,r_2_S_0008_0001_0001
28.703000000000003,r_2_S_0009_0001_0001
28.834,r_2_S_0010_0001_0001
28.432,r_2_S_0011_0001_0001
28.621,r_2_S_0012_0001_0001
30.488000000000003,r_2_S_0013_0001_0001
28.631999999999998,r_2_S_0014_0001_0001
29.158,r_2_S_0015_0001_0001
29.241,r_2_S_0016_0001_0001
28.653000000000002,r_2_S_0017_0001_0001
28.357,r_2_S_0018_0001_0001
28.799,r_2_S_0019_0001_0001
28.026999999999997,r_2_S_0020_0001_0001
28.756,r_2_S_0021_0001_0001
28.430999999999997,r_2_S_0022_0001_0001
28.674,r_2_S_0023_0001_0001
29.114,r_2_S_0024_0001_0001
28.584,r_2_S_0025_0001_0001
28.631999999999998,r_2_S_0026_0001_0001
29.647,r_2_S_0027_0001_0001
28.748,r_2_S_0028_0001_0001
28.708000000000002,r_2_S_0029_0001_0001
28.933000000000003,r_2_S_0030_0001_0001
28.537,r_2_S_0031_0001_0001
28.840999999999998,r_2_S_0032_0001_0001
29.496,r_2_S_0033_0001_0001
28.756,r_2_S_0034_0001_0001
28.916,r_2_S_0035_0001_0001
28.320999999999998,r_2_S_0036_0001_0001
28.616999999999997,r_2_S_0037_0001_0001
28.506,r_2_S_0038_0001_0001
28.768,r_2_S_0039_0001_0001
28.699,r_2_S_0040_0001_0001
29.094,r_2_S_0041_0001_0001
28.294,r_2_S_0042_0001_0001
28.724,r_2_S_0043_0001_0001
28.838,r_2_S_0044_0001_0001
28.517,r_2_S_0045_0001_0001
29.066,r_2_S_0046_0001_0001
28.67,r_2_S_0047_0001_0001
28.665,r_2_S_0048_0001_0001
28.680999999999997,r_2_S_0049_0001_0001
28.499000000000002,r_2_S_0050_0001_0001
28.51,r_3_S_0001_0001_0001
28.642,r_3_S_0002_0001_0001
28.334,r_3_S_0003_0001_0001
28.709,r_3_S_0004_0001_0001
28.673000000000002,r_3_S_0005_0001_0001
28.173000000000002,r_3_S_0006_0001_0001
28.846999999999998,r_3_S_0007_0001_0001
28.476999999999997,r_3_S_0008_0001_0001
29.653000000000002,r_3_S_0009_0001_0001
28.634,r_3_S_0010_0001_0001
28.976999999999997,r_3_S_0011_0001_0001
28.715,r_3_S_0012_0001_0001
28.712,r_3_S_0013_0001_0001
28.944000000000003,r_3_S_0014_0001_0001
28.635,r_3_S_0015_0001_0001
28.746,r_3_S_0016_0001_0001
28.709,r_3_S_0017_0001_0001
28.522,r_3_S_0018_0001_0001
28.737,r_3_S_0019_0001_0001
28.425,r_3_S_0020_0001_0001
28.936999999999998,r_3_S_0021_0001_0001
28.912,r_3_S_0022_0001_0001
28.888,r_3_S_0023_0001_0001
28.474,r_3_S_0024_0001_0001
