RG_SCORE,MODEL
14.985999999999999,r_1_S_0001_0001_0001
15.011,r_1_S_0002_0001_0001
15.035,r_1_S_0003_0001_0001
14.832,r_1_S_0004_0001_0001
14.959000000000001,r_1_S_0005_0001_0001
14.819,r_1_S_0006_0001_0001
14.815,r_1_S_0007_0001_0001
14.91,r_1_S_0008_0001_0001
15.054,r_1_S_0009_0001_0001
15.175999999999998,r_1_S_0010_0001_0001
14.87,r_1_S_0011_0001_0001
15.004000000000001,r_1_S_0012_0001_0001
15.04,r_1_S_0013_0001_0001
14.989,r_1_S_0014_0001_0001
14.914000000000001,r_1_S_0015_0001_0001
15.068,r_1_S_0016_0001_0001
14.988,r_1_S_0017_0001_0001
14.922,r_1_S_0018_0001_0001
15.027999999999999,r_1_S_0019_0001_0001
15.062000000000001,r_1_S_0020_0001_0001
14.79,r_1_S_0021_0001_0001
14.970999999999998,r_1_S_0022_0001_0001
15.148,r_1_S_0023_0001_0001
15.2,r_1_S_0024_0001_0001
14.829,r_1_S_0025_0001_0001
14.860999999999999,r_1_S_0026_0001_0001
14.811,r_1_S_0027_0001_0001
14.919,r_1_S_0028_0001_0001
15.095999999999998,r_1_S_0029_0001_0001
15.093,r_1_S_0030_0001_0001
14.913,r_1_S_0031_0001_0001
14.91,r_1_S_0032_0001_0001
15.017000000000001,r_1_S_0033_0001_0001
14.610999999999999,r_1_S_0034_0001_0001
15.020999999999999,r_1_S_0035_0001_0001
14.762,r_1_S_0036_0001_0001
14.993,r_1_S_0037_0001_0001
14.763,r_1_S_0038_0001_0001
15.002,r_1_S_0039_0001_0001
15.01,r_1_S_0040_0001_0001
14.984000000000002,r_1_S_0041_0001_0001
15.033,r_1_S_0042_0001_0001
14.875,r_1_S_0043_0001_0001
14.852,r_1_S_0044_0001_0001
15.158,r_1_S_0045_0001_0001
14.987,r_1_S_0046_0001_0001
15.084000000000001,r_1_S_0047_0001_0001
14.944,r_1_S_0048_0001_0001
14.884,r_1_S_0049_0001_0001
15.033,r_1_S_0050_0001_0001
15.004000000000001,r_1_S_0051_0001_0001
15.039000000000001,r_1_S_0052_0001_0001
15.026,r_1_S_0053_0001_0001
15.130999999999998,r_1_S_0054_0001_0001
14.957,r_1_S_0055_0001_0001
14.857000000000001,r_1_S_0056_0001_0001
14.991,r_1_S_0057_0001_0001
14.798,r_1_S_0058_0001_0001
14.86,r_1_S_0059_0001_0001
14.857000000000001,r_1_S_0060_0001_0001
14.981,r_1_S_0061_0001_0001
14.895999999999999,r_1_S_0062_0001_0001
15.140999999999998,r_1_S_0063_0001_0001
15.015,r_1_S_0064_0001_0001
14.95,r_1_S_0065_0001_0001
14.85,r_1_S_0066_0001_0001
14.912,r_1_S_0067_0001_0001
15.015,r_1_S_0068_0001_0001
15.009,r_1_S_0069_0001_0001
14.955,r_1_S_0070_0001_0001
14.97,r_1_S_0071_0001_0001
14.936,r_1_S_0072_0001_0001
14.946,r_1_S_0073_0001_0001
15.065999999999999,r_1_S_0074_0001_0001
15.210999999999999,r_1_S_0075_0001_0001
14.842,r_1_S_0076_0001_0001
14.939,r_1_S_0077_0001_0001
14.984000000000002,r_1_S_0078_0001_0001
15.012,r_1_S_0079_0001_0001
14.919,r_1_S_0080_0001_0001
14.969000000000001,r_1_S_0081_0001_0001
15.127,r_1_S_0082_0001_0001
14.843,r_1_S_0083_0001_0001
14.979000000000001,r_1_S_0084_0001_0001
14.918,r_1_S_0085_0001_0001
14.991,r_1_S_0086_0001_0001
15.054,r_1_S_0087_0001_0001
14.835999999999999,r_1_S_0088_0001_0001
14.988,r_1_S_0089_0001_0001
14.963,r_1_S_0090_0001_0001
14.99,r_1_S_0091_0001_0001
14.870999999999999,r_1_S_0092_0001_0001
15.207,r_1_S_0093_0001_0001
14.895999999999999,r_1_S_0094_0001_0001
14.873,r_1_S_0095_0001_0001
14.927999999999999,r_1_S_0096_0001_0001
15.017999999999999,r_1_S_0097_0001_0001
15.061,r_1_S_0098_0001_0001
15.062999999999999,r_1_S_0099_0001_0001
15.127,r_1_S_0100_0001_0001
14.948,r_1_S_0101_0001_0001
14.98,r_1_S_0102_0001_0001
15.004000000000001,r_1_S_0103_0001_0001
15.005,r_1_S_0104_0001_0001
14.583,r_1_S_0105_0001_0001
15.074000000000002,r_1_S_0106_0001_0001
14.842,r_1_S_0107_0001_0001
14.894,r_1_S_0108_0001_0001
14.939,r_1_S_0109_0001_0001
15.094000000000001,r_1_S_0110_0001_0001
14.807,r_1_S_0111_0001_0001
14.959000000000001,r_1_S_0112_0001_0001
14.921,r_1_S_0113_0001_0001
14.897,r_1_S_0114_0001_0001
14.745,r_1_S_0115_0001_0001
14.828,r_1_S_0116_0001_0001
14.937000000000001,r_1_S_0117_0001_0001
15.126,r_1_S_0118_0001_0001
14.963,r_1_S_0119_0001_0001
14.784,r_1_S_0120_0001_0001
14.814,r_1_S_0121_0001_0001
14.789000000000001,r_1_S_0122_0001_0001
14.876,r_1_S_0123_0001_0001
15.091,r_1_S_0124_0001_0001
14.937000000000001,r_1_S_0125_0001_0001
14.943,r_1_S_0126_0001_0001
14.850999999999999,r_1_S_0127_0001_0001
14.937000000000001,r_1_S_0128_0001_0001
14.835,r_1_S_0129_0001_0001
15.092,r_1_S_0130_0001_0001
14.834000000000001,r_1_S_0131_0001_0001
14.825,r_1_S_0132_0001_0001
14.913,r_1_S_0133_0001_0001
14.937999999999999,r_1_S_0134_0001_0001
14.802,r_1_S_0135_0001_0001
15.110999999999999,r_1_S_0136_0001_0001
14.622,r_1_S_0137_0001_0001
14.886,r_1_S_0138_0001_0001
15.050999999999998,r_1_S_0139_0001_0001
14.884,r_1_S_0140_0001_0001
14.842,r_1_S_0141_0001_0001
14.890999999999998,r_1_S_0142_0001_0001
15.040999999999999,r_1_S_0143_0001_0001
14.790999999999999,r_1_S_0144_0001_0001
14.962,r_1_S_0145_0001_0001
14.897,r_1_S_0146_0001_0001
14.865,r_1_S_0147_0001_0001
14.96,r_1_S_0148_0001_0001
14.924000000000001,r_1_S_0149_0001_0001
14.972000000000001,r_1_S_0150_0001_0001
14.839,r_1_S_0151_0001_0001
14.809000000000001,r_1_S_0152_0001_0001
15.009,r_1_S_0153_0001_0001
14.915,r_1_S_0154_0001_0001
14.886,r_1_S_0155_0001_0001
14.865,r_1_S_0156_0001_0001
14.99,r_1_S_0157_0001_0001
14.987,r_1_S_0158_0001_0001
14.677999999999999,r_1_S_0159_0001_0001
14.779000000000002,r_1_S_0160_0001_0001
14.99,r_1_S_0161_0001_0001
14.974,r_1_S_0162_0001_0001
14.889000000000001,r_1_S_0163_0001_0001
14.877,r_1_S_0164_0001_0001
15.151,r_1_S_0165_0001_0001
15.06,r_1_S_0166_0001_0001
14.943,r_1_S_0167_0001_0001
15.004000000000001,r_1_S_0168_0001_0001
15.005,r_1_S_0169_0001_0001
14.898,r_1_S_0170_0001_0001
15.130999999999998,r_1_S_0171_0001_0001
15.216,r_1_S_0172_0001_0001
14.800999999999998,r_1_S_0173_0001_0001
14.974,r_1_S_0174_0001_0001
