RG_SCORE,MODEL
26.604,r_1_S_0001_0001_0001
26.604,r_1_S_0002_0001_0001
26.479,r_1_S_0003_0001_0001
26.511999999999997,r_1_S_0004_0001_0001
26.316,r_1_S_0005_0001_0001
26.343000000000004,r_1_S_0006_0001_0001
26.256,r_1_S_0007_0001_0001
26.328000000000003,r_1_S_0008_0001_0001
26.55,r_1_S_0009_0001_0001
26.480999999999998,r_1_S_0010_0001_0001
26.607,r_1_S_0011_0001_0001
26.274,r_1_S_0012_0001_0001
26.513,r_1_S_0013_0001_0001
26.491,r_1_S_0014_0001_0001
26.293000000000003,r_1_S_0015_0001_0001
26.375,r_1_S_0016_0001_0001
26.491999999999997,r_1_S_0017_0001_0001
26.51,r_1_S_0018_0001_0001
26.572,r_1_S_0019_0001_0001
26.339000000000002,r_1_S_0020_0001_0001
26.33,r_1_S_0021_0001_0001
26.424,r_1_S_0022_0001_0001
26.445999999999998,r_1_S_0023_0001_0001
26.618000000000002,r_1_S_0024_0001_0001
26.605999999999998,r_1_S_0025_0001_0001
26.615,r_1_S_0026_0001_0001
26.331,r_1_S_0027_0001_0001
26.464000000000002,r_1_S_0028_0001_0001
26.388,r_1_S_0029_0001_0001
26.53,r_1_S_0030_0001_0001
26.516,r_1_S_0031_0001_0001
26.622,r_1_S_0032_0001_0001
26.191999999999997,r_1_S_0033_0001_0001
26.412,r_1_S_0034_0001_0001
26.454,r_1_S_0035_0001_0001
26.427,r_1_S_0036_0001_0001
26.585,r_1_S_0037_0001_0001
26.465999999999998,r_1_S_0038_0001_0001
26.514,r_1_S_0039_0001_0001
26.296,r_1_S_0040_0001_0001
26.385,r_1_S_0041_0001_0001
26.416999999999998,r_1_S_0042_0001_0001
26.62,r_1_S_0043_0001_0001
26.496,r_1_S_0044_0001_0001
26.53,r_1_S_0045_0001_0001
26.414,r_1_S_0046_0001_0001
26.57,r_1_S_0047_0001_0001
26.673000000000002,r_1_S_0048_0001_0001
26.653000000000002,r_1_S_0049_0001_0001
26.326999999999998,r_1_S_0050_0001_0001
26.635,r_1_S_0051_0001_0001
26.539,r_1_S_0052_0001_0001
26.514,r_1_S_0053_0001_0001
26.449,r_1_S_0054_0001_0001
26.618000000000002,r_1_S_0055_0001_0001
26.362,r_1_S_0056_0001_0001
26.372,r_1_S_0057_0001_0001
26.612,r_1_S_0058_0001_0001
26.489,r_1_S_0059_0001_0001
26.515,r_1_S_0060_0001_0001
26.783,r_1_S_0061_0001_0001
26.579,r_1_S_0062_0001_0001
26.585,r_1_S_0063_0001_0001
26.549,r_1_S_0064_0001_0001
26.616999999999997,r_1_S_0065_0001_0001
26.498,r_1_S_0066_0001_0001
26.471999999999998,r_1_S_0067_0001_0001
26.371,r_1_S_0068_0001_0001
26.511,r_1_S_0069_0001_0001
26.326,r_1_S_0070_0001_0001
26.578000000000003,r_1_S_0071_0001_0001
26.206,r_1_S_0072_0001_0001
26.410999999999998,r_1_S_0073_0001_0001
26.468000000000004,r_1_S_0074_0001_0001
26.256,r_1_S_0075_0001_0001
26.531999999999996,r_1_S_0076_0001_0001
26.410999999999998,r_1_S_0077_0001_0001
26.588,r_1_S_0078_0001_0001
26.502,r_1_S_0079_0001_0001
26.508000000000003,r_1_S_0080_0001_0001
26.674,r_1_S_0081_0001_0001
26.546,r_1_S_0082_0001_0001
26.430999999999997,r_1_S_0083_0001_0001
26.374000000000002,r_1_S_0084_0001_0001
26.555,r_1_S_0085_0001_0001
26.485,r_1_S_0086_0001_0001
26.478,r_1_S_0087_0001_0001
26.451999999999998,r_1_S_0088_0001_0001
26.619,r_1_S_0089_0001_0001
26.474,r_1_S_0090_0001_0001
26.461,r_1_S_0091_0001_0001
26.491,r_1_S_0092_0001_0001
26.393,r_1_S_0093_0001_0001
26.48,r_1_S_0094_0001_0001
26.570999999999998,r_1_S_0095_0001_0001
26.416,r_1_S_0096_0001_0001
26.484,r_1_S_0097_0001_0001
26.414,r_1_S_0098_0001_0001
26.25,r_1_S_0099_0001_0001
26.456999999999997,r_1_S_0100_0001_0001
26.601999999999997,r_2_S_0001_0001_0001
26.397,r_2_S_0002_0001_0001
26.320999999999998,r_2_S_0003_0001_0001
26.546,r_2_S_0004_0001_0001
26.631,r_2_S_0005_0001_0001
26.374000000000002,r_2_S_0006_0001_0001
26.68,r_2_S_0007_0001_0001
26.427,r_2_S_0008_0001_0001
26.465,r_2_S_0009_0001_0001
26.423000000000002,r_2_S_0010_0001_0001
26.615,r_2_S_0011_0001_0001
26.482,r_2_S_0012_0001_0001
26.524,r_2_S_0013_0001_0001
26.475,r_2_S_0014_0001_0001
26.252,r_2_S_0015_0001_0001
26.405,r_2_S_0016_0001_0001
26.289,r_2_S_0017_0001_0001
26.391,r_2_S_0018_0001_0001
26.404,r_2_S_0019_0001_0001
26.33,r_2_S_0020_0001_0001
26.456,r_2_S_0021_0001_0001
26.42,r_2_S_0022_0001_0001
26.133000000000003,r_2_S_0023_0001_0001
26.421,r_2_S_0024_0001_0001
26.563000000000002,r_2_S_0025_0001_0001
26.343000000000004,r_2_S_0026_0001_0001
26.834,r_2_S_0027_0001_0001
26.359,r_2_S_0028_0001_0001
26.404,r_2_S_0029_0001_0001
26.403000000000002,r_2_S_0030_0001_0001
26.557,r_2_S_0031_0001_0001
26.467,r_2_S_0032_0001_0001
26.366999999999997,r_2_S_0033_0001_0001
26.386999999999997,r_2_S_0034_0001_0001
26.514,r_2_S_0035_0001_0001
26.574,r_2_S_0036_0001_0001
26.504,r_2_S_0037_0001_0001
26.459,r_2_S_0038_0001_0001
26.373,r_2_S_0039_0001_0001
26.549,r_2_S_0040_0001_0001
26.453000000000003,r_2_S_0041_0001_0001
26.574,r_2_S_0042_0001_0001
26.449,r_2_S_0043_0001_0001
26.112,r_2_S_0044_0001_0001
26.465,r_2_S_0045_0001_0001
26.493000000000002,r_2_S_0046_0001_0001
26.383000000000003,r_2_S_0047_0001_0001
26.572,r_2_S_0048_0001_0001
26.587,r_2_S_0049_0001_0001
26.516,r_2_S_0050_0001_0001
26.519000000000002,r_2_S_0051_0001_0001
26.475,r_2_S_0052_0001_0001
26.612,r_2_S_0053_0001_0001
26.774,r_2_S_0054_0001_0001
26.456999999999997,r_2_S_0055_0001_0001
26.497,r_2_S_0056_0001_0001
26.426,r_2_S_0057_0001_0001
26.421,r_2_S_0058_0001_0001
26.445999999999998,r_2_S_0059_0001_0001
26.398000000000003,r_2_S_0060_0001_0001
26.279,r_2_S_0061_0001_0001
26.589000000000002,r_2_S_0062_0001_0001
26.601,r_2_S_0063_0001_0001
26.715999999999998,r_2_S_0064_0001_0001
26.55,r_2_S_0065_0001_0001
26.373,r_2_S_0066_0001_0001
26.419,r_2_S_0067_0001_0001
26.524,r_2_S_0068_0001_0001
26.55,r_2_S_0069_0001_0001
26.458000000000002,r_2_S_0070_0001_0001
26.434,r_2_S_0071_0001_0001
26.42,r_2_S_0072_0001_0001
26.474,r_2_S_0073_0001_0001
26.315,r_2_S_0074_0001_0001
26.333000000000002,r_2_S_0075_0001_0001
26.586,r_2_S_0076_0001_0001
26.522,r_2_S_0077_0001_0001
26.448,r_2_S_0078_0001_0001
26.46,r_2_S_0079_0001_0001
26.266,r_2_S_0080_0001_0001
26.424,r_2_S_0081_0001_0001
26.426,r_2_S_0082_0001_0001
26.399,r_2_S_0083_0001_0001
26.303,r_2_S_0084_0001_0001
26.64,r_2_S_0085_0001_0001
26.583000000000002,r_2_S_0086_0001_0001
26.459,r_2_S_0087_0001_0001
26.581999999999997,r_2_S_0088_0001_0001
26.656,r_2_S_0089_0001_0001
26.493000000000002,r_2_S_0090_0001_0001
26.636999999999997,r_2_S_0091_0001_0001
26.524,r_2_S_0092_0001_0001
26.655,r_2_S_0093_0001_0001
26.54,r_2_S_0094_0001_0001
26.651999999999997,r_2_S_0095_0001_0001
26.358,r_2_S_0096_0001_0001
26.281,r_2_S_0097_0001_0001
26.287,r_2_S_0098_0001_0001
26.486,r_2_S_0099_0001_0001
26.641,r_2_S_0100_0001_0001
26.355999999999998,r_3_S_0001_0001_0001
26.680999999999997,r_3_S_0002_0001_0001
26.474,r_3_S_0003_0001_0001
26.43,r_3_S_0004_0001_0001
26.587,r_3_S_0005_0001_0001
26.410999999999998,r_3_S_0006_0001_0001
26.328000000000003,r_3_S_0007_0001_0001
26.799,r_3_S_0008_0001_0001
26.499000000000002,r_3_S_0009_0001_0001
26.596999999999998,r_3_S_0010_0001_0001
26.368000000000002,r_3_S_0011_0001_0001
26.508000000000003,r_3_S_0012_0001_0001
26.361,r_3_S_0013_0001_0001
26.475,r_3_S_0014_0001_0001
26.46,r_3_S_0015_0001_0001
26.272,r_3_S_0016_0001_0001
26.506,r_3_S_0017_0001_0001
26.604,r_3_S_0018_0001_0001
26.349,r_3_S_0019_0001_0001
26.468000000000004,r_3_S_0020_0001_0001
26.425,r_3_S_0021_0001_0001
26.405,r_3_S_0022_0001_0001
26.879,r_3_S_0023_0001_0001
26.408,r_3_S_0024_0001_0001
26.564,r_3_S_0025_0001_0001
26.469,r_3_S_0026_0001_0001
26.486,r_3_S_0027_0001_0001
26.322,r_3_S_0028_0001_0001
26.541,r_3_S_0029_0001_0001
26.44,r_3_S_0030_0001_0001
26.443,r_3_S_0031_0001_0001
26.55,r_3_S_0032_0001_0001
26.534000000000002,r_3_S_0033_0001_0001
26.561,r_3_S_0034_0001_0001
26.406999999999996,r_3_S_0035_0001_0001
26.409000000000002,r_3_S_0036_0001_0001
26.497,r_3_S_0037_0001_0001
26.564,r_3_S_0038_0001_0001
26.410999999999998,r_3_S_0039_0001_0001
26.383000000000003,r_3_S_0040_0001_0001
26.464000000000002,r_3_S_0041_0001_0001
26.6,r_3_S_0042_0001_0001
26.416,r_3_S_0043_0001_0001
26.529,r_3_S_0044_0001_0001
26.48,r_3_S_0045_0001_0001
26.616,r_3_S_0046_0001_0001
26.623,r_3_S_0047_0001_0001
26.557,r_3_S_0048_0001_0001
26.410999999999998,r_3_S_0049_0001_0001
26.267,r_3_S_0050_0001_0001
26.529,r_3_S_0051_0001_0001
26.436999999999998,r_3_S_0052_0001_0001
26.445,r_3_S_0053_0001_0001
26.503,r_3_S_0054_0001_0001
26.476,r_3_S_0055_0001_0001
26.471,r_3_S_0056_0001_0001
26.480999999999998,r_3_S_0057_0001_0001
26.276999999999997,r_3_S_0058_0001_0001
26.505,r_3_S_0059_0001_0001
26.259,r_3_S_0060_0001_0001
26.491,r_3_S_0061_0001_0001
26.397,r_3_S_0062_0001_0001
26.261999999999997,r_3_S_0063_0001_0001
26.397,r_3_S_0064_0001_0001
26.686,r_3_S_0065_0001_0001
26.448,r_3_S_0066_0001_0001
26.139,r_3_S_0067_0001_0001
26.778000000000002,r_3_S_0068_0001_0001
26.62,r_3_S_0069_0001_0001
26.432,r_3_S_0070_0001_0001
26.485,r_3_S_0071_0001_0001
26.448,r_3_S_0072_0001_0001
26.404,r_3_S_0073_0001_0001
26.486,r_3_S_0074_0001_0001
26.493000000000002,r_3_S_0075_0001_0001
26.406,r_3_S_0076_0001_0001
26.326999999999998,r_3_S_0077_0001_0001
26.369,r_3_S_0078_0001_0001
26.7,r_3_S_0079_0001_0001
26.491999999999997,r_3_S_0080_0001_0001
26.458000000000002,r_3_S_0081_0001_0001
26.47,r_3_S_0082_0001_0001
26.485,r_3_S_0083_0001_0001
26.503,r_3_S_0084_0001_0001
26.555999999999997,r_3_S_0085_0001_0001
26.171999999999997,r_3_S_0086_0001_0001
26.436,r_3_S_0087_0001_0001
26.443,r_3_S_0088_0001_0001
26.346,r_3_S_0089_0001_0001
26.469,r_3_S_0090_0001_0001
26.619,r_3_S_0091_0001_0001
26.372,r_3_S_0092_0001_0001
26.441999999999997,r_3_S_0093_0001_0001
26.383000000000003,r_3_S_0094_0001_0001
26.56,r_3_S_0095_0001_0001
26.261,r_3_S_0096_0001_0001
26.456999999999997,r_3_S_0097_0001_0001
26.42,r_3_S_0098_0001_0001
26.401999999999997,r_3_S_0099_0001_0001
26.548000000000002,r_3_S_0100_0001_0001
26.455,r_4_S_0001_0001_0001
26.432,r_4_S_0002_0001_0001
26.311,r_4_S_0003_0001_0001
26.235,r_4_S_0004_0001_0001
26.197,r_4_S_0005_0001_0001
26.506,r_4_S_0006_0001_0001
26.61,r_4_S_0007_0001_0001
26.416999999999998,r_4_S_0008_0001_0001
26.526,r_4_S_0009_0001_0001
26.403000000000002,r_4_S_0010_0001_0001
26.232,r_4_S_0011_0001_0001
26.408,r_4_S_0012_0001_0001
26.301,r_4_S_0013_0001_0001
26.698,r_4_S_0014_0001_0001
26.584,r_4_S_0015_0001_0001
26.49,r_4_S_0016_0001_0001
26.476999999999997,r_4_S_0017_0001_0001
26.357,r_4_S_0018_0001_0001
26.641,r_4_S_0019_0001_0001
26.44,r_4_S_0020_0001_0001
26.366,r_4_S_0021_0001_0001
26.474,r_4_S_0022_0001_0001
26.535999999999998,r_4_S_0023_0001_0001
26.798000000000002,r_4_S_0024_0001_0001
26.633000000000003,r_4_S_0025_0001_0001
26.484,r_4_S_0026_0001_0001
26.570999999999998,r_4_S_0027_0001_0001
26.479,r_4_S_0028_0001_0001
26.625,r_4_S_0029_0001_0001
26.6,r_4_S_0030_0001_0001
26.285,r_4_S_0031_0001_0001
26.566,r_4_S_0032_0001_0001
26.486,r_4_S_0033_0001_0001
26.424,r_4_S_0034_0001_0001
26.594,r_4_S_0035_0001_0001
26.463,r_4_S_0036_0001_0001
26.568,r_4_S_0037_0001_0001
26.433000000000003,r_4_S_0038_0001_0001
26.296,r_4_S_0039_0001_0001
26.359,r_4_S_0040_0001_0001
26.581999999999997,r_4_S_0041_0001_0001
