RG_SCORE,MODEL
27.941999999999997,r_1_S_0001_0001_0001
27.462,r_1_S_0002_0001_0001
27.505,r_1_S_0003_0001_0001
27.654,r_1_S_0004_0001_0001
27.842,r_1_S_0005_0001_0001
27.552,r_1_S_0006_0001_0001
27.776,r_1_S_0007_0001_0001
27.394000000000002,r_1_S_0008_0001_0001
27.415,r_1_S_0009_0001_0001
27.404,r_1_S_0010_0001_0001
27.462,r_1_S_0011_0001_0001
27.334,r_1_S_0012_0001_0001
27.459,r_1_S_0013_0001_0001
27.119,r_1_S_0014_0001_0001
27.604,r_1_S_0015_0001_0001
27.662,r_1_S_0016_0001_0001
27.59,r_1_S_0017_0001_0001
27.554000000000002,r_1_S_0018_0001_0001
27.289,r_1_S_0019_0001_0001
27.430999999999997,r_1_S_0020_0001_0001
27.344,r_1_S_0021_0001_0001
27.488000000000003,r_1_S_0022_0001_0001
27.441999999999997,r_1_S_0023_0001_0001
27.256999999999998,r_1_S_0024_0001_0001
27.531,r_1_S_0025_0001_0001
27.761999999999997,r_1_S_0026_0001_0001
27.71,r_1_S_0027_0001_0001
27.910999999999998,r_1_S_0028_0001_0001
27.523000000000003,r_1_S_0029_0001_0001
27.771,r_1_S_0030_0001_0001
27.323,r_1_S_0031_0001_0001
27.39,r_1_S_0032_0001_0001
27.035,r_1_S_0033_0001_0001
27.916999999999998,r_1_S_0034_0001_0001
27.447,r_1_S_0035_0001_0001
27.055,r_1_S_0036_0001_0001
27.24,r_1_S_0037_0001_0001
27.320999999999998,r_1_S_0038_0001_0001
27.857,r_1_S_0039_0001_0001
27.569000000000003,r_1_S_0040_0001_0001
27.189,r_1_S_0041_0001_0001
27.708000000000002,r_1_S_0042_0001_0001
27.671,r_1_S_0043_0001_0001
27.296,r_1_S_0044_0001_0001
28.278000000000002,r_1_S_0045_0001_0001
27.444000000000003,r_1_S_0046_0001_0001
27.895,r_1_S_0047_0001_0001
27.559,r_1_S_0048_0001_0001
27.804000000000002,r_1_S_0049_0001_0001
27.272,r_1_S_0050_0001_0001
27.355999999999998,r_1_S_0051_0001_0001
27.295,r_1_S_0052_0001_0001
27.605999999999998,r_1_S_0053_0001_0001
27.399,r_1_S_0054_0001_0001
27.301,r_1_S_0055_0001_0001
27.426,r_1_S_0056_0001_0001
27.1,r_1_S_0057_0001_0001
27.625,r_1_S_0058_0001_0001
27.361,r_1_S_0059_0001_0001
27.439,r_1_S_0060_0001_0001
27.975,r_1_S_0061_0001_0001
27.644000000000002,r_1_S_0062_0001_0001
27.461,r_1_S_0063_0001_0001
27.500999999999998,r_1_S_0064_0001_0001
27.515,r_1_S_0065_0001_0001
27.491,r_1_S_0066_0001_0001
27.645,r_1_S_0067_0001_0001
27.81,r_1_S_0068_0001_0001
27.267,r_1_S_0069_0001_0001
27.523000000000003,r_1_S_0070_0001_0001
27.419,r_1_S_0071_0001_0001
27.303,r_1_S_0072_0001_0001
28.158,r_1_S_0073_0001_0001
26.658,r_1_S_0074_0001_0001
27.473000000000003,r_1_S_0075_0001_0001
27.766,r_1_S_0076_0001_0001
27.002,r_1_S_0077_0001_0001
28.483,r_1_S_0078_0001_0001
28.584,r_1_S_0079_0001_0001
27.337,r_1_S_0080_0001_0001
27.291999999999998,r_1_S_0081_0001_0001
27.663,r_1_S_0082_0001_0001
27.554000000000002,r_1_S_0083_0001_0001
27.695,r_1_S_0084_0001_0001
27.505,r_1_S_0085_0001_0001
27.908,r_1_S_0086_0001_0001
27.241999999999997,r_1_S_0087_0001_0001
27.397,r_1_S_0088_0001_0001
27.631,r_1_S_0089_0001_0001
