RG_SCORE,MODEL
21.465,r_t2_1_S_0001_0001_0001
20.868000000000002,r_t2_1_S_0002_0001_0001
21.011,r_t2_1_S_0003_0001_0001
20.863000000000003,r_t2_1_S_0004_0001_0001
21.329,r_t2_1_S_0005_0001_0001
20.976,r_t2_1_S_0006_0001_0001
20.959,r_t2_1_S_0007_0001_0001
21.245,r_t2_1_S_0008_0001_0001
17.908,r_t2_1_S_0009_0001_0001
21.197,r_t2_1_S_0010_0001_0001
21.274,r_t2_1_S_0011_0001_0001
21.445,r_t2_1_S_0012_0001_0001
21.369,r_t2_1_S_0013_0001_0001
20.741999999999997,r_t2_1_S_0014_0001_0001
21.499000000000002,r_t2_1_S_0015_0001_0001
21.779,r_t2_1_S_0016_0001_0001
21.143,r_t2_1_S_0017_0001_0001
21.041999999999998,r_t2_1_S_0018_0001_0001
21.184,r_t2_1_S_0019_0001_0001
20.899,r_t2_1_S_0020_0001_0001
21.471,r_t2_1_S_0021_0001_0001
21.055,r_t2_1_S_0022_0001_0001
20.915,r_t2_1_S_0023_0001_0001
18.904,r_t2_1_S_0024_0001_0001
21.146,r_t2_1_S_0025_0001_0001
20.373,r_t2_1_S_0026_0001_0001
20.85,r_t2_1_S_0027_0001_0001
21.253,r_t2_1_S_0028_0001_0001
20.807,r_t2_1_S_0029_0001_0001
21.323,r_t2_1_S_0030_0001_0001
18.798,r_t2_1_S_0031_0001_0001
21.569000000000003,r_t2_1_S_0032_0001_0001
21.656,r_t2_1_S_0033_0001_0001
20.79,r_t2_1_S_0034_0001_0001
21.205,r_t2_1_S_0035_0001_0001
21.37,r_t2_1_S_0036_0001_0001
20.933000000000003,r_t2_1_S_0037_0001_0001
21.868000000000002,r_t2_1_S_0038_0001_0001
21.24,r_t2_1_S_0039_0001_0001
21.195999999999998,r_t2_1_S_0040_0001_0001
21.607,r_t2_1_S_0041_0001_0001
21.199,r_t2_1_S_0042_0001_0001
21.281,r_t2_1_S_0043_0001_0001
21.211,r_t2_1_S_0044_0001_0001
20.430999999999997,r_t2_1_S_0045_0001_0001
21.185,r_t2_1_S_0046_0001_0001
20.951,r_t2_1_S_0047_0001_0001
21.351,r_t2_1_S_0048_0001_0001
21.301,r_t2_1_S_0049_0001_0001
21.514,r_t2_1_S_0050_0001_0001
20.958000000000002,r_t2_1_S_0051_0001_0001
21.129,r_t2_1_S_0052_0001_0001
21.05,r_t2_1_S_0053_0001_0001
21.094,r_t2_1_S_0054_0001_0001
20.984,r_t2_1_S_0055_0001_0001
21.131999999999998,r_t2_1_S_0056_0001_0001
21.651,r_t2_1_S_0057_0001_0001
21.631999999999998,r_t2_1_S_0058_0001_0001
21.15,r_t2_1_S_0059_0001_0001
21.320999999999998,r_t2_1_S_0060_0001_0001
21.319000000000003,r_t2_1_S_0061_0001_0001
20.796999999999997,r_t2_1_S_0062_0001_0001
21.32,r_t2_1_S_0063_0001_0001
20.985,r_t2_1_S_0064_0001_0001
21.726999999999997,r_t2_1_S_0065_0001_0001
21.488000000000003,r_t2_1_S_0066_0001_0001
21.066999999999997,r_t2_1_S_0067_0001_0001
21.383000000000003,r_t2_1_S_0068_0001_0001
20.925,r_t2_1_S_0069_0001_0001
20.736,r_t2_1_S_0070_0001_0001
21.156,r_t2_1_S_0071_0001_0001
21.665,r_t2_1_S_0072_0001_0001
21.26,r_t2_1_S_0073_0001_0001
21.109,r_t2_1_S_0074_0001_0001
21.162,r_t2_1_S_0075_0001_0001
21.655,r_t2_1_S_0076_0001_0001
21.763,r_t2_1_S_0077_0001_0001
21.173000000000002,r_t2_1_S_0078_0001_0001
21.439,r_t2_1_S_0079_0001_0001
21.451999999999998,r_t2_1_S_0080_0001_0001
21.497,r_t2_1_S_0081_0001_0001
21.445999999999998,r_t2_1_S_0082_0001_0001
21.033,r_t2_1_S_0083_0001_0001
21.033,r_t2_1_S_0084_0001_0001
20.934,r_t2_1_S_0085_0001_0001
21.252,r_t2_1_S_0086_0001_0001
21.051,r_t2_1_S_0087_0001_0001
21.024,r_t2_1_S_0088_0001_0001
21.252,r_t2_1_S_0089_0001_0001
21.463,r_t2_1_S_0090_0001_0001
21.755,r_t2_1_S_0091_0001_0001
21.392,r_t2_1_S_0092_0001_0001
20.421,r_t2_1_S_0093_0001_0001
21.609,r_t2_1_S_0094_0001_0001
21.666,r_t2_1_S_0095_0001_0001
21.438000000000002,r_t2_1_S_0096_0001_0001
21.315,r_t2_1_S_0097_0001_0001
21.294,r_t2_1_S_0098_0001_0001
20.868000000000002,r_t2_1_S_0099_0001_0001
21.4,r_t2_1_S_0100_0001_0001
21.502,r_t2_2_S_0001_0001_0001
21.29,r_t2_2_S_0002_0001_0001
21.531,r_t2_2_S_0003_0001_0001
21.024,r_t2_2_S_0004_0001_0001
21.403000000000002,r_t2_2_S_0005_0001_0001
21.125,r_t2_2_S_0006_0001_0001
21.27,r_t2_2_S_0007_0001_0001
21.338,r_t2_2_S_0008_0001_0001
21.274,r_t2_2_S_0009_0001_0001
21.531,r_t2_2_S_0010_0001_0001
21.558000000000003,r_t2_2_S_0011_0001_0001
20.695,r_t2_2_S_0012_0001_0001
21.258000000000003,r_t2_2_S_0013_0001_0001
21.074,r_t2_2_S_0014_0001_0001
21.359,r_t2_2_S_0015_0001_0001
21.531,r_t2_2_S_0016_0001_0001
21.243000000000002,r_t2_2_S_0017_0001_0001
20.674,r_t2_2_S_0018_0001_0001
18.912,r_t2_2_S_0019_0001_0001
21.057,r_t2_2_S_0020_0001_0001
21.328000000000003,r_t2_2_S_0021_0001_0001
20.991999999999997,r_t2_2_S_0022_0001_0001
21.715,r_t2_2_S_0023_0001_0001
21.331999999999997,r_t2_2_S_0024_0001_0001
20.539,r_t2_2_S_0025_0001_0001
21.084,r_t2_2_S_0026_0001_0001
20.784000000000002,r_t2_2_S_0027_0001_0001
21.325,r_t2_2_S_0028_0001_0001
20.886999999999997,r_t2_2_S_0029_0001_0001
21.37,r_t2_2_S_0030_0001_0001
21.308000000000003,r_t2_2_S_0031_0001_0001
21.623,r_t2_2_S_0032_0001_0001
21.43,r_t2_2_S_0033_0001_0001
21.154,r_t2_2_S_0034_0001_0001
21.182,r_t2_2_S_0035_0001_0001
21.484,r_t2_2_S_0036_0001_0001
19.494,r_t2_2_S_0037_0001_0001
21.108,r_t2_2_S_0038_0001_0001
21.340999999999998,r_t2_2_S_0039_0001_0001
21.374000000000002,r_t2_2_S_0040_0001_0001
21.138,r_t2_2_S_0041_0001_0001
21.3,r_t2_2_S_0042_0001_0001
21.379,r_t2_2_S_0043_0001_0001
21.186999999999998,r_t2_2_S_0044_0001_0001
21.318,r_t2_2_S_0045_0001_0001
21.441,r_t2_2_S_0046_0001_0001
20.47,r_t2_2_S_0047_0001_0001
21.011,r_t2_2_S_0048_0001_0001
21.087,r_t2_2_S_0049_0001_0001
21.43,r_t2_2_S_0050_0001_0001
17.886,r_t2_2_S_0051_0001_0001
21.538,r_t2_2_S_0052_0001_0001
21.563000000000002,r_t2_2_S_0053_0001_0001
21.129,r_t2_2_S_0054_0001_0001
21.495,r_t2_2_S_0055_0001_0001
21.388,r_t2_2_S_0056_0001_0001
21.156,r_t2_2_S_0057_0001_0001
21.241999999999997,r_t2_2_S_0058_0001_0001
21.371,r_t2_2_S_0059_0001_0001
21.491999999999997,r_t2_2_S_0060_0001_0001
21.335,r_t2_2_S_0061_0001_0001
21.265,r_t2_2_S_0062_0001_0001
21.572,r_t2_2_S_0063_0001_0001
21.053,r_t2_2_S_0064_0001_0001
21.421999999999997,r_t2_2_S_0065_0001_0001
21.134,r_t2_2_S_0066_0001_0001
21.405,r_t2_2_S_0067_0001_0001
21.219,r_t2_2_S_0068_0001_0001
21.179000000000002,r_t2_2_S_0069_0001_0001
21.14,r_t2_2_S_0070_0001_0001
21.365,r_t2_2_S_0071_0001_0001
21.614,r_t2_2_S_0072_0001_0001
21.14,r_t2_2_S_0073_0001_0001
21.107,r_t2_2_S_0074_0001_0001
21.253,r_t2_2_S_0075_0001_0001
21.397,r_t2_2_S_0076_0001_0001
21.182,r_t2_2_S_0077_0001_0001
21.656,r_t2_2_S_0078_0001_0001
21.035999999999998,r_t2_2_S_0079_0001_0001
21.368000000000002,r_t2_2_S_0080_0001_0001
21.013,r_t2_2_S_0081_0001_0001
21.131999999999998,r_t2_2_S_0082_0001_0001
21.38,r_t2_2_S_0083_0001_0001
21.346,r_t2_2_S_0084_0001_0001
20.894000000000002,r_t2_2_S_0085_0001_0001
20.638,r_t2_2_S_0086_0001_0001
21.365,r_t2_2_S_0087_0001_0001
20.676,r_t2_2_S_0088_0001_0001
21.63,r_t2_2_S_0089_0001_0001
21.339000000000002,r_t2_2_S_0090_0001_0001
21.022,r_t2_2_S_0091_0001_0001
21.267,r_t2_2_S_0092_0001_0001
21.131,r_t2_2_S_0093_0001_0001
21.541999999999998,r_t2_2_S_0094_0001_0001
21.214000000000002,r_t2_2_S_0095_0001_0001
21.502,r_t2_2_S_0096_0001_0001
21.324,r_t2_2_S_0097_0001_0001
21.461,r_t2_2_S_0098_0001_0001
21.326999999999998,r_t2_2_S_0099_0001_0001
21.186,r_t2_2_S_0100_0001_0001
21.026999999999997,r_t2_3_S_0001_0001_0001
21.041,r_t2_3_S_0002_0001_0001
20.621,r_t2_3_S_0003_0001_0001
20.94,r_t2_3_S_0004_0001_0001
21.212,r_t2_3_S_0005_0001_0001
