RG_SCORE,MODEL
11.507,r_1_F_00000245_0001_0001
12.558,r_1_S_00000001_0001_0001
10.488,r_1_S_00000002_0001_0001
11.357999999999999,r_1_S_00000003_0001_0001
11.622,r_1_S_00000004_0001_0001
11.623,r_1_S_00000005_0001_0001
11.594000000000001,r_1_S_00000006_0001_0001
12.42,r_1_S_00000007_0001_0001
11.615,r_1_S_00000008_0001_0001
10.974,r_1_S_00000009_0001_0001
11.399000000000001,r_1_S_00000010_0001_0001
11.588,r_1_S_00000011_0001_0001
12.05,r_1_S_00000012_0001_0001
11.276,r_1_S_00000013_0001_0001
11.872,r_1_S_00000014_0001_0001
11.363,r_1_S_00000015_0001_0001
11.386,r_1_S_00000016_0001_0001
12.787,r_1_S_00000017_0001_0001
11.24,r_1_S_00000018_0001_0001
12.110999999999999,r_1_S_00000019_0001_0001
11.504000000000001,r_1_S_00000020_0001_0001
11.774000000000001,r_1_S_00000021_0001_0001
11.977,r_1_S_00000022_0001_0001
13.200999999999999,r_1_S_00000023_0001_0001
10.300999999999998,r_1_S_00000024_0001_0001
11.592,r_1_S_00000025_0001_0001
12.69,r_1_S_00000026_0001_0001
11.25,r_1_S_00000027_0001_0001
12.089,r_1_S_00000028_0001_0001
11.544,r_1_S_00000029_0001_0001
11.867,r_1_S_00000030_0001_0001
11.07,r_1_S_00000031_0001_0001
11.94,r_1_S_00000032_0001_0001
11.222999999999999,r_1_S_00000033_0001_0001
11.31,r_1_S_00000034_0001_0001
13.612,r_1_S_00000035_0001_0001
11.429,r_1_S_00000036_0001_0001
11.479000000000001,r_1_S_00000037_0001_0001
11.535,r_1_S_00000038_0001_0001
11.832,r_1_S_00000039_0001_0001
11.411,r_1_S_00000040_0001_0001
11.724,r_1_S_00000041_0001_0001
10.450999999999999,r_1_S_00000042_0001_0001
11.745,r_1_S_00000043_0001_0001
12.216,r_1_S_00000044_0001_0001
11.464,r_1_S_00000045_0001_0001
11.535,r_1_S_00000046_0001_0001
