RG_SCORE,MODEL
19.393,rg_scorer_g_1_S_0001_0001_0001.pdb
19.484,rg_scorer_g_1_S_0002_0001_0001.pdb
19.217,rg_scorer_g_1_S_0003_0001_0001.pdb
19.382,rg_scorer_g_1_S_0004_0001_0001.pdb
19.325,rg_scorer_g_1_S_0005_0001_0001.pdb
19.334,rg_scorer_g_1_S_0006_0001_0001.pdb
19.259,rg_scorer_g_1_S_0007_0001_0001.pdb
19.273,rg_scorer_g_1_S_0008_0001_0001.pdb
19.409000000000002,rg_scorer_g_1_S_0009_0001_0001.pdb
19.184,rg_scorer_g_1_S_0010_0001_0001.pdb
19.292,rg_scorer_g_1_S_0011_0001_0001.pdb
19.257,rg_scorer_g_1_S_0012_0001_0001.pdb
19.375999999999998,rg_scorer_g_1_S_0013_0001_0001.pdb
19.361,rg_scorer_g_1_S_0014_0001_0001.pdb
19.335,rg_scorer_g_1_S_0015_0001_0001.pdb
19.351,rg_scorer_g_1_S_0016_0001_0001.pdb
19.401,rg_scorer_g_1_S_0017_0001_0001.pdb
19.118,rg_scorer_g_1_S_0018_0001_0001.pdb
19.405,rg_scorer_g_1_S_0019_0001_0001.pdb
19.201,rg_scorer_g_1_S_0020_0001_0001.pdb
19.351,rg_scorer_g_1_S_0021_0001_0001.pdb
19.241,rg_scorer_g_1_S_0022_0001_0001.pdb
19.575,rg_scorer_g_1_S_0023_0001_0001.pdb
19.508,rg_scorer_g_1_S_0024_0001_0001.pdb
19.278,rg_scorer_g_1_S_0025_0001_0001.pdb
19.316,rg_scorer_g_1_S_0026_0001_0001.pdb
19.257,rg_scorer_g_1_S_0027_0001_0001.pdb
19.262,rg_scorer_g_1_S_0028_0001_0001.pdb
19.346,rg_scorer_g_1_S_0029_0001_0001.pdb
19.267,rg_scorer_g_1_S_0030_0001_0001.pdb
19.111,rg_scorer_g_1_S_0031_0001_0001.pdb
19.222,rg_scorer_g_1_S_0032_0001_0001.pdb
19.322,rg_scorer_g_1_S_0033_0001_0001.pdb
19.204,rg_scorer_g_1_S_0034_0001_0001.pdb
19.296,rg_scorer_g_1_S_0035_0001_0001.pdb
19.301,rg_scorer_g_1_S_0036_0001_0001.pdb
19.42,rg_scorer_g_1_S_0037_0001_0001.pdb
19.24,rg_scorer_g_1_S_0038_0001_0001.pdb
19.333,rg_scorer_g_1_S_0039_0001_0001.pdb
19.398,rg_scorer_g_1_S_0040_0001_0001.pdb
19.229,rg_scorer_g_1_S_0041_0001_0001.pdb
19.523,rg_scorer_g_1_S_0042_0001_0001.pdb
19.125,rg_scorer_g_1_S_0043_0001_0001.pdb
19.164,rg_scorer_g_1_S_0044_0001_0001.pdb
19.226,rg_scorer_g_1_S_0045_0001_0001.pdb
19.355,rg_scorer_g_1_S_0046_0001_0001.pdb
19.244,rg_scorer_g_1_S_0047_0001_0001.pdb
19.320999999999998,rg_scorer_g_1_S_0048_0001_0001.pdb
19.26,rg_scorer_g_1_S_0049_0001_0001.pdb
19.215999999999998,rg_scorer_g_1_S_0050_0001_0001.pdb
19.234,rg_scorer_g_1_S_0051_0001_0001.pdb
19.415,rg_scorer_g_1_S_0052_0001_0001.pdb
19.305,rg_scorer_g_1_S_0053_0001_0001.pdb
19.254,rg_scorer_g_1_S_0054_0001_0001.pdb
19.3,rg_scorer_g_1_S_0055_0001_0001.pdb
19.438,rg_scorer_g_1_S_0056_0001_0001.pdb
19.182000000000002,rg_scorer_g_1_S_0057_0001_0001.pdb
19.247,rg_scorer_g_1_S_0058_0001_0001.pdb
19.289,rg_scorer_g_1_S_0059_0001_0001.pdb
19.296,rg_scorer_g_1_S_0060_0001_0001.pdb
19.403,rg_scorer_g_1_S_0061_0001_0001.pdb
19.5,rg_scorer_g_1_S_0062_0001_0001.pdb
19.344,rg_scorer_g_1_S_0063_0001_0001.pdb
19.180999999999997,rg_scorer_g_1_S_0064_0001_0001.pdb
19.169,rg_scorer_g_1_S_0065_0001_0001.pdb
19.28,rg_scorer_g_1_S_0066_0001_0001.pdb
19.602,rg_scorer_g_1_S_0067_0001_0001.pdb
19.092,rg_scorer_g_1_S_0068_0001_0001.pdb
19.299,rg_scorer_g_1_S_0069_0001_0001.pdb
19.413,rg_scorer_g_1_S_0070_0001_0001.pdb
19.402,rg_scorer_g_1_S_0071_0001_0001.pdb
19.309,rg_scorer_g_1_S_0072_0001_0001.pdb
19.374000000000002,rg_scorer_g_1_S_0073_0001_0001.pdb
19.259,rg_scorer_g_1_S_0074_0001_0001.pdb
19.174,rg_scorer_g_1_S_0075_0001_0001.pdb
19.288,rg_scorer_g_1_S_0076_0001_0001.pdb
19.417,rg_scorer_g_1_S_0077_0001_0001.pdb
19.329,rg_scorer_g_1_S_0078_0001_0001.pdb
19.274,rg_scorer_g_1_S_0079_0001_0001.pdb
19.45,rg_scorer_g_1_S_0080_0001_0001.pdb
19.194000000000003,rg_scorer_g_1_S_0081_0001_0001.pdb
19.278,rg_scorer_g_1_S_0082_0001_0001.pdb
19.42,rg_scorer_g_1_S_0083_0001_0001.pdb
19.230999999999998,rg_scorer_g_1_S_0084_0001_0001.pdb
19.249000000000002,rg_scorer_g_1_S_0085_0001_0001.pdb
19.375999999999998,rg_scorer_g_1_S_0086_0001_0001.pdb
19.143,rg_scorer_g_1_S_0087_0001_0001.pdb
19.404,rg_scorer_g_1_S_0088_0001_0001.pdb
19.475,rg_scorer_g_1_S_0089_0001_0001.pdb
19.295,rg_scorer_g_1_S_0090_0001_0001.pdb
19.329,rg_scorer_g_1_S_0091_0001_0001.pdb
19.614,rg_scorer_g_1_S_0092_0001_0001.pdb
19.34,rg_scorer_g_1_S_0093_0001_0001.pdb
19.401,rg_scorer_g_1_S_0094_0001_0001.pdb
19.422,rg_scorer_g_1_S_0095_0001_0001.pdb
19.311,rg_scorer_g_1_S_0096_0001_0001.pdb
19.45,rg_scorer_g_1_S_0097_0001_0001.pdb
19.323,rg_scorer_g_1_S_0098_0001_0001.pdb
19.302,rg_scorer_g_1_S_0099_0001_0001.pdb
19.297,rg_scorer_g_1_S_0100_0001_0001.pdb
19.333,rg_scorer_g_2_S_0001_0001_0001.pdb
19.171,rg_scorer_g_2_S_0002_0001_0001.pdb
19.111,rg_scorer_g_2_S_0003_0001_0001.pdb
19.285,rg_scorer_g_2_S_0004_0001_0001.pdb
19.067,rg_scorer_g_2_S_0005_0001_0001.pdb
