RG_SCORE,MODEL
25.739,rg_scorer_g_1_S_0001_0001_0001.pdb
25.77,rg_scorer_g_1_S_0002_0001_0001.pdb
25.766,rg_scorer_g_1_S_0003_0001_0001.pdb
25.838,rg_scorer_g_1_S_0004_0001_0001.pdb
25.774,rg_scorer_g_1_S_0005_0001_0001.pdb
25.838,rg_scorer_g_1_S_0006_0001_0001.pdb
25.816999999999997,rg_scorer_g_1_S_0007_0001_0001.pdb
25.886999999999997,rg_scorer_g_1_S_0008_0001_0001.pdb
25.774,rg_scorer_g_1_S_0009_0001_0001.pdb
25.704,rg_scorer_g_1_S_0010_0001_0001.pdb
25.884,rg_scorer_g_1_S_0011_0001_0001.pdb
25.798000000000002,rg_scorer_g_1_S_0012_0001_0001.pdb
25.669,rg_scorer_g_1_S_0013_0001_0001.pdb
25.608,rg_scorer_g_1_S_0014_0001_0001.pdb
25.776,rg_scorer_g_1_S_0015_0001_0001.pdb
25.593000000000004,rg_scorer_g_1_S_0016_0001_0001.pdb
25.655,rg_scorer_g_1_S_0017_0001_0001.pdb
25.872,rg_scorer_g_1_S_0018_0001_0001.pdb
25.656,rg_scorer_g_1_S_0019_0001_0001.pdb
25.663,rg_scorer_g_1_S_0020_0001_0001.pdb
25.879,rg_scorer_g_1_S_0021_0001_0001.pdb
25.713,rg_scorer_g_1_S_0022_0001_0001.pdb
25.945999999999998,rg_scorer_g_1_S_0023_0001_0001.pdb
25.848000000000003,rg_scorer_g_1_S_0024_0001_0001.pdb
25.756999999999998,rg_scorer_g_1_S_0025_0001_0001.pdb
25.67,rg_scorer_g_1_S_0026_0001_0001.pdb
25.783,rg_scorer_g_1_S_0027_0001_0001.pdb
25.682,rg_scorer_g_1_S_0028_0001_0001.pdb
25.851,rg_scorer_g_1_S_0029_0001_0001.pdb
25.774,rg_scorer_g_1_S_0030_0001_0001.pdb
25.625999999999998,rg_scorer_g_1_S_0031_0001_0001.pdb
25.738000000000003,rg_scorer_g_1_S_0032_0001_0001.pdb
25.721,rg_scorer_g_1_S_0033_0001_0001.pdb
25.843000000000004,rg_scorer_g_1_S_0034_0001_0001.pdb
25.655,rg_scorer_g_1_S_0035_0001_0001.pdb
25.802,rg_scorer_g_1_S_0036_0001_0001.pdb
25.719,rg_scorer_g_1_S_0037_0001_0001.pdb
25.788,rg_scorer_g_1_S_0038_0001_0001.pdb
25.485,rg_scorer_g_1_S_0039_0001_0001.pdb
25.81,rg_scorer_g_1_S_0040_0001_0001.pdb
25.787,rg_scorer_g_1_S_0041_0001_0001.pdb
25.744,rg_scorer_g_1_S_0042_0001_0001.pdb
25.916,rg_scorer_g_1_S_0043_0001_0001.pdb
25.858,rg_scorer_g_1_S_0044_0001_0001.pdb
25.71,rg_scorer_g_1_S_0045_0001_0001.pdb
