RG_SCORE,MODEL
16.820999999999998,rg_scorer_1_F_00000001_0001_0001.pdb
17.994,rg_scorer_1_F_00000002_0001_0001.pdb
16.602999999999998,rg_scorer_1_F_00000004_0001_0001.pdb
18.864,rg_scorer_1_F_00000006_0001_0001.pdb
15.954,rg_scorer_1_F_00000008_0001_0001.pdb
18.941,rg_scorer_1_F_00000009_0001_0001.pdb
18.39,rg_scorer_1_F_00000011_0001_0001.pdb
16.713,rg_scorer_1_F_00000012_0001_0001.pdb
17.347,rg_scorer_1_F_00000013_0001_0001.pdb
16.342,rg_scorer_1_F_00000015_0001_0001.pdb
17.27,rg_scorer_1_F_00000016_0001_0001.pdb
15.993,rg_scorer_1_F_00000017_0001_0001.pdb
18.895,rg_scorer_1_F_00000018_0001_0001.pdb
17.159000000000002,rg_scorer_1_F_00000021_0001_0001.pdb
17.66,rg_scorer_1_F_00000023_0001_0001.pdb
17.429000000000002,rg_scorer_1_F_00000024_0001_0001.pdb
17.86,rg_scorer_1_F_00000026_0001_0001.pdb
16.584,rg_scorer_1_F_00000027_0001_0001.pdb
17.406,rg_scorer_1_F_00000029_0001_0001.pdb
18.859,rg_scorer_1_F_00000030_0001_0001.pdb
17.804000000000002,rg_scorer_1_F_00000031_0001_0001.pdb
19.418,rg_scorer_1_F_00000032_0001_0001.pdb
18.057000000000002,rg_scorer_1_F_00000035_0001_0001.pdb
16.12,rg_scorer_1_F_00000036_0001_0001.pdb
16.805,rg_scorer_1_F_00000038_0001_0001.pdb
15.79,rg_scorer_1_F_00000040_0001_0001.pdb
17.218,rg_scorer_1_F_00000041_0001_0001.pdb
17.602,rg_scorer_1_F_00000042_0001_0001.pdb
15.888,rg_scorer_1_F_00000044_0001_0001.pdb
18.816,rg_scorer_1_F_00000046_0001_0001.pdb
17.939,rg_scorer_1_F_00000047_0001_0001.pdb
16.067,rg_scorer_1_F_00000049_0001_0001.pdb
16.011,rg_scorer_1_F_00000050_0001_0001.pdb
16.882,rg_scorer_1_F_00000053_0001_0001.pdb
16.805,rg_scorer_1_F_00000054_0001_0001.pdb
16.588,rg_scorer_1_F_00000055_0001_0001.pdb
