RG_SCORE,MODEL
18.667,rg_scorer_g_1_S_0001_0001_0001.pdb
18.616,rg_scorer_g_1_S_0002_0001_0001.pdb
18.729,rg_scorer_g_1_S_0003_0001_0001.pdb
18.775,rg_scorer_g_1_S_0004_0001_0001.pdb
18.752,rg_scorer_g_1_S_0005_0001_0001.pdb
18.587,rg_scorer_g_1_S_0006_0001_0001.pdb
18.88,rg_scorer_g_1_S_0007_0001_0001.pdb
18.688,rg_scorer_g_1_S_0008_0001_0001.pdb
18.565,rg_scorer_g_1_S_0009_0001_0001.pdb
18.814,rg_scorer_g_1_S_0010_0001_0001.pdb
18.803,rg_scorer_g_1_S_0011_0001_0001.pdb
18.608,rg_scorer_g_1_S_0012_0001_0001.pdb
18.784000000000002,rg_scorer_g_1_S_0013_0001_0001.pdb
18.663,rg_scorer_g_1_S_0014_0001_0001.pdb
18.65,rg_scorer_g_1_S_0015_0001_0001.pdb
18.618,rg_scorer_g_1_S_0016_0001_0001.pdb
18.652,rg_scorer_g_1_S_0017_0001_0001.pdb
18.808,rg_scorer_g_1_S_0018_0001_0001.pdb
18.69,rg_scorer_g_1_S_0019_0001_0001.pdb
18.492,rg_scorer_g_1_S_0020_0001_0001.pdb
18.56,rg_scorer_g_1_S_0021_0001_0001.pdb
18.612000000000002,rg_scorer_g_1_S_0022_0001_0001.pdb
18.657,rg_scorer_g_1_S_0023_0001_0001.pdb
18.713,rg_scorer_g_1_S_0024_0001_0001.pdb
18.855999999999998,rg_scorer_g_1_S_0025_0001_0001.pdb
18.699,rg_scorer_g_1_S_0026_0001_0001.pdb
18.845,rg_scorer_g_1_S_0027_0001_0001.pdb
18.668,rg_scorer_g_1_S_0028_0001_0001.pdb
18.704,rg_scorer_g_1_S_0029_0001_0001.pdb
18.666,rg_scorer_g_1_S_0030_0001_0001.pdb
18.595,rg_scorer_g_1_S_0031_0001_0001.pdb
18.827,rg_scorer_g_1_S_0032_0001_0001.pdb
18.635,rg_scorer_g_1_S_0033_0001_0001.pdb
18.811,rg_scorer_g_1_S_0034_0001_0001.pdb
18.656,rg_scorer_g_1_S_0035_0001_0001.pdb
18.590999999999998,rg_scorer_g_1_S_0036_0001_0001.pdb
18.769000000000002,rg_scorer_g_1_S_0037_0001_0001.pdb
18.617,rg_scorer_g_1_S_0038_0001_0001.pdb
18.629,rg_scorer_g_1_S_0039_0001_0001.pdb
18.733,rg_scorer_g_1_S_0040_0001_0001.pdb
18.667,rg_scorer_g_1_S_0041_0001_0001.pdb
18.601,rg_scorer_g_1_S_0042_0001_0001.pdb
18.584,rg_scorer_g_1_S_0043_0001_0001.pdb
18.851,rg_scorer_g_1_S_0044_0001_0001.pdb
18.483,rg_scorer_g_1_S_0045_0001_0001.pdb
18.8,rg_scorer_g_1_S_0046_0001_0001.pdb
18.576,rg_scorer_g_1_S_0047_0001_0001.pdb
18.680999999999997,rg_scorer_g_1_S_0048_0001_0001.pdb
18.767,rg_scorer_g_1_S_0049_0001_0001.pdb
18.702,rg_scorer_g_1_S_0050_0001_0001.pdb
18.596,rg_scorer_g_1_S_0051_0001_0001.pdb
18.625,rg_scorer_g_1_S_0052_0001_0001.pdb
18.798,rg_scorer_g_1_S_0053_0001_0001.pdb
18.805999999999997,rg_scorer_g_1_S_0054_0001_0001.pdb
18.634,rg_scorer_g_1_S_0055_0001_0001.pdb
18.616,rg_scorer_g_1_S_0056_0001_0001.pdb
18.425,rg_scorer_g_1_S_0057_0001_0001.pdb
18.708,rg_scorer_g_1_S_0058_0001_0001.pdb
18.590999999999998,rg_scorer_g_1_S_0059_0001_0001.pdb
18.782,rg_scorer_g_1_S_0060_0001_0001.pdb
18.676,rg_scorer_g_1_S_0061_0001_0001.pdb
18.701,rg_scorer_g_1_S_0062_0001_0001.pdb
18.759,rg_scorer_g_1_S_0063_0001_0001.pdb
18.708,rg_scorer_g_1_S_0064_0001_0001.pdb
18.519000000000002,rg_scorer_g_1_S_0065_0001_0001.pdb
18.484,rg_scorer_g_1_S_0066_0001_0001.pdb
18.493,rg_scorer_g_1_S_0067_0001_0001.pdb
18.581,rg_scorer_g_1_S_0068_0001_0001.pdb
18.567,rg_scorer_g_1_S_0069_0001_0001.pdb
18.757,rg_scorer_g_1_S_0070_0001_0001.pdb
18.764,rg_scorer_g_1_S_0071_0001_0001.pdb
18.613,rg_scorer_g_1_S_0072_0001_0001.pdb
18.676,rg_scorer_g_1_S_0073_0001_0001.pdb
18.565,rg_scorer_g_1_S_0074_0001_0001.pdb
18.462,rg_scorer_g_1_S_0075_0001_0001.pdb
18.729,rg_scorer_g_1_S_0076_0001_0001.pdb
18.695,rg_scorer_g_1_S_0077_0001_0001.pdb
18.735,rg_scorer_g_1_S_0078_0001_0001.pdb
18.877,rg_scorer_g_1_S_0079_0001_0001.pdb
18.643,rg_scorer_g_1_S_0080_0001_0001.pdb
18.652,rg_scorer_g_1_S_0081_0001_0001.pdb
18.651,rg_scorer_g_1_S_0082_0001_0001.pdb
18.654,rg_scorer_g_1_S_0083_0001_0001.pdb
18.714000000000002,rg_scorer_g_1_S_0084_0001_0001.pdb
18.615,rg_scorer_g_1_S_0085_0001_0001.pdb
