RG_SCORE,MODEL
29.362,rg_scorer_g_1_S_0001_0001_0001.pdb
26.338,rg_scorer_g_1_S_0002_0001_0001.pdb
25.649,rg_scorer_g_1_S_0003_0001_0001.pdb
26.090999999999998,rg_scorer_g_1_S_0004_0001_0001.pdb
26.483,rg_scorer_g_1_S_0005_0001_0001.pdb
28.025,rg_scorer_g_1_S_0006_0001_0001.pdb
23.903000000000002,rg_scorer_g_1_S_0007_0001_0001.pdb
26.803,rg_scorer_g_1_S_0008_0001_0001.pdb
25.744,rg_scorer_g_1_S_0009_0001_0001.pdb
26.155,rg_scorer_g_1_S_0010_0001_0001.pdb
28.42,rg_scorer_g_1_S_0011_0001_0001.pdb
25.866,rg_scorer_g_1_S_0012_0001_0001.pdb
26.23,rg_scorer_g_1_S_0013_0001_0001.pdb
26.719,rg_scorer_g_1_S_0014_0001_0001.pdb
27.383000000000003,rg_scorer_g_1_S_0015_0001_0001.pdb
27.264,rg_scorer_g_1_S_0016_0001_0001.pdb
26.055999999999997,rg_scorer_g_1_S_0017_0001_0001.pdb
29.037,rg_scorer_g_1_S_0018_0001_0001.pdb
25.456,rg_scorer_g_1_S_0019_0001_0001.pdb
25.322,rg_scorer_g_1_S_0020_0001_0001.pdb
26.42,rg_scorer_g_1_S_0021_0001_0001.pdb
28.256,rg_scorer_g_1_S_0022_0001_0001.pdb
27.683000000000003,rg_scorer_g_1_S_0023_0001_0001.pdb
26.935,rg_scorer_g_1_S_0024_0001_0001.pdb
27.62,rg_scorer_g_1_S_0025_0001_0001.pdb
28.018,rg_scorer_g_1_S_0026_0001_0001.pdb
25.775,rg_scorer_g_1_S_0027_0001_0001.pdb
26.46,rg_scorer_g_1_S_0028_0001_0001.pdb
25.486,rg_scorer_g_1_S_0029_0001_0001.pdb
28.473000000000003,rg_scorer_g_1_S_0030_0001_0001.pdb
27.96,rg_scorer_g_1_S_0031_0001_0001.pdb
26.634,rg_scorer_g_1_S_0032_0001_0001.pdb
26.361,rg_scorer_g_1_S_0033_0001_0001.pdb
28.916999999999998,rg_scorer_g_1_S_0034_0001_0001.pdb
30.906,rg_scorer_g_1_S_0035_0001_0001.pdb
25.814,rg_scorer_g_1_S_0036_0001_0001.pdb
26.739,rg_scorer_g_1_S_0037_0001_0001.pdb
28.375,rg_scorer_g_1_S_0038_0001_0001.pdb
27.71,rg_scorer_g_1_S_0039_0001_0001.pdb
26.441999999999997,rg_scorer_g_1_S_0040_0001_0001.pdb
25.444000000000003,rg_scorer_g_1_S_0041_0001_0001.pdb
26.52,rg_scorer_g_1_S_0042_0001_0001.pdb
26.733,rg_scorer_g_1_S_0043_0001_0001.pdb
28.39,rg_scorer_g_1_S_0044_0001_0001.pdb
24.95,rg_scorer_g_1_S_0045_0001_0001.pdb
25.987,rg_scorer_g_1_S_0046_0001_0001.pdb
26.726,rg_scorer_g_1_S_0047_0001_0001.pdb
27.226,rg_scorer_g_1_S_0048_0001_0001.pdb
28.176,rg_scorer_g_1_S_0049_0001_0001.pdb
27.612,rg_scorer_g_1_S_0050_0001_0001.pdb
26.996,rg_scorer_g_1_S_0051_0001_0001.pdb
26.53,rg_scorer_g_1_S_0052_0001_0001.pdb
25.791999999999998,rg_scorer_g_1_S_0053_0001_0001.pdb
27.609,rg_scorer_g_1_S_0054_0001_0001.pdb
27.296999999999997,rg_scorer_g_1_S_0055_0001_0001.pdb
25.486,rg_scorer_g_1_S_0056_0001_0001.pdb
27.865,rg_scorer_g_1_S_0057_0001_0001.pdb
25.175,rg_scorer_g_1_S_0058_0001_0001.pdb
25.854,rg_scorer_g_1_S_0059_0001_0001.pdb
27.215,rg_scorer_g_1_S_0060_0001_0001.pdb
26.209,rg_scorer_g_1_S_0061_0001_0001.pdb
25.19,rg_scorer_g_1_S_0062_0001_0001.pdb
25.453000000000003,rg_scorer_g_1_S_0063_0001_0001.pdb
27.107,rg_scorer_g_1_S_0064_0001_0001.pdb
25.528000000000002,rg_scorer_g_1_S_0065_0001_0001.pdb
26.525,rg_scorer_g_1_S_0066_0001_0001.pdb
29.176,rg_scorer_g_1_S_0067_0001_0001.pdb
27.879,rg_scorer_g_1_S_0068_0001_0001.pdb
26.256,rg_scorer_g_1_S_0069_0001_0001.pdb
27.685,rg_scorer_g_1_S_0070_0001_0001.pdb
26.625,rg_scorer_g_1_S_0071_0001_0001.pdb
27.049,rg_scorer_g_1_S_0072_0001_0001.pdb
30.108,rg_scorer_g_1_S_0073_0001_0001.pdb
27.65,rg_scorer_g_1_S_0074_0001_0001.pdb
25.288,rg_scorer_g_1_S_0075_0001_0001.pdb
25.301,rg_scorer_g_1_S_0076_0001_0001.pdb
25.947,rg_scorer_g_1_S_0077_0001_0001.pdb
26.413,rg_scorer_g_1_S_0078_0001_0001.pdb
28.026,rg_scorer_g_1_S_0079_0001_0001.pdb
25.568,rg_scorer_g_1_S_0080_0001_0001.pdb
27.625999999999998,rg_scorer_g_1_S_0081_0001_0001.pdb
27.662,rg_scorer_g_1_S_0082_0001_0001.pdb
27.613000000000003,rg_scorer_g_1_S_0083_0001_0001.pdb
25.469,rg_scorer_g_1_S_0084_0001_0001.pdb
27.123,rg_scorer_g_1_S_0085_0001_0001.pdb
26.18,rg_scorer_g_1_S_0086_0001_0001.pdb
27.015,rg_scorer_g_1_S_0087_0001_0001.pdb
27.224,rg_scorer_g_1_S_0088_0001_0001.pdb
27.194000000000003,rg_scorer_g_1_S_0089_0001_0001.pdb
26.06,rg_scorer_g_1_S_0090_0001_0001.pdb
27.822,rg_scorer_g_1_S_0091_0001_0001.pdb
25.468000000000004,rg_scorer_g_1_S_0092_0001_0001.pdb
26.516,rg_scorer_g_1_S_0093_0001_0001.pdb
26.495,rg_scorer_g_1_S_0094_0001_0001.pdb
25.691,rg_scorer_g_1_S_0095_0001_0001.pdb
26.943,rg_scorer_g_1_S_0096_0001_0001.pdb
27.845,rg_scorer_g_1_S_0097_0001_0001.pdb
26.535,rg_scorer_g_1_S_0098_0001_0001.pdb
27.586,rg_scorer_g_1_S_0099_0001_0001.pdb
25.633000000000003,rg_scorer_g_1_S_0100_0001_0001.pdb
29.936,rg_scorer_g_2_S_0001_0001_0001.pdb
26.469,rg_scorer_g_2_S_0002_0001_0001.pdb
25.691999999999997,rg_scorer_g_2_S_0003_0001_0001.pdb
25.891,rg_scorer_g_2_S_0004_0001_0001.pdb
28.516,rg_scorer_g_2_S_0005_0001_0001.pdb
27.375999999999998,rg_scorer_g_2_S_0006_0001_0001.pdb
28.539,rg_scorer_g_2_S_0007_0001_0001.pdb
25.736,rg_scorer_g_2_S_0008_0001_0001.pdb
26.405,rg_scorer_g_2_S_0009_0001_0001.pdb
27.463,rg_scorer_g_2_S_0010_0001_0001.pdb
26.505,rg_scorer_g_2_S_0011_0001_0001.pdb
27.945999999999998,rg_scorer_g_2_S_0012_0001_0001.pdb
28.089000000000002,rg_scorer_g_2_S_0013_0001_0001.pdb
26.959,rg_scorer_g_2_S_0014_0001_0001.pdb
26.011999999999997,rg_scorer_g_2_S_0015_0001_0001.pdb
27.138,rg_scorer_g_2_S_0016_0001_0001.pdb
26.694000000000003,rg_scorer_g_2_S_0017_0001_0001.pdb
28.737,rg_scorer_g_2_S_0018_0001_0001.pdb
27.646,rg_scorer_g_2_S_0019_0001_0001.pdb
26.915,rg_scorer_g_2_S_0020_0001_0001.pdb
25.101,rg_scorer_g_2_S_0021_0001_0001.pdb
27.936,rg_scorer_g_2_S_0022_0001_0001.pdb
27.74,rg_scorer_g_2_S_0023_0001_0001.pdb
27.641,rg_scorer_g_2_S_0024_0001_0001.pdb
30.444000000000003,rg_scorer_g_2_S_0025_0001_0001.pdb
30.386,rg_scorer_g_2_S_0026_0001_0001.pdb
25.212,rg_scorer_g_2_S_0027_0001_0001.pdb
28.05,rg_scorer_g_2_S_0028_0001_0001.pdb
27.973000000000003,rg_scorer_g_2_S_0029_0001_0001.pdb
28.514,rg_scorer_g_2_S_0030_0001_0001.pdb
25.29,rg_scorer_g_2_S_0031_0001_0001.pdb
26.281,rg_scorer_g_2_S_0032_0001_0001.pdb
27.038,rg_scorer_g_2_S_0033_0001_0001.pdb
25.266,rg_scorer_g_2_S_0034_0001_0001.pdb
25.021,rg_scorer_g_2_S_0035_0001_0001.pdb
26.683000000000003,rg_scorer_g_2_S_0036_0001_0001.pdb
27.586,rg_scorer_g_2_S_0037_0001_0001.pdb
24.998,rg_scorer_g_2_S_0038_0001_0001.pdb
28.215999999999998,rg_scorer_g_2_S_0039_0001_0001.pdb
28.089000000000002,rg_scorer_g_2_S_0040_0001_0001.pdb
26.837,rg_scorer_g_2_S_0041_0001_0001.pdb
29.213,rg_scorer_g_2_S_0042_0001_0001.pdb
27.671999999999997,rg_scorer_g_2_S_0043_0001_0001.pdb
28.427,rg_scorer_g_2_S_0044_0001_0001.pdb
26.174,rg_scorer_g_2_S_0045_0001_0001.pdb
26.803,rg_scorer_g_2_S_0046_0001_0001.pdb
26.291999999999998,rg_scorer_g_2_S_0047_0001_0001.pdb
26.58,rg_scorer_g_2_S_0048_0001_0001.pdb
25.964000000000002,rg_scorer_g_2_S_0049_0001_0001.pdb
25.552,rg_scorer_g_2_S_0050_0001_0001.pdb
25.401999999999997,rg_scorer_g_2_S_0051_0001_0001.pdb
25.578000000000003,rg_scorer_g_2_S_0052_0001_0001.pdb
26.272,rg_scorer_g_2_S_0053_0001_0001.pdb
25.735,rg_scorer_g_2_S_0054_0001_0001.pdb
28.502,rg_scorer_g_2_S_0055_0001_0001.pdb
28.846,rg_scorer_g_2_S_0056_0001_0001.pdb
27.783,rg_scorer_g_2_S_0057_0001_0001.pdb
25.643,rg_scorer_g_2_S_0058_0001_0001.pdb
26.728,rg_scorer_g_2_S_0059_0001_0001.pdb
26.076,rg_scorer_g_2_S_0060_0001_0001.pdb
25.862,rg_scorer_g_2_S_0061_0001_0001.pdb
25.756999999999998,rg_scorer_g_2_S_0062_0001_0001.pdb
27.14,rg_scorer_g_2_S_0063_0001_0001.pdb
25.484,rg_scorer_g_2_S_0064_0001_0001.pdb
28.201,rg_scorer_g_2_S_0065_0001_0001.pdb
26.894000000000002,rg_scorer_g_2_S_0066_0001_0001.pdb
25.408,rg_scorer_g_2_S_0067_0001_0001.pdb
28.131,rg_scorer_g_2_S_0068_0001_0001.pdb
27.04,rg_scorer_g_2_S_0069_0001_0001.pdb
26.180999999999997,rg_scorer_g_2_S_0070_0001_0001.pdb
25.073,rg_scorer_g_2_S_0071_0001_0001.pdb
27.84,rg_scorer_g_2_S_0072_0001_0001.pdb
26.796,rg_scorer_g_2_S_0073_0001_0001.pdb
