RG_SCORE,MODEL
19.135,rg_scorer_g_1_S_0001_0001_0001.pdb
19.56,rg_scorer_g_1_S_0002_0001_0001.pdb
19.442999999999998,rg_scorer_g_1_S_0003_0001_0001.pdb
19.503,rg_scorer_g_1_S_0004_0001_0001.pdb
19.480999999999998,rg_scorer_g_1_S_0005_0001_0001.pdb
19.418,rg_scorer_g_1_S_0006_0001_0001.pdb
19.465999999999998,rg_scorer_g_1_S_0007_0001_0001.pdb
19.573,rg_scorer_g_1_S_0008_0001_0001.pdb
19.572,rg_scorer_g_1_S_0009_0001_0001.pdb
19.55,rg_scorer_g_1_S_0010_0001_0001.pdb
19.596,rg_scorer_g_1_S_0011_0001_0001.pdb
19.517,rg_scorer_g_1_S_0012_0001_0001.pdb
19.532,rg_scorer_g_1_S_0013_0001_0001.pdb
19.465999999999998,rg_scorer_g_1_S_0014_0001_0001.pdb
19.625999999999998,rg_scorer_g_1_S_0015_0001_0001.pdb
19.712,rg_scorer_g_1_S_0016_0001_0001.pdb
19.480999999999998,rg_scorer_g_1_S_0017_0001_0001.pdb
19.725,rg_scorer_g_1_S_0018_0001_0001.pdb
19.742,rg_scorer_g_1_S_0019_0001_0001.pdb
19.593,rg_scorer_g_1_S_0020_0001_0001.pdb
19.457,rg_scorer_g_1_S_0021_0001_0001.pdb
19.525,rg_scorer_g_1_S_0022_0001_0001.pdb
19.873,rg_scorer_g_1_S_0023_0001_0001.pdb
19.518,rg_scorer_g_1_S_0024_0001_0001.pdb
19.531,rg_scorer_g_1_S_0025_0001_0001.pdb
19.39,rg_scorer_g_1_S_0026_0001_0001.pdb
19.153,rg_scorer_g_1_S_0027_0001_0001.pdb
19.381,rg_scorer_g_1_S_0028_0001_0001.pdb
19.49,rg_scorer_g_1_S_0029_0001_0001.pdb
19.605,rg_scorer_g_1_S_0030_0001_0001.pdb
19.229,rg_scorer_g_1_S_0031_0001_0001.pdb
19.471,rg_scorer_g_1_S_0032_0001_0001.pdb
19.505,rg_scorer_g_1_S_0033_0001_0001.pdb
19.567,rg_scorer_g_1_S_0034_0001_0001.pdb
19.37,rg_scorer_g_1_S_0035_0001_0001.pdb
19.262,rg_scorer_g_1_S_0036_0001_0001.pdb
19.543,rg_scorer_g_1_S_0037_0001_0001.pdb
19.791,rg_scorer_g_1_S_0038_0001_0001.pdb
19.557000000000002,rg_scorer_g_1_S_0039_0001_0001.pdb
19.741,rg_scorer_g_1_S_0040_0001_0001.pdb
19.552,rg_scorer_g_1_S_0041_0001_0001.pdb
19.504,rg_scorer_g_1_S_0042_0001_0001.pdb
19.732,rg_scorer_g_1_S_0043_0001_0001.pdb
19.509,rg_scorer_g_1_S_0044_0001_0001.pdb
19.477999999999998,rg_scorer_g_1_S_0045_0001_0001.pdb
19.596,rg_scorer_g_1_S_0046_0001_0001.pdb
19.539,rg_scorer_g_1_S_0047_0001_0001.pdb
19.77,rg_scorer_g_1_S_0048_0001_0001.pdb
19.410999999999998,rg_scorer_g_1_S_0049_0001_0001.pdb
19.594,rg_scorer_g_1_S_0050_0001_0001.pdb
19.365,rg_scorer_g_1_S_0051_0001_0001.pdb
19.592,rg_scorer_g_1_S_0052_0001_0001.pdb
19.614,rg_scorer_g_1_S_0053_0001_0001.pdb
19.654,rg_scorer_g_1_S_0054_0001_0001.pdb
19.555,rg_scorer_g_1_S_0055_0001_0001.pdb
19.762999999999998,rg_scorer_g_1_S_0056_0001_0001.pdb
19.548,rg_scorer_g_1_S_0057_0001_0001.pdb
19.861,rg_scorer_g_1_S_0058_0001_0001.pdb
19.415,rg_scorer_g_1_S_0059_0001_0001.pdb
19.4,rg_scorer_g_1_S_0060_0001_0001.pdb
19.581,rg_scorer_g_1_S_0061_0001_0001.pdb
19.371,rg_scorer_g_1_S_0062_0001_0001.pdb
19.449,rg_scorer_g_1_S_0063_0001_0001.pdb
19.659000000000002,rg_scorer_g_1_S_0064_0001_0001.pdb
19.452,rg_scorer_g_1_S_0065_0001_0001.pdb
19.54,rg_scorer_g_1_S_0066_0001_0001.pdb
19.206,rg_scorer_g_1_S_0067_0001_0001.pdb
19.489,rg_scorer_g_1_S_0068_0001_0001.pdb
19.417,rg_scorer_g_1_S_0069_0001_0001.pdb
19.562,rg_scorer_g_1_S_0070_0001_0001.pdb
19.719,rg_scorer_g_1_S_0071_0001_0001.pdb
19.535,rg_scorer_g_1_S_0072_0001_0001.pdb
19.547,rg_scorer_g_1_S_0073_0001_0001.pdb
19.596,rg_scorer_g_1_S_0074_0001_0001.pdb
19.45,rg_scorer_g_1_S_0075_0001_0001.pdb
19.328,rg_scorer_g_1_S_0076_0001_0001.pdb
19.491,rg_scorer_g_1_S_0077_0001_0001.pdb
19.782,rg_scorer_g_1_S_0078_0001_0001.pdb
19.407,rg_scorer_g_1_S_0079_0001_0001.pdb
19.268,rg_scorer_g_1_S_0080_0001_0001.pdb
19.494,rg_scorer_g_1_S_0081_0001_0001.pdb
19.705,rg_scorer_g_1_S_0082_0001_0001.pdb
19.579,rg_scorer_g_1_S_0083_0001_0001.pdb
19.826,rg_scorer_g_1_S_0084_0001_0001.pdb
19.484,rg_scorer_g_1_S_0085_0001_0001.pdb
19.551,rg_scorer_g_1_S_0086_0001_0001.pdb
19.491,rg_scorer_g_1_S_0087_0001_0001.pdb
19.525,rg_scorer_g_1_S_0088_0001_0001.pdb
19.412,rg_scorer_g_1_S_0089_0001_0001.pdb
19.654,rg_scorer_g_1_S_0090_0001_0001.pdb
19.504,rg_scorer_g_1_S_0091_0001_0001.pdb
19.649,rg_scorer_g_1_S_0092_0001_0001.pdb
19.47,rg_scorer_g_1_S_0093_0001_0001.pdb
19.718,rg_scorer_g_1_S_0094_0001_0001.pdb
19.506,rg_scorer_g_1_S_0095_0001_0001.pdb
19.718,rg_scorer_g_1_S_0096_0001_0001.pdb
19.552,rg_scorer_g_1_S_0097_0001_0001.pdb
19.365,rg_scorer_g_1_S_0098_0001_0001.pdb
19.622,rg_scorer_g_1_S_0099_0001_0001.pdb
19.597,rg_scorer_g_1_S_0100_0001_0001.pdb
19.534000000000002,rg_scorer_g_2_S_0001_0001_0001.pdb
19.488,rg_scorer_g_2_S_0002_0001_0001.pdb
19.496,rg_scorer_g_2_S_0003_0001_0001.pdb
19.625999999999998,rg_scorer_g_2_S_0004_0001_0001.pdb
19.682000000000002,rg_scorer_g_2_S_0005_0001_0001.pdb
19.561,rg_scorer_g_2_S_0006_0001_0001.pdb
19.509,rg_scorer_g_2_S_0007_0001_0001.pdb
19.274,rg_scorer_g_2_S_0008_0001_0001.pdb
19.249000000000002,rg_scorer_g_2_S_0009_0001_0001.pdb
19.328,rg_scorer_g_2_S_0010_0001_0001.pdb
19.647000000000002,rg_scorer_g_2_S_0011_0001_0001.pdb
19.802,rg_scorer_g_2_S_0012_0001_0001.pdb
19.59,rg_scorer_g_2_S_0013_0001_0001.pdb
19.562,rg_scorer_g_2_S_0014_0001_0001.pdb
19.203,rg_scorer_g_2_S_0015_0001_0001.pdb
19.703,rg_scorer_g_2_S_0016_0001_0001.pdb
19.566,rg_scorer_g_2_S_0017_0001_0001.pdb
19.546,rg_scorer_g_2_S_0018_0001_0001.pdb
19.766,rg_scorer_g_2_S_0019_0001_0001.pdb
19.387999999999998,rg_scorer_g_2_S_0020_0001_0001.pdb
19.264,rg_scorer_g_2_S_0021_0001_0001.pdb
19.649,rg_scorer_g_2_S_0022_0001_0001.pdb
19.775,rg_scorer_g_2_S_0023_0001_0001.pdb
19.367,rg_scorer_g_2_S_0024_0001_0001.pdb
19.281,rg_scorer_g_2_S_0025_0001_0001.pdb
19.773,rg_scorer_g_2_S_0026_0001_0001.pdb
19.625,rg_scorer_g_2_S_0027_0001_0001.pdb
19.741,rg_scorer_g_2_S_0028_0001_0001.pdb
19.437,rg_scorer_g_2_S_0029_0001_0001.pdb
19.64,rg_scorer_g_2_S_0030_0001_0001.pdb
19.667,rg_scorer_g_2_S_0031_0001_0001.pdb
19.583,rg_scorer_g_2_S_0032_0001_0001.pdb
19.512,rg_scorer_g_2_S_0033_0001_0001.pdb
19.561,rg_scorer_g_2_S_0034_0001_0001.pdb
19.25,rg_scorer_g_2_S_0035_0001_0001.pdb
19.835,rg_scorer_g_2_S_0036_0001_0001.pdb
19.331,rg_scorer_g_2_S_0037_0001_0001.pdb
19.355999999999998,rg_scorer_g_2_S_0038_0001_0001.pdb
19.771,rg_scorer_g_2_S_0039_0001_0001.pdb
19.775,rg_scorer_g_2_S_0040_0001_0001.pdb
19.611,rg_scorer_g_2_S_0041_0001_0001.pdb
19.671,rg_scorer_g_2_S_0042_0001_0001.pdb
19.529,rg_scorer_g_2_S_0043_0001_0001.pdb
19.723,rg_scorer_g_2_S_0044_0001_0001.pdb
19.487000000000002,rg_scorer_g_2_S_0045_0001_0001.pdb
19.595,rg_scorer_g_2_S_0046_0001_0001.pdb
19.354,rg_scorer_g_2_S_0047_0001_0001.pdb
19.262999999999998,rg_scorer_g_2_S_0048_0001_0001.pdb
19.32,rg_scorer_g_2_S_0049_0001_0001.pdb
19.590999999999998,rg_scorer_g_2_S_0050_0001_0001.pdb
19.64,rg_scorer_g_2_S_0051_0001_0001.pdb
19.473,rg_scorer_g_2_S_0052_0001_0001.pdb
19.146,rg_scorer_g_2_S_0053_0001_0001.pdb
19.647000000000002,rg_scorer_g_2_S_0054_0001_0001.pdb
19.581,rg_scorer_g_2_S_0055_0001_0001.pdb
19.642,rg_scorer_g_2_S_0056_0001_0001.pdb
19.613,rg_scorer_g_2_S_0057_0001_0001.pdb
19.44,rg_scorer_g_2_S_0058_0001_0001.pdb
19.303,rg_scorer_g_2_S_0059_0001_0001.pdb
19.373,rg_scorer_g_2_S_0060_0001_0001.pdb
19.82,rg_scorer_g_2_S_0061_0001_0001.pdb
19.346,rg_scorer_g_2_S_0062_0001_0001.pdb
19.56,rg_scorer_g_2_S_0063_0001_0001.pdb
19.583,rg_scorer_g_2_S_0064_0001_0001.pdb
19.59,rg_scorer_g_2_S_0065_0001_0001.pdb
19.566,rg_scorer_g_2_S_0066_0001_0001.pdb
19.762,rg_scorer_g_2_S_0067_0001_0001.pdb
19.53,rg_scorer_g_2_S_0068_0001_0001.pdb
19.508,rg_scorer_g_2_S_0069_0001_0001.pdb
19.605999999999998,rg_scorer_g_2_S_0070_0001_0001.pdb
19.582,rg_scorer_g_2_S_0071_0001_0001.pdb
19.701,rg_scorer_g_2_S_0072_0001_0001.pdb
19.268,rg_scorer_g_2_S_0073_0001_0001.pdb
19.534000000000002,rg_scorer_g_2_S_0074_0001_0001.pdb
19.73,rg_scorer_g_2_S_0075_0001_0001.pdb
19.308,rg_scorer_g_2_S_0076_0001_0001.pdb
19.512,rg_scorer_g_2_S_0077_0001_0001.pdb
19.714000000000002,rg_scorer_g_2_S_0078_0001_0001.pdb
19.527,rg_scorer_g_2_S_0079_0001_0001.pdb
19.532,rg_scorer_g_2_S_0080_0001_0001.pdb
19.55,rg_scorer_g_2_S_0081_0001_0001.pdb
19.412,rg_scorer_g_2_S_0082_0001_0001.pdb
19.578,rg_scorer_g_2_S_0083_0001_0001.pdb
19.549,rg_scorer_g_2_S_0084_0001_0001.pdb
19.589000000000002,rg_scorer_g_2_S_0085_0001_0001.pdb
19.336,rg_scorer_g_2_S_0086_0001_0001.pdb
19.668,rg_scorer_g_2_S_0087_0001_0001.pdb
19.583,rg_scorer_g_2_S_0088_0001_0001.pdb
19.488,rg_scorer_g_2_S_0089_0001_0001.pdb
19.488,rg_scorer_g_2_S_0090_0001_0001.pdb
19.462,rg_scorer_g_2_S_0091_0001_0001.pdb
19.635,rg_scorer_g_2_S_0092_0001_0001.pdb
19.519000000000002,rg_scorer_g_2_S_0093_0001_0001.pdb
19.715999999999998,rg_scorer_g_2_S_0094_0001_0001.pdb
19.7,rg_scorer_g_2_S_0095_0001_0001.pdb
19.334,rg_scorer_g_2_S_0096_0001_0001.pdb
19.211,rg_scorer_g_2_S_0097_0001_0001.pdb
19.506,rg_scorer_g_2_S_0098_0001_0001.pdb
19.715999999999998,rg_scorer_g_2_S_0099_0001_0001.pdb
19.401,rg_scorer_g_2_S_0100_0001_0001.pdb
19.548,rg_scorer_g_3_S_0001_0001_0001.pdb
19.455,rg_scorer_g_3_S_0002_0001_0001.pdb
19.823,rg_scorer_g_3_S_0003_0001_0001.pdb
19.385,rg_scorer_g_3_S_0004_0001_0001.pdb
19.599,rg_scorer_g_3_S_0005_0001_0001.pdb
19.454,rg_scorer_g_3_S_0006_0001_0001.pdb
19.452,rg_scorer_g_3_S_0007_0001_0001.pdb
19.537,rg_scorer_g_3_S_0008_0001_0001.pdb
19.503,rg_scorer_g_3_S_0009_0001_0001.pdb
19.492,rg_scorer_g_3_S_0010_0001_0001.pdb
19.378,rg_scorer_g_3_S_0011_0001_0001.pdb
19.673,rg_scorer_g_3_S_0012_0001_0001.pdb
19.289,rg_scorer_g_3_S_0013_0001_0001.pdb
19.303,rg_scorer_g_3_S_0014_0001_0001.pdb
19.447,rg_scorer_g_3_S_0015_0001_0001.pdb
19.435,rg_scorer_g_3_S_0016_0001_0001.pdb
19.402,rg_scorer_g_3_S_0017_0001_0001.pdb
19.542,rg_scorer_g_3_S_0018_0001_0001.pdb
19.377,rg_scorer_g_3_S_0019_0001_0001.pdb
19.704,rg_scorer_g_3_S_0020_0001_0001.pdb
19.717,rg_scorer_g_3_S_0021_0001_0001.pdb
19.66,rg_scorer_g_3_S_0022_0001_0001.pdb
19.552,rg_scorer_g_3_S_0023_0001_0001.pdb
19.542,rg_scorer_g_3_S_0024_0001_0001.pdb
19.593,rg_scorer_g_3_S_0025_0001_0001.pdb
19.608,rg_scorer_g_3_S_0026_0001_0001.pdb
19.425,rg_scorer_g_3_S_0027_0001_0001.pdb
19.56,rg_scorer_g_3_S_0028_0001_0001.pdb
19.551,rg_scorer_g_3_S_0029_0001_0001.pdb
19.89,rg_scorer_g_3_S_0030_0001_0001.pdb
19.593,rg_scorer_g_3_S_0031_0001_0001.pdb
19.518,rg_scorer_g_3_S_0032_0001_0001.pdb
19.359,rg_scorer_g_3_S_0033_0001_0001.pdb
19.367,rg_scorer_g_3_S_0034_0001_0001.pdb
19.549,rg_scorer_g_3_S_0035_0001_0001.pdb
19.497,rg_scorer_g_3_S_0036_0001_0001.pdb
19.427,rg_scorer_g_3_S_0037_0001_0001.pdb
19.512,rg_scorer_g_3_S_0038_0001_0001.pdb
19.361,rg_scorer_g_3_S_0039_0001_0001.pdb
19.53,rg_scorer_g_3_S_0040_0001_0001.pdb
19.502,rg_scorer_g_3_S_0041_0001_0001.pdb
19.483,rg_scorer_g_3_S_0042_0001_0001.pdb
19.435,rg_scorer_g_3_S_0043_0001_0001.pdb
19.658,rg_scorer_g_3_S_0044_0001_0001.pdb
19.409000000000002,rg_scorer_g_3_S_0045_0001_0001.pdb
19.365,rg_scorer_g_3_S_0046_0001_0001.pdb
19.563,rg_scorer_g_3_S_0047_0001_0001.pdb
19.496,rg_scorer_g_3_S_0048_0001_0001.pdb
19.734,rg_scorer_g_3_S_0049_0001_0001.pdb
19.294,rg_scorer_g_3_S_0050_0001_0001.pdb
19.559,rg_scorer_g_3_S_0051_0001_0001.pdb
19.437,rg_scorer_g_3_S_0052_0001_0001.pdb
19.648,rg_scorer_g_3_S_0053_0001_0001.pdb
19.784000000000002,rg_scorer_g_3_S_0054_0001_0001.pdb
19.319000000000003,rg_scorer_g_3_S_0055_0001_0001.pdb
19.796,rg_scorer_g_3_S_0056_0001_0001.pdb
19.487000000000002,rg_scorer_g_3_S_0057_0001_0001.pdb
19.357,rg_scorer_g_3_S_0058_0001_0001.pdb
19.445999999999998,rg_scorer_g_3_S_0059_0001_0001.pdb
19.678,rg_scorer_g_3_S_0060_0001_0001.pdb
19.515,rg_scorer_g_3_S_0061_0001_0001.pdb
19.527,rg_scorer_g_3_S_0062_0001_0001.pdb
19.633,rg_scorer_g_3_S_0063_0001_0001.pdb
19.612000000000002,rg_scorer_g_3_S_0064_0001_0001.pdb
19.543,rg_scorer_g_3_S_0065_0001_0001.pdb
19.646,rg_scorer_g_3_S_0066_0001_0001.pdb
19.633,rg_scorer_g_3_S_0067_0001_0001.pdb
19.514,rg_scorer_g_3_S_0068_0001_0001.pdb
19.435,rg_scorer_g_3_S_0069_0001_0001.pdb
19.627,rg_scorer_g_3_S_0070_0001_0001.pdb
19.541,rg_scorer_g_3_S_0071_0001_0001.pdb
19.473,rg_scorer_g_3_S_0072_0001_0001.pdb
19.519000000000002,rg_scorer_g_3_S_0073_0001_0001.pdb
19.422,rg_scorer_g_3_S_0074_0001_0001.pdb
19.594,rg_scorer_g_3_S_0075_0001_0001.pdb
19.675,rg_scorer_g_3_S_0076_0001_0001.pdb
19.56,rg_scorer_g_3_S_0077_0001_0001.pdb
19.211,rg_scorer_g_3_S_0078_0001_0001.pdb
19.624000000000002,rg_scorer_g_3_S_0079_0001_0001.pdb
19.618,rg_scorer_g_3_S_0080_0001_0001.pdb
19.531,rg_scorer_g_3_S_0081_0001_0001.pdb
19.567999999999998,rg_scorer_g_3_S_0082_0001_0001.pdb
19.304000000000002,rg_scorer_g_3_S_0083_0001_0001.pdb
19.397000000000002,rg_scorer_g_3_S_0084_0001_0001.pdb
19.46,rg_scorer_g_3_S_0085_0001_0001.pdb
19.467,rg_scorer_g_3_S_0086_0001_0001.pdb
19.469,rg_scorer_g_3_S_0087_0001_0001.pdb
19.822,rg_scorer_g_3_S_0088_0001_0001.pdb
19.182000000000002,rg_scorer_g_3_S_0089_0001_0001.pdb
19.32,rg_scorer_g_3_S_0090_0001_0001.pdb
19.502,rg_scorer_g_3_S_0091_0001_0001.pdb
19.313,rg_scorer_g_3_S_0092_0001_0001.pdb
19.703,rg_scorer_g_3_S_0093_0001_0001.pdb
19.785999999999998,rg_scorer_g_3_S_0094_0001_0001.pdb
19.565,rg_scorer_g_3_S_0095_0001_0001.pdb
19.479,rg_scorer_g_3_S_0096_0001_0001.pdb
19.525,rg_scorer_g_3_S_0097_0001_0001.pdb
19.646,rg_scorer_g_3_S_0098_0001_0001.pdb
19.778,rg_scorer_g_3_S_0099_0001_0001.pdb
19.718,rg_scorer_g_3_S_0100_0001_0001.pdb
19.748,rg_scorer_g_4_S_0001_0001_0001.pdb
19.575,rg_scorer_g_4_S_0002_0001_0001.pdb
19.524,rg_scorer_g_4_S_0003_0001_0001.pdb
19.340999999999998,rg_scorer_g_4_S_0004_0001_0001.pdb
19.508,rg_scorer_g_4_S_0005_0001_0001.pdb
19.459,rg_scorer_g_4_S_0006_0001_0001.pdb
19.383,rg_scorer_g_4_S_0007_0001_0001.pdb
19.172,rg_scorer_g_4_S_0008_0001_0001.pdb
19.477999999999998,rg_scorer_g_4_S_0009_0001_0001.pdb
19.279,rg_scorer_g_4_S_0010_0001_0001.pdb
19.832,rg_scorer_g_4_S_0011_0001_0001.pdb
19.381,rg_scorer_g_4_S_0012_0001_0001.pdb
19.607,rg_scorer_g_4_S_0013_0001_0001.pdb
19.362000000000002,rg_scorer_g_4_S_0014_0001_0001.pdb
19.438,rg_scorer_g_4_S_0015_0001_0001.pdb
19.563,rg_scorer_g_4_S_0016_0001_0001.pdb
19.516,rg_scorer_g_4_S_0017_0001_0001.pdb
19.734,rg_scorer_g_4_S_0018_0001_0001.pdb
19.564,rg_scorer_g_4_S_0019_0001_0001.pdb
19.339000000000002,rg_scorer_g_4_S_0020_0001_0001.pdb
19.713,rg_scorer_g_4_S_0021_0001_0001.pdb
19.134,rg_scorer_g_4_S_0022_0001_0001.pdb
19.641,rg_scorer_g_4_S_0023_0001_0001.pdb
19.273,rg_scorer_g_4_S_0024_0001_0001.pdb
19.518,rg_scorer_g_4_S_0025_0001_0001.pdb
19.323,rg_scorer_g_4_S_0026_0001_0001.pdb
19.305,rg_scorer_g_4_S_0027_0001_0001.pdb
19.503,rg_scorer_g_4_S_0028_0001_0001.pdb
19.364,rg_scorer_g_4_S_0029_0001_0001.pdb
19.284000000000002,rg_scorer_g_4_S_0030_0001_0001.pdb
19.65,rg_scorer_g_4_S_0031_0001_0001.pdb
19.702,rg_scorer_g_4_S_0032_0001_0001.pdb
19.724,rg_scorer_g_4_S_0033_0001_0001.pdb
19.419,rg_scorer_g_4_S_0034_0001_0001.pdb
19.529,rg_scorer_g_4_S_0035_0001_0001.pdb
19.654,rg_scorer_g_4_S_0036_0001_0001.pdb
19.277,rg_scorer_g_4_S_0037_0001_0001.pdb
19.414,rg_scorer_g_4_S_0038_0001_0001.pdb
19.372,rg_scorer_g_4_S_0039_0001_0001.pdb
19.54,rg_scorer_g_4_S_0040_0001_0001.pdb
19.54,rg_scorer_g_4_S_0041_0001_0001.pdb
19.512,rg_scorer_g_4_S_0042_0001_0001.pdb
19.323,rg_scorer_g_4_S_0043_0001_0001.pdb
19.67,rg_scorer_g_4_S_0044_0001_0001.pdb
19.836,rg_scorer_g_4_S_0045_0001_0001.pdb
19.724,rg_scorer_g_4_S_0046_0001_0001.pdb
19.352999999999998,rg_scorer_g_4_S_0047_0001_0001.pdb
19.524,rg_scorer_g_4_S_0048_0001_0001.pdb
19.579,rg_scorer_g_4_S_0049_0001_0001.pdb
19.546,rg_scorer_g_4_S_0050_0001_0001.pdb
19.445,rg_scorer_g_4_S_0051_0001_0001.pdb
19.457,rg_scorer_g_4_S_0052_0001_0001.pdb
19.344,rg_scorer_g_4_S_0053_0001_0001.pdb
19.679000000000002,rg_scorer_g_4_S_0054_0001_0001.pdb
19.213,rg_scorer_g_4_S_0055_0001_0001.pdb
19.516,rg_scorer_g_4_S_0056_0001_0001.pdb
19.642,rg_scorer_g_4_S_0057_0001_0001.pdb
19.602999999999998,rg_scorer_g_4_S_0058_0001_0001.pdb
19.935,rg_scorer_g_4_S_0059_0001_0001.pdb
19.711,rg_scorer_g_4_S_0060_0001_0001.pdb
19.749000000000002,rg_scorer_g_4_S_0061_0001_0001.pdb
19.38,rg_scorer_g_4_S_0062_0001_0001.pdb
19.416,rg_scorer_g_4_S_0063_0001_0001.pdb
19.415,rg_scorer_g_4_S_0064_0001_0001.pdb
19.616,rg_scorer_g_4_S_0065_0001_0001.pdb
19.524,rg_scorer_g_4_S_0066_0001_0001.pdb
19.502,rg_scorer_g_4_S_0067_0001_0001.pdb
19.373,rg_scorer_g_4_S_0068_0001_0001.pdb
19.187,rg_scorer_g_4_S_0069_0001_0001.pdb
19.577,rg_scorer_g_4_S_0070_0001_0001.pdb
19.592,rg_scorer_g_4_S_0071_0001_0001.pdb
19.644000000000002,rg_scorer_g_4_S_0072_0001_0001.pdb
19.529,rg_scorer_g_4_S_0073_0001_0001.pdb
19.59,rg_scorer_g_4_S_0074_0001_0001.pdb
19.6,rg_scorer_g_4_S_0075_0001_0001.pdb
19.614,rg_scorer_g_4_S_0076_0001_0001.pdb
19.453,rg_scorer_g_4_S_0077_0001_0001.pdb
19.692,rg_scorer_g_4_S_0078_0001_0001.pdb
19.565,rg_scorer_g_4_S_0079_0001_0001.pdb
19.335,rg_scorer_g_4_S_0080_0001_0001.pdb
19.781,rg_scorer_g_4_S_0081_0001_0001.pdb
19.699,rg_scorer_g_4_S_0082_0001_0001.pdb
19.483,rg_scorer_g_4_S_0083_0001_0001.pdb
19.273,rg_scorer_g_4_S_0084_0001_0001.pdb
19.695,rg_scorer_g_4_S_0085_0001_0001.pdb
19.585,rg_scorer_g_4_S_0086_0001_0001.pdb
