RG_SCORE,MODEL
29.38,rg_scorer_gmb_1_S_0001_0001_0001.pdb
29.21,rg_scorer_gmb_1_S_0002_0001_0001.pdb
28.967,rg_scorer_gmb_1_S_0003_0001_0001.pdb
29.206,rg_scorer_gmb_1_S_0004_0001_0001.pdb
28.766,rg_scorer_gmb_1_S_0005_0001_0001.pdb
29.094,rg_scorer_gmb_1_S_0006_0001_0001.pdb
28.752,rg_scorer_gmb_1_S_0007_0001_0001.pdb
29.006999999999998,rg_scorer_gmb_1_S_0008_0001_0001.pdb
28.843000000000004,rg_scorer_gmb_1_S_0009_0001_0001.pdb
28.953000000000003,rg_scorer_gmb_1_S_0010_0001_0001.pdb
28.756999999999998,rg_scorer_gmb_1_S_0011_0001_0001.pdb
29.072,rg_scorer_gmb_1_S_0012_0001_0001.pdb
28.921999999999997,rg_scorer_gmb_1_S_0013_0001_0001.pdb
29.302,rg_scorer_gmb_1_S_0014_0001_0001.pdb
28.809,rg_scorer_gmb_1_S_0015_0001_0001.pdb
28.851999999999997,rg_scorer_gmb_1_S_0016_0001_0001.pdb
28.865,rg_scorer_gmb_1_S_0017_0001_0001.pdb
28.721999999999998,rg_scorer_gmb_1_S_0018_0001_0001.pdb
29.325,rg_scorer_gmb_1_S_0019_0001_0001.pdb
28.991999999999997,rg_scorer_gmb_1_S_0020_0001_0001.pdb
29.421,rg_scorer_gmb_1_S_0021_0001_0001.pdb
28.593000000000004,rg_scorer_gmb_1_S_0022_0001_0001.pdb
29.168000000000003,rg_scorer_gmb_1_S_0023_0001_0001.pdb
29.244,rg_scorer_gmb_1_S_0024_0001_0001.pdb
29.159000000000002,rg_scorer_gmb_1_S_0025_0001_0001.pdb
29.008000000000003,rg_scorer_gmb_1_S_0026_0001_0001.pdb
28.683000000000003,rg_scorer_gmb_1_S_0027_0001_0001.pdb
29.323,rg_scorer_gmb_1_S_0028_0001_0001.pdb
28.88,rg_scorer_gmb_1_S_0029_0001_0001.pdb
28.978,rg_scorer_gmb_1_S_0030_0001_0001.pdb
29.252,rg_scorer_gmb_1_S_0031_0001_0001.pdb
29.141,rg_scorer_gmb_1_S_0032_0001_0001.pdb
29.119,rg_scorer_gmb_1_S_0033_0001_0001.pdb
28.826999999999998,rg_scorer_gmb_1_S_0034_0001_0001.pdb
29.205,rg_scorer_gmb_1_S_0035_0001_0001.pdb
29.116,rg_scorer_gmb_1_S_0036_0001_0001.pdb
29.092,rg_scorer_gmb_1_S_0037_0001_0001.pdb
29.19,rg_scorer_gmb_1_S_0038_0001_0001.pdb
28.941999999999997,rg_scorer_gmb_1_S_0039_0001_0001.pdb
28.828000000000003,rg_scorer_gmb_1_S_0040_0001_0001.pdb
28.838,rg_scorer_gmb_1_S_0041_0001_0001.pdb
29.272,rg_scorer_gmb_1_S_0042_0001_0001.pdb
28.914,rg_scorer_gmb_1_S_0043_0001_0001.pdb
28.772,rg_scorer_gmb_1_S_0044_0001_0001.pdb
29.01,rg_scorer_gmb_1_S_0045_0001_0001.pdb
29.002,rg_scorer_gmb_1_S_0046_0001_0001.pdb
28.838,rg_scorer_gmb_1_S_0047_0001_0001.pdb
29.061,rg_scorer_gmb_1_S_0048_0001_0001.pdb
28.936,rg_scorer_gmb_1_S_0049_0001_0001.pdb
28.898000000000003,rg_scorer_gmb_1_S_0050_0001_0001.pdb
29.113000000000003,rg_scorer_gmb_1_S_0051_0001_0001.pdb
28.845,rg_scorer_gmb_1_S_0052_0001_0001.pdb
28.656,rg_scorer_gmb_1_S_0053_0001_0001.pdb
28.971,rg_scorer_gmb_1_S_0054_0001_0001.pdb
29.083000000000002,rg_scorer_gmb_1_S_0055_0001_0001.pdb
28.59,rg_scorer_gmb_1_S_0056_0001_0001.pdb
29.026,rg_scorer_gmb_1_S_0057_0001_0001.pdb
28.833000000000002,rg_scorer_gmb_1_S_0058_0001_0001.pdb
29.205,rg_scorer_gmb_1_S_0059_0001_0001.pdb
28.815,rg_scorer_gmb_1_S_0060_0001_0001.pdb
28.886999999999997,rg_scorer_gmb_1_S_0061_0001_0001.pdb
29.055999999999997,rg_scorer_gmb_1_S_0062_0001_0001.pdb
28.859,rg_scorer_gmb_1_S_0063_0001_0001.pdb
29.243000000000002,rg_scorer_gmb_1_S_0064_0001_0001.pdb
29.033,rg_scorer_gmb_1_S_0065_0001_0001.pdb
29.035,rg_scorer_gmb_1_S_0066_0001_0001.pdb
29.035,rg_scorer_gmb_1_S_0067_0001_0001.pdb
28.842,rg_scorer_gmb_1_S_0068_0001_0001.pdb
28.974,rg_scorer_gmb_1_S_0069_0001_0001.pdb
29.266,rg_scorer_gmb_1_S_0070_0001_0001.pdb
29.269000000000002,rg_scorer_gmb_1_S_0071_0001_0001.pdb
28.945,rg_scorer_gmb_1_S_0072_0001_0001.pdb
29.004,rg_scorer_gmb_1_S_0073_0001_0001.pdb
29.343000000000004,rg_scorer_gmb_1_S_0074_0001_0001.pdb
29.122,rg_scorer_gmb_1_S_0075_0001_0001.pdb
29.112,rg_scorer_gmb_1_S_0076_0001_0001.pdb
28.875999999999998,rg_scorer_gmb_1_S_0077_0001_0001.pdb
28.965,rg_scorer_gmb_1_S_0078_0001_0001.pdb
29.03,rg_scorer_gmb_1_S_0079_0001_0001.pdb
29.011,rg_scorer_gmb_1_S_0080_0001_0001.pdb
28.971999999999998,rg_scorer_gmb_1_S_0081_0001_0001.pdb
28.993000000000002,rg_scorer_gmb_1_S_0082_0001_0001.pdb
29.204,rg_scorer_gmb_1_S_0083_0001_0001.pdb
28.798000000000002,rg_scorer_gmb_1_S_0084_0001_0001.pdb
29.21,rg_scorer_gmb_1_S_0085_0001_0001.pdb
28.875,rg_scorer_gmb_1_S_0086_0001_0001.pdb
28.955,rg_scorer_gmb_1_S_0087_0001_0001.pdb
29.799,rg_scorer_gmb_1_S_0088_0001_0001.pdb
28.872,rg_scorer_gmb_1_S_0089_0001_0001.pdb
29.081999999999997,rg_scorer_gmb_1_S_0090_0001_0001.pdb
29.158,rg_scorer_gmb_1_S_0091_0001_0001.pdb
29.118000000000002,rg_scorer_gmb_1_S_0092_0001_0001.pdb
28.836,rg_scorer_gmb_1_S_0093_0001_0001.pdb
29.086,rg_scorer_gmb_1_S_0094_0001_0001.pdb
28.71,rg_scorer_gmb_1_S_0095_0001_0001.pdb
28.799,rg_scorer_gmb_1_S_0096_0001_0001.pdb
28.787,rg_scorer_gmb_1_S_0097_0001_0001.pdb
29.053,rg_scorer_gmb_1_S_0098_0001_0001.pdb
28.784000000000002,rg_scorer_gmb_1_S_0099_0001_0001.pdb
29.368000000000002,rg_scorer_gmb_1_S_0100_0001_0001.pdb
28.893,rg_scorer_gmb_2_S_0001_0001_0001.pdb
29.123,rg_scorer_gmb_2_S_0002_0001_0001.pdb
29.074,rg_scorer_gmb_2_S_0003_0001_0001.pdb
28.741999999999997,rg_scorer_gmb_2_S_0004_0001_0001.pdb
28.955,rg_scorer_gmb_2_S_0005_0001_0001.pdb
29.32,rg_scorer_gmb_2_S_0006_0001_0001.pdb
28.883000000000003,rg_scorer_gmb_2_S_0007_0001_0001.pdb
28.866999999999997,rg_scorer_gmb_2_S_0008_0001_0001.pdb
28.694000000000003,rg_scorer_gmb_2_S_0009_0001_0001.pdb
29.059,rg_scorer_gmb_2_S_0010_0001_0001.pdb
29.168000000000003,rg_scorer_gmb_2_S_0011_0001_0001.pdb
29.215999999999998,rg_scorer_gmb_2_S_0012_0001_0001.pdb
29.066,rg_scorer_gmb_2_S_0013_0001_0001.pdb
29.109,rg_scorer_gmb_2_S_0014_0001_0001.pdb
28.949,rg_scorer_gmb_2_S_0015_0001_0001.pdb
29.191999999999997,rg_scorer_gmb_2_S_0016_0001_0001.pdb
29.055,rg_scorer_gmb_2_S_0017_0001_0001.pdb
28.815,rg_scorer_gmb_2_S_0018_0001_0001.pdb
29.089000000000002,rg_scorer_gmb_2_S_0019_0001_0001.pdb
29.045,rg_scorer_gmb_2_S_0020_0001_0001.pdb
28.871,rg_scorer_gmb_2_S_0021_0001_0001.pdb
28.873,rg_scorer_gmb_2_S_0022_0001_0001.pdb
28.666999999999998,rg_scorer_gmb_2_S_0023_0001_0001.pdb
29.22,rg_scorer_gmb_2_S_0024_0001_0001.pdb
28.803,rg_scorer_gmb_2_S_0025_0001_0001.pdb
29.099,rg_scorer_gmb_2_S_0026_0001_0001.pdb
28.916,rg_scorer_gmb_2_S_0027_0001_0001.pdb
28.935,rg_scorer_gmb_2_S_0028_0001_0001.pdb
29.084,rg_scorer_gmb_2_S_0029_0001_0001.pdb
29.076,rg_scorer_gmb_2_S_0030_0001_0001.pdb
28.906,rg_scorer_gmb_2_S_0031_0001_0001.pdb
29.248,rg_scorer_gmb_2_S_0032_0001_0001.pdb
28.798000000000002,rg_scorer_gmb_2_S_0033_0001_0001.pdb
29.134,rg_scorer_gmb_2_S_0034_0001_0001.pdb
29.075,rg_scorer_gmb_2_S_0035_0001_0001.pdb
29.160999999999998,rg_scorer_gmb_2_S_0036_0001_0001.pdb
29.392,rg_scorer_gmb_2_S_0037_0001_0001.pdb
28.765,rg_scorer_gmb_2_S_0038_0001_0001.pdb
29.176,rg_scorer_gmb_2_S_0039_0001_0001.pdb
28.671999999999997,rg_scorer_gmb_2_S_0040_0001_0001.pdb
29.329,rg_scorer_gmb_2_S_0041_0001_0001.pdb
29.642,rg_scorer_gmb_2_S_0042_0001_0001.pdb
28.971999999999998,rg_scorer_gmb_2_S_0043_0001_0001.pdb
28.88,rg_scorer_gmb_2_S_0044_0001_0001.pdb
29.180999999999997,rg_scorer_gmb_2_S_0045_0001_0001.pdb
29.243000000000002,rg_scorer_gmb_2_S_0046_0001_0001.pdb
28.871,rg_scorer_gmb_2_S_0047_0001_0001.pdb
28.646,rg_scorer_gmb_2_S_0048_0001_0001.pdb
