RG_SCORE,MODEL
22.609,rg_scorer_g_1_S_0001_0001_0001.pdb
22.625,rg_scorer_g_1_S_0002_0001_0001.pdb
22.796999999999997,rg_scorer_g_1_S_0003_0001_0001.pdb
22.548000000000002,rg_scorer_g_1_S_0004_0001_0001.pdb
22.689,rg_scorer_g_1_S_0005_0001_0001.pdb
22.668000000000003,rg_scorer_g_1_S_0006_0001_0001.pdb
22.771,rg_scorer_g_1_S_0007_0001_0001.pdb
22.771,rg_scorer_g_1_S_0008_0001_0001.pdb
22.805,rg_scorer_g_1_S_0009_0001_0001.pdb
22.699,rg_scorer_g_1_S_0010_0001_0001.pdb
22.784000000000002,rg_scorer_g_1_S_0011_0001_0001.pdb
22.744,rg_scorer_g_1_S_0012_0001_0001.pdb
22.706,rg_scorer_g_1_S_0013_0001_0001.pdb
22.85,rg_scorer_g_1_S_0014_0001_0001.pdb
22.873,rg_scorer_g_1_S_0015_0001_0001.pdb
22.596,rg_scorer_g_1_S_0016_0001_0001.pdb
22.752,rg_scorer_g_1_S_0017_0001_0001.pdb
22.703000000000003,rg_scorer_g_1_S_0018_0001_0001.pdb
22.426,rg_scorer_g_1_S_0019_0001_0001.pdb
22.709,rg_scorer_g_1_S_0020_0001_0001.pdb
22.711,rg_scorer_g_1_S_0021_0001_0001.pdb
22.688000000000002,rg_scorer_g_1_S_0022_0001_0001.pdb
22.767,rg_scorer_g_1_S_0023_0001_0001.pdb
22.599,rg_scorer_g_1_S_0024_0001_0001.pdb
22.549,rg_scorer_g_1_S_0025_0001_0001.pdb
22.81,rg_scorer_g_1_S_0026_0001_0001.pdb
22.675,rg_scorer_g_1_S_0027_0001_0001.pdb
22.794,rg_scorer_g_1_S_0028_0001_0001.pdb
22.739,rg_scorer_g_1_S_0029_0001_0001.pdb
22.715,rg_scorer_g_1_S_0030_0001_0001.pdb
22.726999999999997,rg_scorer_g_1_S_0031_0001_0001.pdb
22.868000000000002,rg_scorer_g_1_S_0032_0001_0001.pdb
22.607,rg_scorer_g_1_S_0033_0001_0001.pdb
22.791999999999998,rg_scorer_g_1_S_0034_0001_0001.pdb
22.67,rg_scorer_g_1_S_0035_0001_0001.pdb
22.651,rg_scorer_g_1_S_0036_0001_0001.pdb
22.682,rg_scorer_g_1_S_0037_0001_0001.pdb
22.735,rg_scorer_g_1_S_0038_0001_0001.pdb
22.666,rg_scorer_g_1_S_0039_0001_0001.pdb
22.504,rg_scorer_g_1_S_0040_0001_0001.pdb
22.855,rg_scorer_g_1_S_0041_0001_0001.pdb
22.794,rg_scorer_g_1_S_0042_0001_0001.pdb
22.666999999999998,rg_scorer_g_1_S_0043_0001_0001.pdb
22.816999999999997,rg_scorer_g_1_S_0044_0001_0001.pdb
22.713,rg_scorer_g_1_S_0045_0001_0001.pdb
22.726,rg_scorer_g_1_S_0046_0001_0001.pdb
22.579,rg_scorer_g_1_S_0047_0001_0001.pdb
22.799,rg_scorer_g_1_S_0048_0001_0001.pdb
22.759,rg_scorer_g_1_S_0049_0001_0001.pdb
22.769000000000002,rg_scorer_g_1_S_0050_0001_0001.pdb
22.59,rg_scorer_g_1_S_0051_0001_0001.pdb
22.655,rg_scorer_g_1_S_0052_0001_0001.pdb
22.68,rg_scorer_g_1_S_0053_0001_0001.pdb
22.756999999999998,rg_scorer_g_1_S_0054_0001_0001.pdb
22.75,rg_scorer_g_1_S_0055_0001_0001.pdb
22.842,rg_scorer_g_1_S_0056_0001_0001.pdb
22.746,rg_scorer_g_1_S_0057_0001_0001.pdb
22.706999999999997,rg_scorer_g_1_S_0058_0001_0001.pdb
22.746,rg_scorer_g_1_S_0059_0001_0001.pdb
22.654,rg_scorer_g_1_S_0060_0001_0001.pdb
22.662,rg_scorer_g_1_S_0061_0001_0001.pdb
22.622,rg_scorer_g_1_S_0062_0001_0001.pdb
22.717,rg_scorer_g_1_S_0063_0001_0001.pdb
22.698,rg_scorer_g_1_S_0064_0001_0001.pdb
22.845,rg_scorer_g_1_S_0065_0001_0001.pdb
22.706,rg_scorer_g_1_S_0066_0001_0001.pdb
22.693,rg_scorer_g_1_S_0067_0001_0001.pdb
22.69,rg_scorer_g_1_S_0068_0001_0001.pdb
22.711,rg_scorer_g_1_S_0069_0001_0001.pdb
22.778000000000002,rg_scorer_g_1_S_0070_0001_0001.pdb
22.653000000000002,rg_scorer_g_1_S_0071_0001_0001.pdb
22.646,rg_scorer_g_1_S_0072_0001_0001.pdb
22.826,rg_scorer_g_1_S_0073_0001_0001.pdb
22.659000000000002,rg_scorer_g_1_S_0074_0001_0001.pdb
22.576999999999998,rg_scorer_g_1_S_0075_0001_0001.pdb
22.809,rg_scorer_g_1_S_0076_0001_0001.pdb
22.703000000000003,rg_scorer_g_1_S_0077_0001_0001.pdb
22.749000000000002,rg_scorer_g_1_S_0078_0001_0001.pdb
22.693,rg_scorer_g_1_S_0079_0001_0001.pdb
22.795,rg_scorer_g_1_S_0080_0001_0001.pdb
22.802,rg_scorer_g_1_S_0081_0001_0001.pdb
22.854,rg_scorer_g_1_S_0082_0001_0001.pdb
22.758000000000003,rg_scorer_g_1_S_0083_0001_0001.pdb
22.648000000000003,rg_scorer_g_1_S_0084_0001_0001.pdb
22.884,rg_scorer_g_1_S_0085_0001_0001.pdb
22.642,rg_scorer_g_1_S_0086_0001_0001.pdb
22.659000000000002,rg_scorer_g_1_S_0087_0001_0001.pdb
22.764,rg_scorer_g_1_S_0088_0001_0001.pdb
22.69,rg_scorer_g_1_S_0089_0001_0001.pdb
22.735,rg_scorer_g_1_S_0090_0001_0001.pdb
22.768,rg_scorer_g_1_S_0091_0001_0001.pdb
22.705,rg_scorer_g_1_S_0092_0001_0001.pdb
22.619,rg_scorer_g_1_S_0093_0001_0001.pdb
22.551,rg_scorer_g_1_S_0094_0001_0001.pdb
