RG_SCORE,MODEL
19.816,rg_scorer_gmb_1_S_0001_0001_0001.pdb
19.677,rg_scorer_gmb_1_S_0002_0001_0001.pdb
19.98,rg_scorer_gmb_1_S_0003_0001_0001.pdb
19.887,rg_scorer_gmb_1_S_0004_0001_0001.pdb
19.77,rg_scorer_gmb_1_S_0005_0001_0001.pdb
19.72,rg_scorer_gmb_1_S_0006_0001_0001.pdb
19.799,rg_scorer_gmb_1_S_0007_0001_0001.pdb
19.86,rg_scorer_gmb_1_S_0008_0001_0001.pdb
19.865,rg_scorer_gmb_1_S_0009_0001_0001.pdb
19.857,rg_scorer_gmb_1_S_0010_0001_0001.pdb
19.923,rg_scorer_gmb_1_S_0011_0001_0001.pdb
19.648,rg_scorer_gmb_1_S_0012_0001_0001.pdb
19.819000000000003,rg_scorer_gmb_1_S_0013_0001_0001.pdb
19.764,rg_scorer_gmb_1_S_0014_0001_0001.pdb
19.985,rg_scorer_gmb_1_S_0015_0001_0001.pdb
19.864,rg_scorer_gmb_1_S_0016_0001_0001.pdb
20.233,rg_scorer_gmb_1_S_0017_0001_0001.pdb
19.957,rg_scorer_gmb_1_S_0018_0001_0001.pdb
19.732,rg_scorer_gmb_1_S_0019_0001_0001.pdb
19.684,rg_scorer_gmb_1_S_0020_0001_0001.pdb
19.982,rg_scorer_gmb_1_S_0021_0001_0001.pdb
20.008,rg_scorer_gmb_1_S_0022_0001_0001.pdb
19.935,rg_scorer_gmb_1_S_0023_0001_0001.pdb
19.921,rg_scorer_gmb_1_S_0024_0001_0001.pdb
19.767,rg_scorer_gmb_1_S_0025_0001_0001.pdb
19.935,rg_scorer_gmb_1_S_0026_0001_0001.pdb
19.9,rg_scorer_gmb_1_S_0027_0001_0001.pdb
19.85,rg_scorer_gmb_1_S_0028_0001_0001.pdb
19.942,rg_scorer_gmb_1_S_0029_0001_0001.pdb
19.896,rg_scorer_gmb_1_S_0030_0001_0001.pdb
19.769000000000002,rg_scorer_gmb_1_S_0031_0001_0001.pdb
19.592,rg_scorer_gmb_1_S_0032_0001_0001.pdb
19.85,rg_scorer_gmb_1_S_0033_0001_0001.pdb
19.684,rg_scorer_gmb_1_S_0034_0001_0001.pdb
19.595,rg_scorer_gmb_1_S_0035_0001_0001.pdb
19.923,rg_scorer_gmb_1_S_0036_0001_0001.pdb
19.887999999999998,rg_scorer_gmb_1_S_0037_0001_0001.pdb
19.82,rg_scorer_gmb_1_S_0038_0001_0001.pdb
19.797,rg_scorer_gmb_1_S_0039_0001_0001.pdb
19.937,rg_scorer_gmb_1_S_0040_0001_0001.pdb
19.707,rg_scorer_gmb_1_S_0041_0001_0001.pdb
19.584,rg_scorer_gmb_1_S_0042_0001_0001.pdb
19.68,rg_scorer_gmb_1_S_0043_0001_0001.pdb
19.809,rg_scorer_gmb_1_S_0044_0001_0001.pdb
19.852999999999998,rg_scorer_gmb_1_S_0045_0001_0001.pdb
19.766,rg_scorer_gmb_1_S_0046_0001_0001.pdb
19.705,rg_scorer_gmb_1_S_0047_0001_0001.pdb
19.706,rg_scorer_gmb_1_S_0048_0001_0001.pdb
19.875,rg_scorer_gmb_1_S_0049_0001_0001.pdb
19.741,rg_scorer_gmb_1_S_0050_0001_0001.pdb
19.914,rg_scorer_gmb_1_S_0051_0001_0001.pdb
19.927,rg_scorer_gmb_1_S_0052_0001_0001.pdb
19.733,rg_scorer_gmb_1_S_0053_0001_0001.pdb
19.991,rg_scorer_gmb_1_S_0054_0001_0001.pdb
19.783,rg_scorer_gmb_1_S_0055_0001_0001.pdb
19.823,rg_scorer_gmb_1_S_0056_0001_0001.pdb
19.887999999999998,rg_scorer_gmb_1_S_0057_0001_0001.pdb
20.026,rg_scorer_gmb_1_S_0058_0001_0001.pdb
19.908,rg_scorer_gmb_1_S_0059_0001_0001.pdb
19.817999999999998,rg_scorer_gmb_1_S_0060_0001_0001.pdb
19.836,rg_scorer_gmb_1_S_0061_0001_0001.pdb
19.962,rg_scorer_gmb_1_S_0062_0001_0001.pdb
19.660999999999998,rg_scorer_gmb_1_S_0063_0001_0001.pdb
19.889,rg_scorer_gmb_1_S_0064_0001_0001.pdb
19.938,rg_scorer_gmb_1_S_0065_0001_0001.pdb
19.785,rg_scorer_gmb_1_S_0066_0001_0001.pdb
19.899,rg_scorer_gmb_1_S_0067_0001_0001.pdb
19.708,rg_scorer_gmb_1_S_0068_0001_0001.pdb
19.923,rg_scorer_gmb_1_S_0069_0001_0001.pdb
19.892,rg_scorer_gmb_1_S_0070_0001_0001.pdb
19.884,rg_scorer_gmb_1_S_0071_0001_0001.pdb
19.924,rg_scorer_gmb_1_S_0072_0001_0001.pdb
19.75,rg_scorer_gmb_1_S_0073_0001_0001.pdb
19.801,rg_scorer_gmb_1_S_0074_0001_0001.pdb
19.908,rg_scorer_gmb_1_S_0075_0001_0001.pdb
19.912,rg_scorer_gmb_1_S_0076_0001_0001.pdb
20.014,rg_scorer_gmb_1_S_0077_0001_0001.pdb
19.588,rg_scorer_gmb_1_S_0078_0001_0001.pdb
19.664,rg_scorer_gmb_1_S_0079_0001_0001.pdb
19.872,rg_scorer_gmb_1_S_0080_0001_0001.pdb
19.885,rg_scorer_gmb_1_S_0081_0001_0001.pdb
20.078,rg_scorer_gmb_1_S_0082_0001_0001.pdb
19.930999999999997,rg_scorer_gmb_1_S_0083_0001_0001.pdb
19.746,rg_scorer_gmb_1_S_0084_0001_0001.pdb
19.829,rg_scorer_gmb_1_S_0085_0001_0001.pdb
19.919,rg_scorer_gmb_1_S_0086_0001_0001.pdb
19.991,rg_scorer_gmb_1_S_0087_0001_0001.pdb
19.945,rg_scorer_gmb_1_S_0088_0001_0001.pdb
19.919,rg_scorer_gmb_1_S_0089_0001_0001.pdb
19.984,rg_scorer_gmb_1_S_0090_0001_0001.pdb
19.906,rg_scorer_gmb_1_S_0091_0001_0001.pdb
20.039,rg_scorer_gmb_1_S_0092_0001_0001.pdb
19.910999999999998,rg_scorer_gmb_1_S_0093_0001_0001.pdb
20.026,rg_scorer_gmb_1_S_0094_0001_0001.pdb
19.994,rg_scorer_gmb_1_S_0095_0001_0001.pdb
19.897000000000002,rg_scorer_gmb_1_S_0096_0001_0001.pdb
19.893,rg_scorer_gmb_1_S_0097_0001_0001.pdb
19.865,rg_scorer_gmb_1_S_0098_0001_0001.pdb
19.962,rg_scorer_gmb_1_S_0099_0001_0001.pdb
19.813,rg_scorer_gmb_1_S_0100_0001_0001.pdb
19.771,rg_scorer_gmb_2_S_0001_0001_0001.pdb
19.828,rg_scorer_gmb_2_S_0002_0001_0001.pdb
19.927,rg_scorer_gmb_2_S_0003_0001_0001.pdb
19.945,rg_scorer_gmb_2_S_0004_0001_0001.pdb
19.46,rg_scorer_gmb_2_S_0005_0001_0001.pdb
19.697,rg_scorer_gmb_2_S_0006_0001_0001.pdb
19.874000000000002,rg_scorer_gmb_2_S_0007_0001_0001.pdb
20.003,rg_scorer_gmb_2_S_0008_0001_0001.pdb
19.933,rg_scorer_gmb_2_S_0009_0001_0001.pdb
19.944000000000003,rg_scorer_gmb_2_S_0010_0001_0001.pdb
