RG_SCORE,MODEL
18.917,rg_scorer_g_1_S_0001_0001_0001.pdb
18.750999999999998,rg_scorer_g_1_S_0002_0001_0001.pdb
18.942,rg_scorer_g_1_S_0003_0001_0001.pdb
18.875,rg_scorer_g_1_S_0004_0001_0001.pdb
19.143,rg_scorer_g_1_S_0005_0001_0001.pdb
19.225,rg_scorer_g_1_S_0006_0001_0001.pdb
18.972,rg_scorer_g_1_S_0007_0001_0001.pdb
18.957,rg_scorer_g_1_S_0008_0001_0001.pdb
19.143,rg_scorer_g_1_S_0009_0001_0001.pdb
19.122,rg_scorer_g_1_S_0010_0001_0001.pdb
18.952,rg_scorer_g_1_S_0011_0001_0001.pdb
19.003,rg_scorer_g_1_S_0012_0001_0001.pdb
19.063,rg_scorer_g_1_S_0013_0001_0001.pdb
18.783,rg_scorer_g_1_S_0014_0001_0001.pdb
18.792,rg_scorer_g_1_S_0015_0001_0001.pdb
18.963,rg_scorer_g_1_S_0016_0001_0001.pdb
19.291,rg_scorer_g_1_S_0017_0001_0001.pdb
18.84,rg_scorer_g_1_S_0018_0001_0001.pdb
18.914,rg_scorer_g_1_S_0019_0001_0001.pdb
18.782,rg_scorer_g_1_S_0020_0001_0001.pdb
19.04,rg_scorer_g_1_S_0021_0001_0001.pdb
19.111,rg_scorer_g_1_S_0022_0001_0001.pdb
19.213,rg_scorer_g_1_S_0023_0001_0001.pdb
19.104,rg_scorer_g_1_S_0024_0001_0001.pdb
19.23,rg_scorer_g_1_S_0025_0001_0001.pdb
18.962,rg_scorer_g_1_S_0026_0001_0001.pdb
18.948,rg_scorer_g_1_S_0027_0001_0001.pdb
19.144000000000002,rg_scorer_g_1_S_0028_0001_0001.pdb
18.894000000000002,rg_scorer_g_1_S_0029_0001_0001.pdb
18.984,rg_scorer_g_1_S_0030_0001_0001.pdb
18.91,rg_scorer_g_1_S_0031_0001_0001.pdb
19.067,rg_scorer_g_1_S_0032_0001_0001.pdb
19.051,rg_scorer_g_1_S_0033_0001_0001.pdb
18.788,rg_scorer_g_1_S_0034_0001_0001.pdb
18.968,rg_scorer_g_1_S_0035_0001_0001.pdb
18.809,rg_scorer_g_1_S_0036_0001_0001.pdb
18.848,rg_scorer_g_1_S_0037_0001_0001.pdb
18.893,rg_scorer_g_1_S_0038_0001_0001.pdb
18.836,rg_scorer_g_1_S_0039_0001_0001.pdb
19.13,rg_scorer_g_1_S_0040_0001_0001.pdb
18.519000000000002,rg_scorer_g_1_S_0041_0001_0001.pdb
19.058,rg_scorer_g_1_S_0042_0001_0001.pdb
18.954,rg_scorer_g_1_S_0043_0001_0001.pdb
18.784000000000002,rg_scorer_g_1_S_0044_0001_0001.pdb
19.129,rg_scorer_g_1_S_0045_0001_0001.pdb
18.825,rg_scorer_g_1_S_0046_0001_0001.pdb
18.867,rg_scorer_g_1_S_0047_0001_0001.pdb
18.956,rg_scorer_g_1_S_0048_0001_0001.pdb
18.897000000000002,rg_scorer_g_1_S_0049_0001_0001.pdb
19.151,rg_scorer_g_1_S_0050_0001_0001.pdb
18.844,rg_scorer_g_1_S_0051_0001_0001.pdb
19.252,rg_scorer_g_1_S_0052_0001_0001.pdb
19.201,rg_scorer_g_1_S_0053_0001_0001.pdb
18.881,rg_scorer_g_1_S_0054_0001_0001.pdb
18.941,rg_scorer_g_1_S_0055_0001_0001.pdb
19.042,rg_scorer_g_1_S_0056_0001_0001.pdb
18.834,rg_scorer_g_1_S_0057_0001_0001.pdb
18.817,rg_scorer_g_1_S_0058_0001_0001.pdb
18.892,rg_scorer_g_1_S_0059_0001_0001.pdb
19.042,rg_scorer_g_1_S_0060_0001_0001.pdb
19.132,rg_scorer_g_1_S_0061_0001_0001.pdb
18.969,rg_scorer_g_1_S_0062_0001_0001.pdb
19.027,rg_scorer_g_1_S_0063_0001_0001.pdb
18.928,rg_scorer_g_1_S_0064_0001_0001.pdb
18.945,rg_scorer_g_1_S_0065_0001_0001.pdb
19.215999999999998,rg_scorer_g_1_S_0066_0001_0001.pdb
18.925,rg_scorer_g_1_S_0067_0001_0001.pdb
18.962,rg_scorer_g_1_S_0068_0001_0001.pdb
19.098,rg_scorer_g_1_S_0069_0001_0001.pdb
18.896,rg_scorer_g_1_S_0070_0001_0001.pdb
18.921,rg_scorer_g_1_S_0071_0001_0001.pdb
18.817999999999998,rg_scorer_g_1_S_0072_0001_0001.pdb
18.91,rg_scorer_g_1_S_0073_0001_0001.pdb
19.090999999999998,rg_scorer_g_1_S_0074_0001_0001.pdb
18.92,rg_scorer_g_1_S_0075_0001_0001.pdb
18.997,rg_scorer_g_1_S_0076_0001_0001.pdb
