RG_SCORE,MODEL
15.1,rg_scorer_g_1_S_0001_0001_0001.pdb
15.019,rg_scorer_g_1_S_0002_0001_0001.pdb
15.112,rg_scorer_g_1_S_0003_0001_0001.pdb
15.008,rg_scorer_g_1_S_0004_0001_0001.pdb
15.200999999999999,rg_scorer_g_1_S_0005_0001_0001.pdb
15.174000000000001,rg_scorer_g_1_S_0006_0001_0001.pdb
15.084000000000001,rg_scorer_g_1_S_0007_0001_0001.pdb
15.071,rg_scorer_g_1_S_0008_0001_0001.pdb
15.12,rg_scorer_g_1_S_0009_0001_0001.pdb
15.107999999999999,rg_scorer_g_1_S_0010_0001_0001.pdb
15.09,rg_scorer_g_1_S_0011_0001_0001.pdb
15.181,rg_scorer_g_1_S_0012_0001_0001.pdb
15.087,rg_scorer_g_1_S_0013_0001_0001.pdb
15.106,rg_scorer_g_1_S_0014_0001_0001.pdb
15.074000000000002,rg_scorer_g_1_S_0015_0001_0001.pdb
15.088,rg_scorer_g_1_S_0016_0001_0001.pdb
15.11,rg_scorer_g_1_S_0017_0001_0001.pdb
15.027000000000001,rg_scorer_g_1_S_0018_0001_0001.pdb
15.147,rg_scorer_g_1_S_0019_0001_0001.pdb
15.179,rg_scorer_g_1_S_0020_0001_0001.pdb
15.002,rg_scorer_g_1_S_0021_0001_0001.pdb
15.1,rg_scorer_g_1_S_0022_0001_0001.pdb
15.03,rg_scorer_g_1_S_0023_0001_0001.pdb
15.038,rg_scorer_g_1_S_0024_0001_0001.pdb
15.136,rg_scorer_g_1_S_0025_0001_0001.pdb
15.071,rg_scorer_g_1_S_0026_0001_0001.pdb
15.083,rg_scorer_g_1_S_0027_0001_0001.pdb
15.094000000000001,rg_scorer_g_1_S_0028_0001_0001.pdb
15.136,rg_scorer_g_1_S_0029_0001_0001.pdb
15.123,rg_scorer_g_1_S_0030_0001_0001.pdb
15.187000000000001,rg_scorer_g_1_S_0031_0001_0001.pdb
15.037,rg_scorer_g_1_S_0032_0001_0001.pdb
15.11,rg_scorer_g_1_S_0033_0001_0001.pdb
15.067,rg_scorer_g_1_S_0034_0001_0001.pdb
15.004000000000001,rg_scorer_g_1_S_0035_0001_0001.pdb
14.993,rg_scorer_g_1_S_0036_0001_0001.pdb
15.177,rg_scorer_g_1_S_0037_0001_0001.pdb
15.038,rg_scorer_g_1_S_0038_0001_0001.pdb
15.175999999999998,rg_scorer_g_1_S_0039_0001_0001.pdb
15.235999999999999,rg_scorer_g_1_S_0040_0001_0001.pdb
15.02,rg_scorer_g_1_S_0041_0001_0001.pdb
15.158,rg_scorer_g_1_S_0042_0001_0001.pdb
15.026,rg_scorer_g_1_S_0043_0001_0001.pdb
14.993,rg_scorer_g_1_S_0044_0001_0001.pdb
15.128,rg_scorer_g_1_S_0045_0001_0001.pdb
14.955,rg_scorer_g_1_S_0046_0001_0001.pdb
15.07,rg_scorer_g_1_S_0047_0001_0001.pdb
15.037,rg_scorer_g_1_S_0048_0001_0001.pdb
15.123,rg_scorer_g_1_S_0049_0001_0001.pdb
15.039000000000001,rg_scorer_g_1_S_0050_0001_0001.pdb
15.095999999999998,rg_scorer_g_1_S_0051_0001_0001.pdb
15.110999999999999,rg_scorer_g_1_S_0052_0001_0001.pdb
