RG_SCORE,MODEL
20.741999999999997,rg_scorer_g_1_S_0001_0001_0001.pdb
20.71,rg_scorer_g_1_S_0002_0001_0001.pdb
20.734,rg_scorer_g_1_S_0003_0001_0001.pdb
20.718000000000004,rg_scorer_g_1_S_0004_0001_0001.pdb
20.7,rg_scorer_g_1_S_0005_0001_0001.pdb
20.695999999999998,rg_scorer_g_1_S_0006_0001_0001.pdb
20.750999999999998,rg_scorer_g_1_S_0007_0001_0001.pdb
20.752,rg_scorer_g_1_S_0008_0001_0001.pdb
20.728,rg_scorer_g_1_S_0009_0001_0001.pdb
20.749000000000002,rg_scorer_g_1_S_0010_0001_0001.pdb
20.768,rg_scorer_g_1_S_0011_0001_0001.pdb
20.724,rg_scorer_g_1_S_0012_0001_0001.pdb
20.737,rg_scorer_g_1_S_0013_0001_0001.pdb
20.724,rg_scorer_g_1_S_0014_0001_0001.pdb
20.743000000000002,rg_scorer_g_1_S_0015_0001_0001.pdb
20.72,rg_scorer_g_1_S_0016_0001_0001.pdb
20.776999999999997,rg_scorer_g_1_S_0017_0001_0001.pdb
20.699,rg_scorer_g_1_S_0018_0001_0001.pdb
20.750999999999998,rg_scorer_g_1_S_0019_0001_0001.pdb
20.779,rg_scorer_g_1_S_0020_0001_0001.pdb
20.729,rg_scorer_g_1_S_0021_0001_0001.pdb
20.730999999999998,rg_scorer_g_1_S_0022_0001_0001.pdb
20.813000000000002,rg_scorer_g_1_S_0023_0001_0001.pdb
20.733,rg_scorer_g_1_S_0024_0001_0001.pdb
20.735,rg_scorer_g_1_S_0025_0001_0001.pdb
20.726,rg_scorer_g_1_S_0026_0001_0001.pdb
20.739,rg_scorer_g_1_S_0027_0001_0001.pdb
20.704,rg_scorer_g_1_S_0028_0001_0001.pdb
20.741999999999997,rg_scorer_g_1_S_0029_0001_0001.pdb
20.758000000000003,rg_scorer_g_1_S_0030_0001_0001.pdb
20.703000000000003,rg_scorer_g_1_S_0031_0001_0001.pdb
20.736,rg_scorer_g_1_S_0032_0001_0001.pdb
20.741,rg_scorer_g_1_S_0033_0001_0001.pdb
20.784000000000002,rg_scorer_g_1_S_0034_0001_0001.pdb
20.730999999999998,rg_scorer_g_1_S_0035_0001_0001.pdb
20.755,rg_scorer_g_1_S_0036_0001_0001.pdb
20.748,rg_scorer_g_1_S_0037_0001_0001.pdb
20.743000000000002,rg_scorer_g_1_S_0038_0001_0001.pdb
20.76,rg_scorer_g_1_S_0039_0001_0001.pdb
20.749000000000002,rg_scorer_g_1_S_0040_0001_0001.pdb
20.764,rg_scorer_g_1_S_0041_0001_0001.pdb
20.793000000000003,rg_scorer_g_1_S_0042_0001_0001.pdb
20.713,rg_scorer_g_1_S_0043_0001_0001.pdb
20.736,rg_scorer_g_1_S_0044_0001_0001.pdb
20.747,rg_scorer_g_1_S_0045_0001_0001.pdb
