RG_SCORE,MODEL
26.195,rg_scorer_g_1_S_0001_0001_0001.pdb
26.023000000000003,rg_scorer_g_1_S_0002_0001_0001.pdb
25.996,rg_scorer_g_1_S_0003_0001_0001.pdb
26.116999999999997,rg_scorer_g_1_S_0004_0001_0001.pdb
26.734,rg_scorer_g_1_S_0005_0001_0001.pdb
25.866999999999997,rg_scorer_g_1_S_0006_0001_0001.pdb
25.275,rg_scorer_g_1_S_0007_0001_0001.pdb
25.995,rg_scorer_g_1_S_0008_0001_0001.pdb
26.159000000000002,rg_scorer_g_1_S_0009_0001_0001.pdb
26.682,rg_scorer_g_1_S_0010_0001_0001.pdb
26.576999999999998,rg_scorer_g_1_S_0011_0001_0001.pdb
26.671999999999997,rg_scorer_g_1_S_0012_0001_0001.pdb
26.557,rg_scorer_g_1_S_0013_0001_0001.pdb
26.142,rg_scorer_g_1_S_0014_0001_0001.pdb
26.62,rg_scorer_g_1_S_0015_0001_0001.pdb
26.419,rg_scorer_g_1_S_0016_0001_0001.pdb
26.391,rg_scorer_g_1_S_0017_0001_0001.pdb
26.489,rg_scorer_g_1_S_0018_0001_0001.pdb
26.618000000000002,rg_scorer_g_1_S_0019_0001_0001.pdb
26.563000000000002,rg_scorer_g_1_S_0020_0001_0001.pdb
25.965999999999998,rg_scorer_g_1_S_0021_0001_0001.pdb
25.83,rg_scorer_g_1_S_0022_0001_0001.pdb
26.288,rg_scorer_g_1_S_0023_0001_0001.pdb
25.889,rg_scorer_g_1_S_0024_0001_0001.pdb
25.975,rg_scorer_g_1_S_0025_0001_0001.pdb
26.68,rg_scorer_g_1_S_0026_0001_0001.pdb
25.766,rg_scorer_g_1_S_0027_0001_0001.pdb
26.177,rg_scorer_g_1_S_0028_0001_0001.pdb
26.77,rg_scorer_g_1_S_0029_0001_0001.pdb
26.616999999999997,rg_scorer_g_1_S_0030_0001_0001.pdb
26.158,rg_scorer_g_1_S_0031_0001_0001.pdb
25.223000000000003,rg_scorer_g_1_S_0032_0001_0001.pdb
26.767,rg_scorer_g_1_S_0033_0001_0001.pdb
26.445,rg_scorer_g_1_S_0034_0001_0001.pdb
26.715,rg_scorer_g_1_S_0035_0001_0001.pdb
26.568,rg_scorer_g_1_S_0036_0001_0001.pdb
25.651999999999997,rg_scorer_g_1_S_0037_0001_0001.pdb
26.125999999999998,rg_scorer_g_1_S_0038_0001_0001.pdb
26.441,rg_scorer_g_1_S_0039_0001_0001.pdb
26.451,rg_scorer_g_1_S_0040_0001_0001.pdb
25.951999999999998,rg_scorer_g_1_S_0041_0001_0001.pdb
26.113000000000003,rg_scorer_g_1_S_0042_0001_0001.pdb
25.89,rg_scorer_g_1_S_0043_0001_0001.pdb
26.184,rg_scorer_g_1_S_0044_0001_0001.pdb
26.378,rg_scorer_g_1_S_0045_0001_0001.pdb
25.83,rg_scorer_g_1_S_0046_0001_0001.pdb
26.686999999999998,rg_scorer_g_1_S_0047_0001_0001.pdb
26.179000000000002,rg_scorer_g_1_S_0048_0001_0001.pdb
25.737,rg_scorer_g_1_S_0049_0001_0001.pdb
26.658,rg_scorer_g_1_S_0050_0001_0001.pdb
25.872,rg_scorer_g_1_S_0051_0001_0001.pdb
26.504,rg_scorer_g_1_S_0052_0001_0001.pdb
26.51,rg_scorer_g_1_S_0053_0001_0001.pdb
