RG_SCORE,MODEL
16.915,rg_scorer_gmb_1_S_0001_0001_0001.pdb
16.771,rg_scorer_gmb_1_S_0002_0001_0001.pdb
16.979,rg_scorer_gmb_1_S_0003_0001_0001.pdb
16.496,rg_scorer_gmb_1_S_0004_0001_0001.pdb
16.882,rg_scorer_gmb_1_S_0005_0001_0001.pdb
16.616,rg_scorer_gmb_1_S_0006_0001_0001.pdb
16.812,rg_scorer_gmb_1_S_0007_0001_0001.pdb
17.16,rg_scorer_gmb_1_S_0008_0001_0001.pdb
17.012999999999998,rg_scorer_gmb_1_S_0009_0001_0001.pdb
16.885,rg_scorer_gmb_1_S_0010_0001_0001.pdb
16.91,rg_scorer_gmb_1_S_0011_0001_0001.pdb
17.062,rg_scorer_gmb_1_S_0012_0001_0001.pdb
16.977,rg_scorer_gmb_1_S_0013_0001_0001.pdb
17.086,rg_scorer_gmb_1_S_0014_0001_0001.pdb
17.08,rg_scorer_gmb_1_S_0015_0001_0001.pdb
16.807000000000002,rg_scorer_gmb_1_S_0016_0001_0001.pdb
17.302,rg_scorer_gmb_1_S_0017_0001_0001.pdb
17.128,rg_scorer_gmb_1_S_0018_0001_0001.pdb
16.838,rg_scorer_gmb_1_S_0019_0001_0001.pdb
16.926,rg_scorer_gmb_1_S_0020_0001_0001.pdb
17.067,rg_scorer_gmb_1_S_0021_0001_0001.pdb
17.000999999999998,rg_scorer_gmb_1_S_0022_0001_0001.pdb
17.149,rg_scorer_gmb_1_S_0023_0001_0001.pdb
17.055,rg_scorer_gmb_1_S_0024_0001_0001.pdb
17.074,rg_scorer_gmb_1_S_0025_0001_0001.pdb
16.912,rg_scorer_gmb_1_S_0026_0001_0001.pdb
17.142,rg_scorer_gmb_1_S_0027_0001_0001.pdb
16.815,rg_scorer_gmb_1_S_0028_0001_0001.pdb
16.852999999999998,rg_scorer_gmb_1_S_0029_0001_0001.pdb
17.055,rg_scorer_gmb_1_S_0030_0001_0001.pdb
17.038,rg_scorer_gmb_1_S_0031_0001_0001.pdb
16.814,rg_scorer_gmb_1_S_0032_0001_0001.pdb
17.554000000000002,rg_scorer_gmb_1_S_0033_0001_0001.pdb
16.79,rg_scorer_gmb_1_S_0034_0001_0001.pdb
16.938,rg_scorer_gmb_1_S_0035_0001_0001.pdb
17.277,rg_scorer_gmb_1_S_0036_0001_0001.pdb
17.133,rg_scorer_gmb_1_S_0037_0001_0001.pdb
16.831,rg_scorer_gmb_1_S_0038_0001_0001.pdb
16.977999999999998,rg_scorer_gmb_1_S_0039_0001_0001.pdb
16.937,rg_scorer_gmb_1_S_0040_0001_0001.pdb
17.342,rg_scorer_gmb_1_S_0041_0001_0001.pdb
17.095,rg_scorer_gmb_1_S_0042_0001_0001.pdb
16.485,rg_scorer_gmb_1_S_0043_0001_0001.pdb
17.012999999999998,rg_scorer_gmb_1_S_0044_0001_0001.pdb
17.011,rg_scorer_gmb_1_S_0045_0001_0001.pdb
17.215,rg_scorer_gmb_1_S_0046_0001_0001.pdb
16.452,rg_scorer_gmb_1_S_0047_0001_0001.pdb
17.32,rg_scorer_gmb_1_S_0048_0001_0001.pdb
16.898,rg_scorer_gmb_1_S_0049_0001_0001.pdb
16.605999999999998,rg_scorer_gmb_1_S_0050_0001_0001.pdb
17.0,rg_scorer_gmb_1_S_0051_0001_0001.pdb
17.061,rg_scorer_gmb_1_S_0052_0001_0001.pdb
17.014,rg_scorer_gmb_1_S_0053_0001_0001.pdb
16.86,rg_scorer_gmb_1_S_0054_0001_0001.pdb
17.430999999999997,rg_scorer_gmb_1_S_0055_0001_0001.pdb
16.997,rg_scorer_gmb_1_S_0056_0001_0001.pdb
17.136,rg_scorer_gmb_1_S_0057_0001_0001.pdb
17.102,rg_scorer_gmb_1_S_0058_0001_0001.pdb
16.959,rg_scorer_gmb_1_S_0059_0001_0001.pdb
17.059,rg_scorer_gmb_1_S_0060_0001_0001.pdb
16.868,rg_scorer_gmb_1_S_0061_0001_0001.pdb
16.957,rg_scorer_gmb_1_S_0062_0001_0001.pdb
16.996,rg_scorer_gmb_1_S_0063_0001_0001.pdb
16.926,rg_scorer_gmb_1_S_0064_0001_0001.pdb
17.098,rg_scorer_gmb_1_S_0065_0001_0001.pdb
17.035999999999998,rg_scorer_gmb_1_S_0066_0001_0001.pdb
16.485,rg_scorer_gmb_1_S_0067_0001_0001.pdb
17.578,rg_scorer_gmb_1_S_0068_0001_0001.pdb
16.915,rg_scorer_gmb_1_S_0069_0001_0001.pdb
17.169,rg_scorer_gmb_1_S_0070_0001_0001.pdb
16.954,rg_scorer_gmb_1_S_0071_0001_0001.pdb
16.834,rg_scorer_gmb_1_S_0072_0001_0001.pdb
17.316,rg_scorer_gmb_1_S_0073_0001_0001.pdb
16.548,rg_scorer_gmb_1_S_0074_0001_0001.pdb
17.082,rg_scorer_gmb_1_S_0075_0001_0001.pdb
18.597,rg_scorer_gmb_1_S_0076_0001_0001.pdb
17.029,rg_scorer_gmb_1_S_0077_0001_0001.pdb
16.866,rg_scorer_gmb_1_S_0078_0001_0001.pdb
16.892,rg_scorer_gmb_1_S_0079_0001_0001.pdb
16.912,rg_scorer_gmb_1_S_0080_0001_0001.pdb
17.349,rg_scorer_gmb_1_S_0081_0001_0001.pdb
16.936,rg_scorer_gmb_1_S_0082_0001_0001.pdb
17.094,rg_scorer_gmb_1_S_0083_0001_0001.pdb
16.965999999999998,rg_scorer_gmb_1_S_0084_0001_0001.pdb
17.244,rg_scorer_gmb_1_S_0085_0001_0001.pdb
17.332,rg_scorer_gmb_1_S_0086_0001_0001.pdb
16.965,rg_scorer_gmb_1_S_0087_0001_0001.pdb
16.916,rg_scorer_gmb_1_S_0088_0001_0001.pdb
17.475,rg_scorer_gmb_1_S_0089_0001_0001.pdb
17.087,rg_scorer_gmb_1_S_0090_0001_0001.pdb
17.128,rg_scorer_gmb_1_S_0091_0001_0001.pdb
17.089000000000002,rg_scorer_gmb_1_S_0092_0001_0001.pdb
16.938,rg_scorer_gmb_1_S_0093_0001_0001.pdb
16.484,rg_scorer_gmb_1_S_0094_0001_0001.pdb
16.617,rg_scorer_gmb_1_S_0095_0001_0001.pdb
16.952,rg_scorer_gmb_1_S_0096_0001_0001.pdb
16.999000000000002,rg_scorer_gmb_1_S_0097_0001_0001.pdb
16.905,rg_scorer_gmb_1_S_0098_0001_0001.pdb
17.225,rg_scorer_gmb_1_S_0099_0001_0001.pdb
16.910999999999998,rg_scorer_gmb_1_S_0100_0001_0001.pdb
16.917,rg_scorer_gmb_2_S_0001_0001_0001.pdb
17.065,rg_scorer_gmb_2_S_0002_0001_0001.pdb
16.942999999999998,rg_scorer_gmb_2_S_0003_0001_0001.pdb
17.041,rg_scorer_gmb_2_S_0004_0001_0001.pdb
17.133,rg_scorer_gmb_2_S_0005_0001_0001.pdb
16.52,rg_scorer_gmb_2_S_0006_0001_0001.pdb
16.865,rg_scorer_gmb_2_S_0007_0001_0001.pdb
16.906,rg_scorer_gmb_2_S_0008_0001_0001.pdb
16.977,rg_scorer_gmb_2_S_0009_0001_0001.pdb
16.825,rg_scorer_gmb_2_S_0010_0001_0001.pdb
16.787,rg_scorer_gmb_2_S_0011_0001_0001.pdb
17.054000000000002,rg_scorer_gmb_2_S_0012_0001_0001.pdb
16.734,rg_scorer_gmb_2_S_0013_0001_0001.pdb
16.979,rg_scorer_gmb_2_S_0014_0001_0001.pdb
16.9,rg_scorer_gmb_2_S_0015_0001_0001.pdb
17.024,rg_scorer_gmb_2_S_0016_0001_0001.pdb
16.348,rg_scorer_gmb_2_S_0017_0001_0001.pdb
16.637999999999998,rg_scorer_gmb_2_S_0018_0001_0001.pdb
16.877,rg_scorer_gmb_2_S_0019_0001_0001.pdb
17.114,rg_scorer_gmb_2_S_0020_0001_0001.pdb
17.102,rg_scorer_gmb_2_S_0021_0001_0001.pdb
17.034000000000002,rg_scorer_gmb_2_S_0022_0001_0001.pdb
16.917,rg_scorer_gmb_2_S_0023_0001_0001.pdb
17.302,rg_scorer_gmb_2_S_0024_0001_0001.pdb
16.837,rg_scorer_gmb_2_S_0025_0001_0001.pdb
17.048,rg_scorer_gmb_2_S_0026_0001_0001.pdb
16.930999999999997,rg_scorer_gmb_2_S_0027_0001_0001.pdb
17.323,rg_scorer_gmb_2_S_0028_0001_0001.pdb
16.883,rg_scorer_gmb_2_S_0029_0001_0001.pdb
16.93,rg_scorer_gmb_2_S_0030_0001_0001.pdb
17.269000000000002,rg_scorer_gmb_2_S_0031_0001_0001.pdb
17.39,rg_scorer_gmb_2_S_0032_0001_0001.pdb
17.405,rg_scorer_gmb_2_S_0033_0001_0001.pdb
17.062,rg_scorer_gmb_2_S_0034_0001_0001.pdb
16.997,rg_scorer_gmb_2_S_0035_0001_0001.pdb
16.908,rg_scorer_gmb_2_S_0036_0001_0001.pdb
17.629,rg_scorer_gmb_2_S_0037_0001_0001.pdb
16.831,rg_scorer_gmb_2_S_0038_0001_0001.pdb
17.018,rg_scorer_gmb_2_S_0039_0001_0001.pdb
17.007,rg_scorer_gmb_2_S_0040_0001_0001.pdb
16.985,rg_scorer_gmb_2_S_0041_0001_0001.pdb
17.160999999999998,rg_scorer_gmb_2_S_0042_0001_0001.pdb
16.473,rg_scorer_gmb_2_S_0043_0001_0001.pdb
17.03,rg_scorer_gmb_2_S_0044_0001_0001.pdb
17.028,rg_scorer_gmb_2_S_0045_0001_0001.pdb
17.117,rg_scorer_gmb_2_S_0046_0001_0001.pdb
16.605999999999998,rg_scorer_gmb_2_S_0047_0001_0001.pdb
17.075,rg_scorer_gmb_2_S_0048_0001_0001.pdb
16.64,rg_scorer_gmb_2_S_0049_0001_0001.pdb
17.225,rg_scorer_gmb_2_S_0050_0001_0001.pdb
16.985,rg_scorer_gmb_2_S_0051_0001_0001.pdb
16.896,rg_scorer_gmb_2_S_0052_0001_0001.pdb
