RG_SCORE,MODEL
20.371,rg_scorer_g_1_S_0001_0001_0001.pdb
20.660999999999998,rg_scorer_g_1_S_0002_0001_0001.pdb
20.502,rg_scorer_g_1_S_0003_0001_0001.pdb
20.436,rg_scorer_g_1_S_0004_0001_0001.pdb
20.625,rg_scorer_g_1_S_0005_0001_0001.pdb
20.502,rg_scorer_g_1_S_0006_0001_0001.pdb
20.518,rg_scorer_g_1_S_0007_0001_0001.pdb
20.301,rg_scorer_g_1_S_0008_0001_0001.pdb
20.457,rg_scorer_g_1_S_0009_0001_0001.pdb
20.701999999999998,rg_scorer_g_1_S_0010_0001_0001.pdb
20.693,rg_scorer_g_1_S_0011_0001_0001.pdb
20.454,rg_scorer_g_1_S_0012_0001_0001.pdb
20.674,rg_scorer_g_1_S_0013_0001_0001.pdb
20.682,rg_scorer_g_1_S_0014_0001_0001.pdb
20.989,rg_scorer_g_1_S_0015_0001_0001.pdb
19.774,rg_scorer_g_1_S_0016_0001_0001.pdb
20.351,rg_scorer_g_1_S_0017_0001_0001.pdb
20.84,rg_scorer_g_1_S_0018_0001_0001.pdb
20.155,rg_scorer_g_1_S_0019_0001_0001.pdb
20.477,rg_scorer_g_1_S_0020_0001_0001.pdb
20.183,rg_scorer_g_1_S_0021_0001_0001.pdb
20.061,rg_scorer_g_1_S_0022_0001_0001.pdb
20.721999999999998,rg_scorer_g_1_S_0023_0001_0001.pdb
20.551,rg_scorer_g_1_S_0024_0001_0001.pdb
20.787,rg_scorer_g_1_S_0025_0001_0001.pdb
20.634,rg_scorer_g_1_S_0026_0001_0001.pdb
20.489,rg_scorer_g_1_S_0027_0001_0001.pdb
20.491,rg_scorer_g_1_S_0028_0001_0001.pdb
20.636999999999997,rg_scorer_g_1_S_0029_0001_0001.pdb
20.69,rg_scorer_g_1_S_0030_0001_0001.pdb
20.417,rg_scorer_g_1_S_0031_0001_0001.pdb
20.767,rg_scorer_g_1_S_0032_0001_0001.pdb
20.392,rg_scorer_g_1_S_0033_0001_0001.pdb
21.033,rg_scorer_g_1_S_0034_0001_0001.pdb
20.701,rg_scorer_g_1_S_0035_0001_0001.pdb
20.519000000000002,rg_scorer_g_1_S_0036_0001_0001.pdb
20.636,rg_scorer_g_1_S_0037_0001_0001.pdb
20.726999999999997,rg_scorer_g_1_S_0038_0001_0001.pdb
20.563000000000002,rg_scorer_g_1_S_0039_0001_0001.pdb
20.444000000000003,rg_scorer_g_1_S_0040_0001_0001.pdb
20.809,rg_scorer_g_1_S_0041_0001_0001.pdb
20.464000000000002,rg_scorer_g_1_S_0042_0001_0001.pdb
20.619,rg_scorer_g_1_S_0043_0001_0001.pdb
20.909000000000002,rg_scorer_g_1_S_0044_0001_0001.pdb
20.525,rg_scorer_g_1_S_0045_0001_0001.pdb
20.628,rg_scorer_g_1_S_0046_0001_0001.pdb
20.79,rg_scorer_g_1_S_0047_0001_0001.pdb
20.488000000000003,rg_scorer_g_1_S_0048_0001_0001.pdb
20.71,rg_scorer_g_1_S_0049_0001_0001.pdb
20.363,rg_scorer_g_1_S_0050_0001_0001.pdb
20.526999999999997,rg_scorer_g_1_S_0051_0001_0001.pdb
20.471,rg_scorer_g_1_S_0052_0001_0001.pdb
20.715999999999998,rg_scorer_g_1_S_0053_0001_0001.pdb
20.889,rg_scorer_g_1_S_0054_0001_0001.pdb
20.235,rg_scorer_g_1_S_0055_0001_0001.pdb
20.826,rg_scorer_g_1_S_0056_0001_0001.pdb
20.506,rg_scorer_g_1_S_0057_0001_0001.pdb
19.855,rg_scorer_g_1_S_0058_0001_0001.pdb
20.588,rg_scorer_g_1_S_0059_0001_0001.pdb
20.561999999999998,rg_scorer_g_1_S_0060_0001_0001.pdb
20.387999999999998,rg_scorer_g_1_S_0061_0001_0001.pdb
20.477999999999998,rg_scorer_g_1_S_0062_0001_0001.pdb
20.943,rg_scorer_g_1_S_0063_0001_0001.pdb
20.816,rg_scorer_g_1_S_0064_0001_0001.pdb
20.576,rg_scorer_g_1_S_0065_0001_0001.pdb
20.57,rg_scorer_g_1_S_0066_0001_0001.pdb
20.868000000000002,rg_scorer_g_1_S_0067_0001_0001.pdb
20.445,rg_scorer_g_1_S_0068_0001_0001.pdb
20.47,rg_scorer_g_1_S_0069_0001_0001.pdb
20.368,rg_scorer_g_1_S_0070_0001_0001.pdb
20.87,rg_scorer_g_1_S_0071_0001_0001.pdb
19.93,rg_scorer_g_1_S_0072_0001_0001.pdb
20.619,rg_scorer_g_1_S_0073_0001_0001.pdb
20.463,rg_scorer_g_1_S_0074_0001_0001.pdb
20.915,rg_scorer_g_1_S_0075_0001_0001.pdb
21.101,rg_scorer_g_1_S_0076_0001_0001.pdb
20.317999999999998,rg_scorer_g_1_S_0077_0001_0001.pdb
20.382,rg_scorer_g_1_S_0078_0001_0001.pdb
20.226,rg_scorer_g_1_S_0079_0001_0001.pdb
20.594,rg_scorer_g_1_S_0080_0001_0001.pdb
21.177,rg_scorer_g_1_S_0081_0001_0001.pdb
20.148,rg_scorer_g_1_S_0082_0001_0001.pdb
20.891,rg_scorer_g_1_S_0083_0001_0001.pdb
20.987,rg_scorer_g_1_S_0084_0001_0001.pdb
20.712,rg_scorer_g_1_S_0085_0001_0001.pdb
20.480999999999998,rg_scorer_g_1_S_0086_0001_0001.pdb
20.701,rg_scorer_g_1_S_0087_0001_0001.pdb
