RG_SCORE,MODEL
15.633,rg_scorer_g_1_S_0001_0001_0001.pdb
15.665,rg_scorer_g_1_S_0002_0001_0001.pdb
15.727,rg_scorer_g_1_S_0003_0001_0001.pdb
15.412,rg_scorer_g_1_S_0004_0001_0001.pdb
15.527000000000001,rg_scorer_g_1_S_0005_0001_0001.pdb
15.585999999999999,rg_scorer_g_1_S_0006_0001_0001.pdb
15.337,rg_scorer_g_1_S_0007_0001_0001.pdb
15.713,rg_scorer_g_1_S_0008_0001_0001.pdb
15.7,rg_scorer_g_1_S_0009_0001_0001.pdb
15.626,rg_scorer_g_1_S_0010_0001_0001.pdb
15.484000000000002,rg_scorer_g_1_S_0011_0001_0001.pdb
15.669,rg_scorer_g_1_S_0012_0001_0001.pdb
15.453,rg_scorer_g_1_S_0013_0001_0001.pdb
15.722000000000001,rg_scorer_g_1_S_0014_0001_0001.pdb
15.536,rg_scorer_g_1_S_0015_0001_0001.pdb
15.606,rg_scorer_g_1_S_0016_0001_0001.pdb
15.481,rg_scorer_g_1_S_0017_0001_0001.pdb
15.648,rg_scorer_g_1_S_0018_0001_0001.pdb
15.449000000000002,rg_scorer_g_1_S_0019_0001_0001.pdb
15.549000000000001,rg_scorer_g_1_S_0020_0001_0001.pdb
15.419,rg_scorer_g_1_S_0021_0001_0001.pdb
15.66,rg_scorer_g_1_S_0022_0001_0001.pdb
15.472000000000001,rg_scorer_g_1_S_0023_0001_0001.pdb
15.334000000000001,rg_scorer_g_1_S_0024_0001_0001.pdb
15.777999999999999,rg_scorer_g_1_S_0025_0001_0001.pdb
15.594000000000001,rg_scorer_g_1_S_0026_0001_0001.pdb
15.447000000000001,rg_scorer_g_1_S_0027_0001_0001.pdb
15.577,rg_scorer_g_1_S_0028_0001_0001.pdb
15.564,rg_scorer_g_1_S_0029_0001_0001.pdb
15.542,rg_scorer_g_1_S_0030_0001_0001.pdb
15.709000000000001,rg_scorer_g_1_S_0031_0001_0001.pdb
15.397,rg_scorer_g_1_S_0032_0001_0001.pdb
15.424000000000001,rg_scorer_g_1_S_0033_0001_0001.pdb
15.567,rg_scorer_g_1_S_0034_0001_0001.pdb
15.465,rg_scorer_g_1_S_0035_0001_0001.pdb
15.634,rg_scorer_g_1_S_0036_0001_0001.pdb
15.509,rg_scorer_g_1_S_0037_0001_0001.pdb
15.657,rg_scorer_g_1_S_0038_0001_0001.pdb
15.49,rg_scorer_g_1_S_0039_0001_0001.pdb
15.418,rg_scorer_g_1_S_0040_0001_0001.pdb
15.758,rg_scorer_g_1_S_0041_0001_0001.pdb
15.618,rg_scorer_g_1_S_0042_0001_0001.pdb
15.609000000000002,rg_scorer_g_1_S_0043_0001_0001.pdb
15.529000000000002,rg_scorer_g_1_S_0044_0001_0001.pdb
15.751,rg_scorer_g_1_S_0045_0001_0001.pdb
15.585,rg_scorer_g_1_S_0046_0001_0001.pdb
15.752,rg_scorer_g_1_S_0047_0001_0001.pdb
15.698,rg_scorer_g_1_S_0048_0001_0001.pdb
15.587,rg_scorer_g_1_S_0049_0001_0001.pdb
15.495,rg_scorer_g_1_S_0050_0001_0001.pdb
15.658,rg_scorer_g_1_S_0051_0001_0001.pdb
15.695,rg_scorer_g_1_S_0052_0001_0001.pdb
15.623,rg_scorer_g_1_S_0053_0001_0001.pdb
15.408,rg_scorer_g_1_S_0054_0001_0001.pdb
