RG_SCORE,MODEL
20.113,rg_scorer_g_1_S_0001_0001_0001.pdb
18.765,rg_scorer_g_1_S_0002_0001_0001.pdb
19.934,rg_scorer_g_1_S_0003_0001_0001.pdb
20.888,rg_scorer_g_1_S_0004_0001_0001.pdb
19.092,rg_scorer_g_1_S_0005_0001_0001.pdb
19.492,rg_scorer_g_1_S_0006_0001_0001.pdb
19.373,rg_scorer_g_1_S_0007_0001_0001.pdb
19.754,rg_scorer_g_1_S_0008_0001_0001.pdb
20.328,rg_scorer_g_1_S_0009_0001_0001.pdb
18.832,rg_scorer_g_1_S_0010_0001_0001.pdb
20.271,rg_scorer_g_1_S_0011_0001_0001.pdb
19.622,rg_scorer_g_1_S_0012_0001_0001.pdb
18.274,rg_scorer_g_1_S_0013_0001_0001.pdb
19.895,rg_scorer_g_1_S_0014_0001_0001.pdb
19.184,rg_scorer_g_1_S_0015_0001_0001.pdb
19.348,rg_scorer_g_1_S_0016_0001_0001.pdb
18.92,rg_scorer_g_1_S_0017_0001_0001.pdb
18.262,rg_scorer_g_1_S_0018_0001_0001.pdb
20.795,rg_scorer_g_1_S_0019_0001_0001.pdb
20.706999999999997,rg_scorer_g_1_S_0020_0001_0001.pdb
20.21,rg_scorer_g_1_S_0021_0001_0001.pdb
19.894000000000002,rg_scorer_g_1_S_0022_0001_0001.pdb
20.627,rg_scorer_g_1_S_0023_0001_0001.pdb
20.209,rg_scorer_g_1_S_0024_0001_0001.pdb
20.125999999999998,rg_scorer_g_1_S_0025_0001_0001.pdb
17.963,rg_scorer_g_1_S_0026_0001_0001.pdb
18.073,rg_scorer_g_1_S_0027_0001_0001.pdb
19.255,rg_scorer_g_1_S_0028_0001_0001.pdb
17.194000000000003,rg_scorer_g_1_S_0029_0001_0001.pdb
19.987000000000002,rg_scorer_g_1_S_0030_0001_0001.pdb
18.824,rg_scorer_g_1_S_0031_0001_0001.pdb
18.942,rg_scorer_g_1_S_0032_0001_0001.pdb
16.834,rg_scorer_g_1_S_0033_0001_0001.pdb
19.221,rg_scorer_g_1_S_0034_0001_0001.pdb
18.676,rg_scorer_g_1_S_0035_0001_0001.pdb
20.506,rg_scorer_g_1_S_0036_0001_0001.pdb
20.635,rg_scorer_g_1_S_0037_0001_0001.pdb
20.498,rg_scorer_g_1_S_0038_0001_0001.pdb
18.474,rg_scorer_g_1_S_0039_0001_0001.pdb
19.457,rg_scorer_g_1_S_0040_0001_0001.pdb
16.737000000000002,rg_scorer_g_1_S_0041_0001_0001.pdb
20.149,rg_scorer_g_1_S_0042_0001_0001.pdb
20.375999999999998,rg_scorer_g_1_S_0043_0001_0001.pdb
20.242,rg_scorer_g_1_S_0044_0001_0001.pdb
18.861,rg_scorer_g_1_S_0045_0001_0001.pdb
21.048000000000002,rg_scorer_g_1_S_0046_0001_0001.pdb
19.44,rg_scorer_g_1_S_0047_0001_0001.pdb
19.619,rg_scorer_g_1_S_0048_0001_0001.pdb
20.693,rg_scorer_g_1_S_0049_0001_0001.pdb
19.427,rg_scorer_g_1_S_0050_0001_0001.pdb
21.48,rg_scorer_g_1_S_0051_0001_0001.pdb
19.613,rg_scorer_g_1_S_0052_0001_0001.pdb
20.44,rg_scorer_g_1_S_0053_0001_0001.pdb
19.777,rg_scorer_g_1_S_0054_0001_0001.pdb
20.869,rg_scorer_g_1_S_0055_0001_0001.pdb
17.588,rg_scorer_g_1_S_0056_0001_0001.pdb
21.219,rg_scorer_g_1_S_0057_0001_0001.pdb
19.413,rg_scorer_g_1_S_0058_0001_0001.pdb
17.207,rg_scorer_g_1_S_0059_0001_0001.pdb
22.087,rg_scorer_g_1_S_0060_0001_0001.pdb
18.292,rg_scorer_g_1_S_0061_0001_0001.pdb
20.461,rg_scorer_g_1_S_0062_0001_0001.pdb
19.496,rg_scorer_g_1_S_0063_0001_0001.pdb
20.774,rg_scorer_g_1_S_0064_0001_0001.pdb
20.666,rg_scorer_g_1_S_0065_0001_0001.pdb
20.53,rg_scorer_g_1_S_0066_0001_0001.pdb
19.749000000000002,rg_scorer_g_1_S_0067_0001_0001.pdb
19.102999999999998,rg_scorer_g_1_S_0068_0001_0001.pdb
18.802,rg_scorer_g_1_S_0069_0001_0001.pdb
16.965,rg_scorer_g_1_S_0070_0001_0001.pdb
18.17,rg_scorer_g_1_S_0071_0001_0001.pdb
20.105,rg_scorer_g_1_S_0072_0001_0001.pdb
17.537,rg_scorer_g_1_S_0073_0001_0001.pdb
20.412,rg_scorer_g_1_S_0074_0001_0001.pdb
18.907,rg_scorer_g_1_S_0075_0001_0001.pdb
20.941,rg_scorer_g_1_S_0076_0001_0001.pdb
18.769000000000002,rg_scorer_g_1_S_0077_0001_0001.pdb
19.369,rg_scorer_g_1_S_0078_0001_0001.pdb
20.425,rg_scorer_g_1_S_0079_0001_0001.pdb
23.103,rg_scorer_g_1_S_0080_0001_0001.pdb
20.087,rg_scorer_g_1_S_0081_0001_0001.pdb
19.508,rg_scorer_g_1_S_0082_0001_0001.pdb
19.373,rg_scorer_g_1_S_0083_0001_0001.pdb
19.689,rg_scorer_g_1_S_0084_0001_0001.pdb
20.973000000000003,rg_scorer_g_1_S_0085_0001_0001.pdb
19.229,rg_scorer_g_1_S_0086_0001_0001.pdb
18.453,rg_scorer_g_1_S_0087_0001_0001.pdb
20.491999999999997,rg_scorer_g_1_S_0088_0001_0001.pdb
21.889,rg_scorer_g_1_S_0089_0001_0001.pdb
18.817999999999998,rg_scorer_g_1_S_0090_0001_0001.pdb
20.105999999999998,rg_scorer_g_1_S_0091_0001_0001.pdb
20.976,rg_scorer_g_1_S_0092_0001_0001.pdb
20.511999999999997,rg_scorer_g_1_S_0093_0001_0001.pdb
21.715,rg_scorer_g_1_S_0094_0001_0001.pdb
19.705,rg_scorer_g_1_S_0095_0001_0001.pdb
20.287,rg_scorer_g_1_S_0096_0001_0001.pdb
21.628,rg_scorer_g_1_S_0097_0001_0001.pdb
18.250999999999998,rg_scorer_g_1_S_0098_0001_0001.pdb
20.805,rg_scorer_g_1_S_0099_0001_0001.pdb
20.718000000000004,rg_scorer_g_1_S_0100_0001_0001.pdb
18.798,rg_scorer_g_2_S_0001_0001_0001.pdb
20.548000000000002,rg_scorer_g_2_S_0002_0001_0001.pdb
18.725,rg_scorer_g_2_S_0003_0001_0001.pdb
18.654,rg_scorer_g_2_S_0004_0001_0001.pdb
21.820999999999998,rg_scorer_g_2_S_0005_0001_0001.pdb
19.838,rg_scorer_g_2_S_0006_0001_0001.pdb
19.042,rg_scorer_g_2_S_0007_0001_0001.pdb
21.267,rg_scorer_g_2_S_0008_0001_0001.pdb
21.544,rg_scorer_g_2_S_0009_0001_0001.pdb
20.314,rg_scorer_g_2_S_0010_0001_0001.pdb
19.983,rg_scorer_g_2_S_0011_0001_0001.pdb
18.099,rg_scorer_g_2_S_0012_0001_0001.pdb
21.131,rg_scorer_g_2_S_0013_0001_0001.pdb
18.965,rg_scorer_g_2_S_0014_0001_0001.pdb
19.535,rg_scorer_g_2_S_0015_0001_0001.pdb
20.855,rg_scorer_g_2_S_0016_0001_0001.pdb
21.089000000000002,rg_scorer_g_2_S_0017_0001_0001.pdb
20.146,rg_scorer_g_2_S_0018_0001_0001.pdb
19.421,rg_scorer_g_2_S_0019_0001_0001.pdb
18.942,rg_scorer_g_2_S_0020_0001_0001.pdb
18.208,rg_scorer_g_2_S_0021_0001_0001.pdb
21.177,rg_scorer_g_2_S_0022_0001_0001.pdb
20.37,rg_scorer_g_2_S_0023_0001_0001.pdb
20.755,rg_scorer_g_2_S_0024_0001_0001.pdb
