RG_SCORE,MODEL
27.86,rg_scorer_gmb_1_S_0001_0001_0001.pdb
27.741,rg_scorer_gmb_1_S_0002_0001_0001.pdb
27.956,rg_scorer_gmb_1_S_0003_0001_0001.pdb
28.013,rg_scorer_gmb_1_S_0004_0001_0001.pdb
23.336,rg_scorer_gmb_1_S_0005_0001_0001.pdb
28.045,rg_scorer_gmb_1_S_0006_0001_0001.pdb
27.338,rg_scorer_gmb_1_S_0007_0001_0001.pdb
28.505,rg_scorer_gmb_1_S_0008_0001_0001.pdb
27.82,rg_scorer_gmb_1_S_0009_0001_0001.pdb
27.903000000000002,rg_scorer_gmb_1_S_0010_0001_0001.pdb
27.929000000000002,rg_scorer_gmb_1_S_0011_0001_0001.pdb
22.659000000000002,rg_scorer_gmb_1_S_0012_0001_0001.pdb
28.933000000000003,rg_scorer_gmb_1_S_0013_0001_0001.pdb
28.166,rg_scorer_gmb_1_S_0014_0001_0001.pdb
28.936,rg_scorer_gmb_1_S_0015_0001_0001.pdb
27.504,rg_scorer_gmb_1_S_0016_0001_0001.pdb
27.465,rg_scorer_gmb_1_S_0017_0001_0001.pdb
27.869,rg_scorer_gmb_1_S_0018_0001_0001.pdb
27.5,rg_scorer_gmb_1_S_0019_0001_0001.pdb
23.944000000000003,rg_scorer_gmb_1_S_0020_0001_0001.pdb
27.066,rg_scorer_gmb_1_S_0021_0001_0001.pdb
27.576999999999998,rg_scorer_gmb_1_S_0022_0001_0001.pdb
26.679000000000002,rg_scorer_gmb_1_S_0023_0001_0001.pdb
28.366,rg_scorer_gmb_1_S_0024_0001_0001.pdb
27.805999999999997,rg_scorer_gmb_1_S_0025_0001_0001.pdb
26.066,rg_scorer_gmb_1_S_0026_0001_0001.pdb
27.462,rg_scorer_gmb_1_S_0027_0001_0001.pdb
28.194000000000003,rg_scorer_gmb_1_S_0028_0001_0001.pdb
27.796999999999997,rg_scorer_gmb_1_S_0029_0001_0001.pdb
27.589000000000002,rg_scorer_gmb_1_S_0030_0001_0001.pdb
29.186999999999998,rg_scorer_gmb_1_S_0031_0001_0001.pdb
29.399,rg_scorer_gmb_1_S_0032_0001_0001.pdb
28.217,rg_scorer_gmb_1_S_0033_0001_0001.pdb
24.761999999999997,rg_scorer_gmb_1_S_0034_0001_0001.pdb
27.855999999999998,rg_scorer_gmb_1_S_0035_0001_0001.pdb
28.255,rg_scorer_gmb_1_S_0036_0001_0001.pdb
27.462,rg_scorer_gmb_1_S_0037_0001_0001.pdb
28.083000000000002,rg_scorer_gmb_1_S_0038_0001_0001.pdb
26.982,rg_scorer_gmb_1_S_0039_0001_0001.pdb
28.305999999999997,rg_scorer_gmb_1_S_0040_0001_0001.pdb
27.916,rg_scorer_gmb_1_S_0041_0001_0001.pdb
27.755,rg_scorer_gmb_1_S_0042_0001_0001.pdb
29.101999999999997,rg_scorer_gmb_1_S_0043_0001_0001.pdb
30.72,rg_scorer_gmb_1_S_0044_0001_0001.pdb
28.588,rg_scorer_gmb_1_S_0045_0001_0001.pdb
27.261,rg_scorer_gmb_1_S_0046_0001_0001.pdb
27.693,rg_scorer_gmb_1_S_0047_0001_0001.pdb
28.098000000000003,rg_scorer_gmb_1_S_0048_0001_0001.pdb
27.633000000000003,rg_scorer_gmb_1_S_0049_0001_0001.pdb
27.616999999999997,rg_scorer_gmb_1_S_0050_0001_0001.pdb
28.135,rg_scorer_gmb_1_S_0051_0001_0001.pdb
27.965999999999998,rg_scorer_gmb_1_S_0052_0001_0001.pdb
26.750999999999998,rg_scorer_gmb_1_S_0053_0001_0001.pdb
25.688000000000002,rg_scorer_gmb_1_S_0054_0001_0001.pdb
28.615,rg_scorer_gmb_1_S_0055_0001_0001.pdb
26.154,rg_scorer_gmb_1_S_0056_0001_0001.pdb
23.598000000000003,rg_scorer_gmb_1_S_0057_0001_0001.pdb
27.601,rg_scorer_gmb_1_S_0058_0001_0001.pdb
27.941999999999997,rg_scorer_gmb_1_S_0059_0001_0001.pdb
26.85,rg_scorer_gmb_1_S_0060_0001_0001.pdb
27.930999999999997,rg_scorer_gmb_1_S_0061_0001_0001.pdb
27.043000000000003,rg_scorer_gmb_1_S_0062_0001_0001.pdb
