RG_SCORE,MODEL
10.579,rg_scorer_1_S_00000001_0001_0001.pdb
10.353,rg_scorer_1_S_00000002_0001_0001.pdb
10.462,rg_scorer_1_S_00000003_0001_0001.pdb
10.738,rg_scorer_1_S_00000004_0001_0001.pdb
10.453,rg_scorer_1_S_00000005_0001_0001.pdb
10.432,rg_scorer_1_S_00000006_0001_0001.pdb
10.823,rg_scorer_1_S_00000007_0001_0001.pdb
10.295,rg_scorer_1_S_00000008_0001_0001.pdb
10.919,rg_scorer_1_S_00000009_0001_0001.pdb
10.700999999999999,rg_scorer_1_S_00000010_0001_0001.pdb
10.67,rg_scorer_1_S_00000011_0001_0001.pdb
10.649000000000001,rg_scorer_1_S_00000012_0001_0001.pdb
10.620999999999999,rg_scorer_1_S_00000013_0001_0001.pdb
10.714,rg_scorer_1_S_00000014_0001_0001.pdb
10.802999999999999,rg_scorer_1_S_00000015_0001_0001.pdb
10.363,rg_scorer_1_S_00000016_0001_0001.pdb
10.512,rg_scorer_1_S_00000017_0001_0001.pdb
10.468,rg_scorer_1_S_00000018_0001_0001.pdb
10.777000000000001,rg_scorer_1_S_00000019_0001_0001.pdb
10.244000000000002,rg_scorer_1_S_00000020_0001_0001.pdb
10.446,rg_scorer_1_S_00000021_0001_0001.pdb
10.738,rg_scorer_1_S_00000022_0001_0001.pdb
10.267999999999999,rg_scorer_1_S_00000023_0001_0001.pdb
10.238999999999999,rg_scorer_1_S_00000024_0001_0001.pdb
10.453,rg_scorer_1_S_00000025_0001_0001.pdb
10.252,rg_scorer_1_S_00000026_0001_0001.pdb
10.683,rg_scorer_1_S_00000027_0001_0001.pdb
10.363,rg_scorer_1_S_00000028_0001_0001.pdb
10.360999999999999,rg_scorer_1_S_00000029_0001_0001.pdb
10.013,rg_scorer_1_S_00000030_0001_0001.pdb
10.462,rg_scorer_1_S_00000031_0001_0001.pdb
10.545,rg_scorer_1_S_00000032_0001_0001.pdb
10.356,rg_scorer_1_S_00000033_0001_0001.pdb
10.255999999999998,rg_scorer_1_S_00000034_0001_0001.pdb
10.365,rg_scorer_1_S_00000035_0001_0001.pdb
10.917,rg_scorer_1_S_00000036_0001_0001.pdb
10.494000000000002,rg_scorer_1_S_00000037_0001_0001.pdb
10.299000000000001,rg_scorer_1_S_00000038_0001_0001.pdb
10.474,rg_scorer_1_S_00000039_0001_0001.pdb
11.123,rg_scorer_1_S_00000040_0001_0001.pdb
10.405999999999999,rg_scorer_1_S_00000041_0001_0001.pdb
10.435,rg_scorer_1_S_00000042_0001_0001.pdb
10.706,rg_scorer_1_S_00000043_0001_0001.pdb
10.277000000000001,rg_scorer_1_S_00000044_0001_0001.pdb
10.588,rg_scorer_1_S_00000045_0001_0001.pdb
10.312999999999999,rg_scorer_1_S_00000046_0001_0001.pdb
10.552,rg_scorer_1_S_00000047_0001_0001.pdb
10.324000000000002,rg_scorer_1_S_00000048_0001_0001.pdb
10.632,rg_scorer_1_S_00000049_0001_0001.pdb
10.392999999999999,rg_scorer_1_S_00000050_0001_0001.pdb
10.399000000000001,rg_scorer_1_S_00000051_0001_0001.pdb
10.577,rg_scorer_1_S_00000052_0001_0001.pdb
10.876,rg_scorer_1_S_00000053_0001_0001.pdb
10.123,rg_scorer_1_S_00000054_0001_0001.pdb
10.767999999999999,rg_scorer_1_S_00000055_0001_0001.pdb
10.445,rg_scorer_1_S_00000056_0001_0001.pdb
11.027000000000001,rg_scorer_1_S_00000057_0001_0001.pdb
10.543,rg_scorer_1_S_00000058_0001_0001.pdb
10.272,rg_scorer_1_S_00000059_0001_0001.pdb
10.392000000000001,rg_scorer_1_S_00000060_0001_0001.pdb
10.72,rg_scorer_1_S_00000061_0001_0001.pdb
10.517999999999999,rg_scorer_1_S_00000062_0001_0001.pdb
10.607000000000001,rg_scorer_1_S_00000063_0001_0001.pdb
10.557,rg_scorer_1_S_00000064_0001_0001.pdb
10.444,rg_scorer_1_S_00000065_0001_0001.pdb
