RG_SCORE,MODEL
17.804000000000002,rg_scorer_g_1_S_0001_0001_0001.pdb
17.59,rg_scorer_g_1_S_0002_0001_0001.pdb
17.743,rg_scorer_g_1_S_0003_0001_0001.pdb
17.594,rg_scorer_g_1_S_0004_0001_0001.pdb
17.651,rg_scorer_g_1_S_0005_0001_0001.pdb
17.695999999999998,rg_scorer_g_1_S_0006_0001_0001.pdb
17.764,rg_scorer_g_1_S_0007_0001_0001.pdb
17.76,rg_scorer_g_1_S_0008_0001_0001.pdb
17.642,rg_scorer_g_1_S_0009_0001_0001.pdb
17.605999999999998,rg_scorer_g_1_S_0010_0001_0001.pdb
18.054000000000002,rg_scorer_g_1_S_0011_0001_0001.pdb
17.756,rg_scorer_g_1_S_0012_0001_0001.pdb
17.634,rg_scorer_g_1_S_0013_0001_0001.pdb
17.617,rg_scorer_g_1_S_0014_0001_0001.pdb
17.689,rg_scorer_g_1_S_0015_0001_0001.pdb
17.698,rg_scorer_g_1_S_0016_0001_0001.pdb
17.657,rg_scorer_g_1_S_0017_0001_0001.pdb
17.633,rg_scorer_g_1_S_0018_0001_0001.pdb
17.663,rg_scorer_g_1_S_0019_0001_0001.pdb
17.628,rg_scorer_g_1_S_0020_0001_0001.pdb
17.608,rg_scorer_g_1_S_0021_0001_0001.pdb
17.72,rg_scorer_g_1_S_0022_0001_0001.pdb
17.694000000000003,rg_scorer_g_1_S_0023_0001_0001.pdb
17.578,rg_scorer_g_1_S_0024_0001_0001.pdb
17.695,rg_scorer_g_1_S_0025_0001_0001.pdb
17.604,rg_scorer_g_1_S_0026_0001_0001.pdb
17.683,rg_scorer_g_1_S_0027_0001_0001.pdb
17.6,rg_scorer_g_1_S_0028_0001_0001.pdb
17.581,rg_scorer_g_1_S_0029_0001_0001.pdb
17.695999999999998,rg_scorer_g_1_S_0030_0001_0001.pdb
17.705,rg_scorer_g_1_S_0031_0001_0001.pdb
17.733,rg_scorer_g_1_S_0032_0001_0001.pdb
17.692999999999998,rg_scorer_g_1_S_0033_0001_0001.pdb
17.697,rg_scorer_g_1_S_0034_0001_0001.pdb
17.744,rg_scorer_g_1_S_0035_0001_0001.pdb
17.766,rg_scorer_g_1_S_0036_0001_0001.pdb
17.557000000000002,rg_scorer_g_1_S_0037_0001_0001.pdb
17.651,rg_scorer_g_1_S_0038_0001_0001.pdb
17.743,rg_scorer_g_1_S_0039_0001_0001.pdb
17.632,rg_scorer_g_1_S_0040_0001_0001.pdb
17.713,rg_scorer_g_1_S_0041_0001_0001.pdb
17.713,rg_scorer_g_1_S_0042_0001_0001.pdb
17.757,rg_scorer_g_1_S_0043_0001_0001.pdb
17.703,rg_scorer_g_1_S_0044_0001_0001.pdb
17.548,rg_scorer_g_1_S_0045_0001_0001.pdb
17.723,rg_scorer_g_1_S_0046_0001_0001.pdb
17.718,rg_scorer_g_1_S_0047_0001_0001.pdb
17.674,rg_scorer_g_1_S_0048_0001_0001.pdb
17.543,rg_scorer_g_1_S_0049_0001_0001.pdb
17.657,rg_scorer_g_1_S_0050_0001_0001.pdb
17.668,rg_scorer_g_1_S_0051_0001_0001.pdb
17.777,rg_scorer_g_1_S_0052_0001_0001.pdb
17.577,rg_scorer_g_1_S_0053_0001_0001.pdb
17.673,rg_scorer_g_1_S_0054_0001_0001.pdb
17.646,rg_scorer_g_1_S_0055_0001_0001.pdb
17.643,rg_scorer_g_1_S_0056_0001_0001.pdb
17.557000000000002,rg_scorer_g_1_S_0057_0001_0001.pdb
17.596,rg_scorer_g_1_S_0058_0001_0001.pdb
17.660999999999998,rg_scorer_g_1_S_0059_0001_0001.pdb
17.543,rg_scorer_g_1_S_0060_0001_0001.pdb
17.753,rg_scorer_g_1_S_0061_0001_0001.pdb
17.762,rg_scorer_g_1_S_0062_0001_0001.pdb
17.653,rg_scorer_g_1_S_0063_0001_0001.pdb
17.532,rg_scorer_g_1_S_0064_0001_0001.pdb
17.65,rg_scorer_g_1_S_0065_0001_0001.pdb
17.715,rg_scorer_g_1_S_0066_0001_0001.pdb
17.703,rg_scorer_g_1_S_0067_0001_0001.pdb
17.522000000000002,rg_scorer_g_1_S_0068_0001_0001.pdb
17.636,rg_scorer_g_1_S_0069_0001_0001.pdb
17.680999999999997,rg_scorer_g_1_S_0070_0001_0001.pdb
17.687,rg_scorer_g_1_S_0071_0001_0001.pdb
17.672,rg_scorer_g_1_S_0072_0001_0001.pdb
17.832,rg_scorer_g_1_S_0073_0001_0001.pdb
17.707,rg_scorer_g_1_S_0074_0001_0001.pdb
17.652,rg_scorer_g_1_S_0075_0001_0001.pdb
17.637,rg_scorer_g_1_S_0076_0001_0001.pdb
17.623,rg_scorer_g_1_S_0077_0001_0001.pdb
