RG_SCORE,MODEL
16.305999999999997,rg_scorer_g_1_S_0001_0001_0001.pdb
16.233,rg_scorer_g_1_S_0002_0001_0001.pdb
16.294,rg_scorer_g_1_S_0003_0001_0001.pdb
16.26,rg_scorer_g_1_S_0004_0001_0001.pdb
16.223,rg_scorer_g_1_S_0005_0001_0001.pdb
16.28,rg_scorer_g_1_S_0006_0001_0001.pdb
16.349,rg_scorer_g_1_S_0007_0001_0001.pdb
16.437,rg_scorer_g_1_S_0008_0001_0001.pdb
16.319000000000003,rg_scorer_g_1_S_0009_0001_0001.pdb
16.152,rg_scorer_g_1_S_0010_0001_0001.pdb
16.303,rg_scorer_g_1_S_0011_0001_0001.pdb
16.16,rg_scorer_g_1_S_0012_0001_0001.pdb
16.355,rg_scorer_g_1_S_0013_0001_0001.pdb
16.309,rg_scorer_g_1_S_0014_0001_0001.pdb
16.352,rg_scorer_g_1_S_0015_0001_0001.pdb
16.205,rg_scorer_g_1_S_0016_0001_0001.pdb
16.305999999999997,rg_scorer_g_1_S_0017_0001_0001.pdb
16.134,rg_scorer_g_1_S_0018_0001_0001.pdb
16.301,rg_scorer_g_1_S_0019_0001_0001.pdb
16.264,rg_scorer_g_1_S_0020_0001_0001.pdb
16.273,rg_scorer_g_1_S_0021_0001_0001.pdb
16.195999999999998,rg_scorer_g_1_S_0022_0001_0001.pdb
16.396,rg_scorer_g_1_S_0023_0001_0001.pdb
16.26,rg_scorer_g_1_S_0024_0001_0001.pdb
16.215,rg_scorer_g_1_S_0025_0001_0001.pdb
16.156,rg_scorer_g_1_S_0026_0001_0001.pdb
16.319000000000003,rg_scorer_g_1_S_0027_0001_0001.pdb
16.236,rg_scorer_g_1_S_0028_0001_0001.pdb
16.215999999999998,rg_scorer_g_1_S_0029_0001_0001.pdb
16.320999999999998,rg_scorer_g_1_S_0030_0001_0001.pdb
16.292,rg_scorer_g_1_S_0031_0001_0001.pdb
16.29,rg_scorer_g_1_S_0032_0001_0001.pdb
16.421,rg_scorer_g_1_S_0033_0001_0001.pdb
16.387,rg_scorer_g_1_S_0034_0001_0001.pdb
16.359,rg_scorer_g_1_S_0035_0001_0001.pdb
16.311,rg_scorer_g_1_S_0036_0001_0001.pdb
16.294,rg_scorer_g_1_S_0037_0001_0001.pdb
16.288,rg_scorer_g_1_S_0038_0001_0001.pdb
16.262999999999998,rg_scorer_g_1_S_0039_0001_0001.pdb
16.242,rg_scorer_g_1_S_0040_0001_0001.pdb
16.288,rg_scorer_g_1_S_0041_0001_0001.pdb
16.233,rg_scorer_g_1_S_0042_0001_0001.pdb
16.195,rg_scorer_g_1_S_0043_0001_0001.pdb
16.313,rg_scorer_g_1_S_0044_0001_0001.pdb
16.289,rg_scorer_g_1_S_0045_0001_0001.pdb
16.234,rg_scorer_g_1_S_0046_0001_0001.pdb
16.254,rg_scorer_g_1_S_0047_0001_0001.pdb
16.191,rg_scorer_g_1_S_0048_0001_0001.pdb
16.246,rg_scorer_g_1_S_0049_0001_0001.pdb
16.279,rg_scorer_g_1_S_0050_0001_0001.pdb
16.325,rg_scorer_g_1_S_0051_0001_0001.pdb
16.209,rg_scorer_g_1_S_0052_0001_0001.pdb
16.343,rg_scorer_g_1_S_0053_0001_0001.pdb
16.397000000000002,rg_scorer_g_1_S_0054_0001_0001.pdb
16.24,rg_scorer_g_1_S_0055_0001_0001.pdb
16.246,rg_scorer_g_1_S_0056_0001_0001.pdb
16.479,rg_scorer_g_1_S_0057_0001_0001.pdb
16.188,rg_scorer_g_1_S_0058_0001_0001.pdb
16.250999999999998,rg_scorer_g_1_S_0059_0001_0001.pdb
16.215999999999998,rg_scorer_g_1_S_0060_0001_0001.pdb
16.281,rg_scorer_g_1_S_0061_0001_0001.pdb
16.299,rg_scorer_g_1_S_0062_0001_0001.pdb
16.285,rg_scorer_g_1_S_0063_0001_0001.pdb
16.345,rg_scorer_g_1_S_0064_0001_0001.pdb
16.160999999999998,rg_scorer_g_1_S_0065_0001_0001.pdb
16.297,rg_scorer_g_1_S_0066_0001_0001.pdb
16.29,rg_scorer_g_1_S_0067_0001_0001.pdb
16.368,rg_scorer_g_1_S_0068_0001_0001.pdb
16.323,rg_scorer_g_1_S_0069_0001_0001.pdb
16.074,rg_scorer_g_1_S_0070_0001_0001.pdb
16.448,rg_scorer_g_1_S_0071_0001_0001.pdb
16.347,rg_scorer_g_1_S_0072_0001_0001.pdb
16.389,rg_scorer_g_1_S_0073_0001_0001.pdb
16.276,rg_scorer_g_1_S_0074_0001_0001.pdb
16.340999999999998,rg_scorer_g_1_S_0075_0001_0001.pdb
16.287,rg_scorer_g_1_S_0076_0001_0001.pdb
16.326,rg_scorer_g_1_S_0077_0001_0001.pdb
16.235,rg_scorer_g_1_S_0078_0001_0001.pdb
16.336,rg_scorer_g_1_S_0079_0001_0001.pdb
16.363,rg_scorer_g_1_S_0080_0001_0001.pdb
16.337,rg_scorer_g_1_S_0081_0001_0001.pdb
16.442,rg_scorer_g_1_S_0082_0001_0001.pdb
16.414,rg_scorer_g_1_S_0083_0001_0001.pdb
16.291,rg_scorer_g_1_S_0084_0001_0001.pdb
16.224,rg_scorer_g_1_S_0085_0001_0001.pdb
16.191,rg_scorer_g_1_S_0086_0001_0001.pdb
16.293,rg_scorer_g_1_S_0087_0001_0001.pdb
16.244,rg_scorer_g_1_S_0088_0001_0001.pdb
16.288,rg_scorer_g_1_S_0089_0001_0001.pdb
16.315,rg_scorer_g_1_S_0090_0001_0001.pdb
16.312,rg_scorer_g_1_S_0091_0001_0001.pdb
16.23,rg_scorer_g_1_S_0092_0001_0001.pdb
16.279,rg_scorer_g_1_S_0093_0001_0001.pdb
16.371,rg_scorer_g_1_S_0094_0001_0001.pdb
16.27,rg_scorer_g_1_S_0095_0001_0001.pdb
16.351,rg_scorer_g_1_S_0096_0001_0001.pdb
16.271,rg_scorer_g_1_S_0097_0001_0001.pdb
16.329,rg_scorer_g_1_S_0098_0001_0001.pdb
16.192999999999998,rg_scorer_g_1_S_0099_0001_0001.pdb
16.486,rg_scorer_g_1_S_0100_0001_0001.pdb
16.242,rg_scorer_g_2_S_0001_0001_0001.pdb
16.132,rg_scorer_g_2_S_0002_0001_0001.pdb
16.194000000000003,rg_scorer_g_2_S_0003_0001_0001.pdb
16.249000000000002,rg_scorer_g_2_S_0004_0001_0001.pdb
16.164,rg_scorer_g_2_S_0005_0001_0001.pdb
16.258,rg_scorer_g_2_S_0006_0001_0001.pdb
16.374000000000002,rg_scorer_g_2_S_0007_0001_0001.pdb
16.345,rg_scorer_g_2_S_0008_0001_0001.pdb
16.314,rg_scorer_g_2_S_0009_0001_0001.pdb
16.266,rg_scorer_g_2_S_0010_0001_0001.pdb
16.309,rg_scorer_g_2_S_0011_0001_0001.pdb
