RG_SCORE,MODEL
18.237000000000002,rg_scorer_g_1_S_0001_0001_0001.pdb
24.706,rg_scorer_g_1_S_0002_0001_0001.pdb
18.852999999999998,rg_scorer_g_1_S_0003_0001_0001.pdb
17.984,rg_scorer_g_1_S_0004_0001_0001.pdb
17.561,rg_scorer_g_1_S_0005_0001_0001.pdb
20.951,rg_scorer_g_1_S_0006_0001_0001.pdb
20.346,rg_scorer_g_1_S_0007_0001_0001.pdb
19.117,rg_scorer_g_1_S_0008_0001_0001.pdb
16.54,rg_scorer_g_1_S_0009_0001_0001.pdb
19.49,rg_scorer_g_1_S_0010_0001_0001.pdb
28.648000000000003,rg_scorer_g_1_S_0011_0001_0001.pdb
21.2,rg_scorer_g_1_S_0012_0001_0001.pdb
21.76,rg_scorer_g_1_S_0013_0001_0001.pdb
17.326,rg_scorer_g_1_S_0014_0001_0001.pdb
18.023,rg_scorer_g_1_S_0015_0001_0001.pdb
19.089000000000002,rg_scorer_g_1_S_0016_0001_0001.pdb
17.607,rg_scorer_g_1_S_0017_0001_0001.pdb
17.805,rg_scorer_g_1_S_0018_0001_0001.pdb
16.535,rg_scorer_g_1_S_0019_0001_0001.pdb
22.15,rg_scorer_g_1_S_0020_0001_0001.pdb
23.659000000000002,rg_scorer_g_1_S_0021_0001_0001.pdb
19.05,rg_scorer_g_1_S_0022_0001_0001.pdb
17.761,rg_scorer_g_1_S_0023_0001_0001.pdb
17.593,rg_scorer_g_1_S_0024_0001_0001.pdb
17.628,rg_scorer_g_1_S_0025_0001_0001.pdb
17.762,rg_scorer_g_1_S_0026_0001_0001.pdb
21.613000000000003,rg_scorer_g_1_S_0027_0001_0001.pdb
16.757,rg_scorer_g_1_S_0028_0001_0001.pdb
27.165,rg_scorer_g_1_S_0029_0001_0001.pdb
22.281999999999996,rg_scorer_g_1_S_0030_0001_0001.pdb
19.737000000000002,rg_scorer_g_1_S_0031_0001_0001.pdb
17.0,rg_scorer_g_1_S_0032_0001_0001.pdb
17.804000000000002,rg_scorer_g_1_S_0033_0001_0001.pdb
16.869,rg_scorer_g_1_S_0034_0001_0001.pdb
32.373000000000005,rg_scorer_g_1_S_0035_0001_0001.pdb
17.879,rg_scorer_g_1_S_0036_0001_0001.pdb
19.454,rg_scorer_g_1_S_0037_0001_0001.pdb
18.233,rg_scorer_g_1_S_0038_0001_0001.pdb
22.018,rg_scorer_g_1_S_0039_0001_0001.pdb
19.635,rg_scorer_g_1_S_0040_0001_0001.pdb
20.823,rg_scorer_g_1_S_0041_0001_0001.pdb
21.08,rg_scorer_g_1_S_0042_0001_0001.pdb
23.569000000000003,rg_scorer_g_1_S_0043_0001_0001.pdb
22.183000000000003,rg_scorer_g_1_S_0044_0001_0001.pdb
28.320999999999998,rg_scorer_g_1_S_0045_0001_0001.pdb
26.898000000000003,rg_scorer_g_1_S_0046_0001_0001.pdb
25.459,rg_scorer_g_1_S_0047_0001_0001.pdb
19.567999999999998,rg_scorer_g_1_S_0048_0001_0001.pdb
18.340999999999998,rg_scorer_g_1_S_0049_0001_0001.pdb
17.429000000000002,rg_scorer_g_1_S_0050_0001_0001.pdb
16.484,rg_scorer_g_1_S_0051_0001_0001.pdb
18.062,rg_scorer_g_1_S_0052_0001_0001.pdb
19.512999999999998,rg_scorer_g_1_S_0053_0001_0001.pdb
21.271,rg_scorer_g_1_S_0054_0001_0001.pdb
22.293000000000003,rg_scorer_g_1_S_0055_0001_0001.pdb
18.487000000000002,rg_scorer_g_1_S_0056_0001_0001.pdb
24.371,rg_scorer_g_1_S_0057_0001_0001.pdb
23.921999999999997,rg_scorer_g_1_S_0058_0001_0001.pdb
19.516,rg_scorer_g_1_S_0059_0001_0001.pdb
21.815,rg_scorer_g_1_S_0060_0001_0001.pdb
19.007,rg_scorer_g_1_S_0061_0001_0001.pdb
21.287,rg_scorer_g_1_S_0062_0001_0001.pdb
18.664,rg_scorer_g_1_S_0063_0001_0001.pdb
16.802,rg_scorer_g_1_S_0064_0001_0001.pdb
20.27,rg_scorer_g_1_S_0065_0001_0001.pdb
20.315,rg_scorer_g_1_S_0066_0001_0001.pdb
19.435,rg_scorer_g_1_S_0067_0001_0001.pdb
16.653,rg_scorer_g_1_S_0068_0001_0001.pdb
25.112,rg_scorer_g_1_S_0069_0001_0001.pdb
22.865,rg_scorer_g_1_S_0070_0001_0001.pdb
17.509,rg_scorer_g_1_S_0071_0001_0001.pdb
26.595,rg_scorer_g_1_S_0072_0001_0001.pdb
20.284000000000002,rg_scorer_g_1_S_0073_0001_0001.pdb
20.648000000000003,rg_scorer_g_1_S_0074_0001_0001.pdb
17.835,rg_scorer_g_1_S_0075_0001_0001.pdb
19.102999999999998,rg_scorer_g_1_S_0076_0001_0001.pdb
18.473,rg_scorer_g_1_S_0077_0001_0001.pdb
17.139,rg_scorer_g_1_S_0078_0001_0001.pdb
20.099,rg_scorer_g_1_S_0079_0001_0001.pdb
19.898,rg_scorer_g_1_S_0080_0001_0001.pdb
23.299,rg_scorer_g_1_S_0081_0001_0001.pdb
25.243000000000002,rg_scorer_g_1_S_0082_0001_0001.pdb
16.893,rg_scorer_g_1_S_0083_0001_0001.pdb
21.456999999999997,rg_scorer_g_1_S_0084_0001_0001.pdb
21.79,rg_scorer_g_1_S_0085_0001_0001.pdb
16.397000000000002,rg_scorer_g_1_S_0086_0001_0001.pdb
18.045,rg_scorer_g_1_S_0087_0001_0001.pdb
18.132,rg_scorer_g_1_S_0088_0001_0001.pdb
24.451999999999998,rg_scorer_g_1_S_0089_0001_0001.pdb
17.73,rg_scorer_g_1_S_0090_0001_0001.pdb
17.41,rg_scorer_g_1_S_0091_0001_0001.pdb
20.791999999999998,rg_scorer_g_1_S_0092_0001_0001.pdb
18.312,rg_scorer_g_1_S_0093_0001_0001.pdb
17.641,rg_scorer_g_1_S_0094_0001_0001.pdb
18.179000000000002,rg_scorer_g_1_S_0095_0001_0001.pdb
17.031,rg_scorer_g_1_S_0096_0001_0001.pdb
20.395,rg_scorer_g_1_S_0097_0001_0001.pdb
18.659000000000002,rg_scorer_g_1_S_0098_0001_0001.pdb
17.516,rg_scorer_g_1_S_0099_0001_0001.pdb
18.375999999999998,rg_scorer_g_1_S_0100_0001_0001.pdb
23.656,rg_scorer_g_2_S_0001_0001_0001.pdb
17.083,rg_scorer_g_2_S_0002_0001_0001.pdb
34.991,rg_scorer_g_2_S_0003_0001_0001.pdb
18.562,rg_scorer_g_2_S_0004_0001_0001.pdb
16.212,rg_scorer_g_2_S_0005_0001_0001.pdb
16.877,rg_scorer_g_2_S_0006_0001_0001.pdb
22.443,rg_scorer_g_2_S_0007_0001_0001.pdb
16.594,rg_scorer_g_2_S_0008_0001_0001.pdb
