RG_SCORE,MODEL
21.587,rg_scorer_g_1_S_0001_0001_0001.pdb
20.997,rg_scorer_g_1_S_0002_0001_0001.pdb
21.325,rg_scorer_g_1_S_0003_0001_0001.pdb
21.572,rg_scorer_g_1_S_0004_0001_0001.pdb
21.708000000000002,rg_scorer_g_1_S_0005_0001_0001.pdb
21.423000000000002,rg_scorer_g_1_S_0006_0001_0001.pdb
21.338,rg_scorer_g_1_S_0007_0001_0001.pdb
21.439,rg_scorer_g_1_S_0008_0001_0001.pdb
20.896,rg_scorer_g_1_S_0009_0001_0001.pdb
21.368000000000002,rg_scorer_g_1_S_0010_0001_0001.pdb
21.309,rg_scorer_g_1_S_0011_0001_0001.pdb
21.697,rg_scorer_g_1_S_0012_0001_0001.pdb
21.451,rg_scorer_g_1_S_0013_0001_0001.pdb
20.41,rg_scorer_g_1_S_0014_0001_0001.pdb
21.272,rg_scorer_g_1_S_0015_0001_0001.pdb
20.886999999999997,rg_scorer_g_1_S_0016_0001_0001.pdb
21.046,rg_scorer_g_1_S_0017_0001_0001.pdb
21.533,rg_scorer_g_1_S_0018_0001_0001.pdb
21.495,rg_scorer_g_1_S_0019_0001_0001.pdb
20.555999999999997,rg_scorer_g_1_S_0020_0001_0001.pdb
21.443,rg_scorer_g_1_S_0021_0001_0001.pdb
21.003,rg_scorer_g_1_S_0022_0001_0001.pdb
21.033,rg_scorer_g_1_S_0023_0001_0001.pdb
21.436,rg_scorer_g_1_S_0024_0001_0001.pdb
20.987,rg_scorer_g_1_S_0025_0001_0001.pdb
21.285999999999998,rg_scorer_g_1_S_0026_0001_0001.pdb
21.108,rg_scorer_g_1_S_0027_0001_0001.pdb
21.295,rg_scorer_g_1_S_0028_0001_0001.pdb
20.495,rg_scorer_g_1_S_0029_0001_0001.pdb
21.128,rg_scorer_g_1_S_0030_0001_0001.pdb
20.815,rg_scorer_g_1_S_0031_0001_0001.pdb
21.628,rg_scorer_g_1_S_0032_0001_0001.pdb
20.896,rg_scorer_g_1_S_0033_0001_0001.pdb
21.179000000000002,rg_scorer_g_1_S_0034_0001_0001.pdb
21.665,rg_scorer_g_1_S_0035_0001_0001.pdb
21.189,rg_scorer_g_1_S_0036_0001_0001.pdb
21.093000000000004,rg_scorer_g_1_S_0037_0001_0001.pdb
20.605,rg_scorer_g_1_S_0038_0001_0001.pdb
20.829,rg_scorer_g_1_S_0039_0001_0001.pdb
21.068,rg_scorer_g_1_S_0040_0001_0001.pdb
21.558000000000003,rg_scorer_g_1_S_0041_0001_0001.pdb
21.293000000000003,rg_scorer_g_1_S_0042_0001_0001.pdb
20.741,rg_scorer_g_1_S_0043_0001_0001.pdb
21.664,rg_scorer_g_1_S_0044_0001_0001.pdb
21.584,rg_scorer_g_1_S_0045_0001_0001.pdb
20.913,rg_scorer_g_1_S_0046_0001_0001.pdb
21.226,rg_scorer_g_1_S_0047_0001_0001.pdb
20.779,rg_scorer_g_1_S_0048_0001_0001.pdb
21.614,rg_scorer_g_1_S_0049_0001_0001.pdb
20.982,rg_scorer_g_1_S_0050_0001_0001.pdb
21.45,rg_scorer_g_1_S_0051_0001_0001.pdb
21.497,rg_scorer_g_1_S_0052_0001_0001.pdb
21.119,rg_scorer_g_1_S_0053_0001_0001.pdb
21.025,rg_scorer_g_1_S_0054_0001_0001.pdb
20.693,rg_scorer_g_1_S_0055_0001_0001.pdb
20.908,rg_scorer_g_1_S_0056_0001_0001.pdb
21.092,rg_scorer_g_1_S_0057_0001_0001.pdb
21.053,rg_scorer_g_1_S_0058_0001_0001.pdb
21.689,rg_scorer_g_1_S_0059_0001_0001.pdb
21.195999999999998,rg_scorer_g_1_S_0060_0001_0001.pdb
21.359,rg_scorer_g_1_S_0061_0001_0001.pdb
20.789,rg_scorer_g_1_S_0062_0001_0001.pdb
21.565,rg_scorer_g_1_S_0063_0001_0001.pdb
20.857,rg_scorer_g_1_S_0064_0001_0001.pdb
20.824,rg_scorer_g_1_S_0065_0001_0001.pdb
21.465999999999998,rg_scorer_g_1_S_0066_0001_0001.pdb
21.11,rg_scorer_g_1_S_0067_0001_0001.pdb
21.421,rg_scorer_g_1_S_0068_0001_0001.pdb
21.531,rg_scorer_g_1_S_0069_0001_0001.pdb
21.836,rg_scorer_g_1_S_0070_0001_0001.pdb
21.721,rg_scorer_g_1_S_0071_0001_0001.pdb
21.113000000000003,rg_scorer_g_1_S_0072_0001_0001.pdb
21.03,rg_scorer_g_1_S_0073_0001_0001.pdb
21.028000000000002,rg_scorer_g_1_S_0074_0001_0001.pdb
20.729,rg_scorer_g_1_S_0075_0001_0001.pdb
21.495,rg_scorer_g_1_S_0076_0001_0001.pdb
21.048000000000002,rg_scorer_g_1_S_0077_0001_0001.pdb
21.109,rg_scorer_g_1_S_0078_0001_0001.pdb
21.06,rg_scorer_g_1_S_0079_0001_0001.pdb
21.616,rg_scorer_g_1_S_0080_0001_0001.pdb
21.136,rg_scorer_g_1_S_0081_0001_0001.pdb
20.624000000000002,rg_scorer_g_1_S_0082_0001_0001.pdb
21.250999999999998,rg_scorer_g_1_S_0083_0001_0001.pdb
20.726999999999997,rg_scorer_g_1_S_0084_0001_0001.pdb
21.458000000000002,rg_scorer_g_1_S_0085_0001_0001.pdb
21.160999999999998,rg_scorer_g_1_S_0086_0001_0001.pdb
21.016,rg_scorer_g_1_S_0087_0001_0001.pdb
20.980999999999998,rg_scorer_g_1_S_0088_0001_0001.pdb
21.676,rg_scorer_g_1_S_0089_0001_0001.pdb
21.072,rg_scorer_g_1_S_0090_0001_0001.pdb
21.398000000000003,rg_scorer_g_1_S_0091_0001_0001.pdb
21.483,rg_scorer_g_1_S_0092_0001_0001.pdb
21.052,rg_scorer_g_1_S_0093_0001_0001.pdb
21.33,rg_scorer_g_1_S_0094_0001_0001.pdb
21.495,rg_scorer_g_1_S_0095_0001_0001.pdb
20.978,rg_scorer_g_1_S_0096_0001_0001.pdb
20.811999999999998,rg_scorer_g_1_S_0097_0001_0001.pdb
21.009,rg_scorer_g_1_S_0098_0001_0001.pdb
21.638,rg_scorer_g_1_S_0099_0001_0001.pdb
21.285999999999998,rg_scorer_g_1_S_0100_0001_0001.pdb
21.122,rg_scorer_g_2_S_0001_0001_0001.pdb
