RG_SCORE,MODEL
22.07,rg_scorer_g_1_S_0001_0001_0001.pdb
22.05,rg_scorer_g_1_S_0002_0001_0001.pdb
22.057,rg_scorer_g_1_S_0003_0001_0001.pdb
21.736,rg_scorer_g_1_S_0004_0001_0001.pdb
22.07,rg_scorer_g_1_S_0005_0001_0001.pdb
22.02,rg_scorer_g_1_S_0006_0001_0001.pdb
22.023000000000003,rg_scorer_g_1_S_0007_0001_0001.pdb
21.945999999999998,rg_scorer_g_1_S_0008_0001_0001.pdb
21.969,rg_scorer_g_1_S_0009_0001_0001.pdb
22.031999999999996,rg_scorer_g_1_S_0010_0001_0001.pdb
22.148000000000003,rg_scorer_g_1_S_0011_0001_0001.pdb
21.945999999999998,rg_scorer_g_1_S_0012_0001_0001.pdb
21.897,rg_scorer_g_1_S_0013_0001_0001.pdb
21.989,rg_scorer_g_1_S_0014_0001_0001.pdb
22.008000000000003,rg_scorer_g_1_S_0015_0001_0001.pdb
22.05,rg_scorer_g_1_S_0016_0001_0001.pdb
21.921999999999997,rg_scorer_g_1_S_0017_0001_0001.pdb
22.22,rg_scorer_g_1_S_0018_0001_0001.pdb
22.069000000000003,rg_scorer_g_1_S_0019_0001_0001.pdb
21.848000000000003,rg_scorer_g_1_S_0020_0001_0001.pdb
22.029,rg_scorer_g_1_S_0021_0001_0001.pdb
21.953000000000003,rg_scorer_g_1_S_0022_0001_0001.pdb
22.078000000000003,rg_scorer_g_1_S_0023_0001_0001.pdb
21.983,rg_scorer_g_1_S_0024_0001_0001.pdb
21.904,rg_scorer_g_1_S_0025_0001_0001.pdb
21.925,rg_scorer_g_1_S_0026_0001_0001.pdb
22.026999999999997,rg_scorer_g_1_S_0027_0001_0001.pdb
22.052,rg_scorer_g_1_S_0028_0001_0001.pdb
22.028000000000002,rg_scorer_g_1_S_0029_0001_0001.pdb
21.986,rg_scorer_g_1_S_0030_0001_0001.pdb
21.95,rg_scorer_g_1_S_0031_0001_0001.pdb
22.048000000000002,rg_scorer_g_1_S_0032_0001_0001.pdb
22.003,rg_scorer_g_1_S_0033_0001_0001.pdb
21.912,rg_scorer_g_1_S_0034_0001_0001.pdb
21.982,rg_scorer_g_1_S_0035_0001_0001.pdb
22.046,rg_scorer_g_1_S_0036_0001_0001.pdb
21.998,rg_scorer_g_1_S_0037_0001_0001.pdb
22.052,rg_scorer_g_1_S_0038_0001_0001.pdb
21.877,rg_scorer_g_1_S_0039_0001_0001.pdb
22.008000000000003,rg_scorer_g_1_S_0040_0001_0001.pdb
22.052,rg_scorer_g_1_S_0041_0001_0001.pdb
21.912,rg_scorer_g_1_S_0042_0001_0001.pdb
21.976,rg_scorer_g_1_S_0043_0001_0001.pdb
22.111,rg_scorer_g_1_S_0044_0001_0001.pdb
22.016,rg_scorer_g_1_S_0045_0001_0001.pdb
