RG_SCORE,MODEL
22.305,rg_scorer_g_1_S_0001_0001_0001.pdb
22.364,rg_scorer_g_1_S_0002_0001_0001.pdb
22.319000000000003,rg_scorer_g_1_S_0003_0001_0001.pdb
22.198,rg_scorer_g_1_S_0004_0001_0001.pdb
22.279,rg_scorer_g_1_S_0005_0001_0001.pdb
22.234,rg_scorer_g_1_S_0006_0001_0001.pdb
22.28,rg_scorer_g_1_S_0007_0001_0001.pdb
22.166,rg_scorer_g_1_S_0008_0001_0001.pdb
22.268,rg_scorer_g_1_S_0009_0001_0001.pdb
22.184,rg_scorer_g_1_S_0010_0001_0001.pdb
22.116,rg_scorer_g_1_S_0011_0001_0001.pdb
22.339000000000002,rg_scorer_g_1_S_0012_0001_0001.pdb
22.26,rg_scorer_g_1_S_0013_0001_0001.pdb
22.285,rg_scorer_g_1_S_0014_0001_0001.pdb
22.236,rg_scorer_g_1_S_0015_0001_0001.pdb
22.426,rg_scorer_g_1_S_0016_0001_0001.pdb
22.189,rg_scorer_g_1_S_0017_0001_0001.pdb
22.029,rg_scorer_g_1_S_0018_0001_0001.pdb
22.425,rg_scorer_g_1_S_0019_0001_0001.pdb
22.338,rg_scorer_g_1_S_0020_0001_0001.pdb
22.206,rg_scorer_g_1_S_0021_0001_0001.pdb
22.294,rg_scorer_g_1_S_0022_0001_0001.pdb
22.331999999999997,rg_scorer_g_1_S_0023_0001_0001.pdb
22.092,rg_scorer_g_1_S_0024_0001_0001.pdb
22.214000000000002,rg_scorer_g_1_S_0025_0001_0001.pdb
22.272,rg_scorer_g_1_S_0026_0001_0001.pdb
22.269000000000002,rg_scorer_g_1_S_0027_0001_0001.pdb
22.281999999999996,rg_scorer_g_1_S_0028_0001_0001.pdb
22.263,rg_scorer_g_1_S_0029_0001_0001.pdb
22.324,rg_scorer_g_1_S_0030_0001_0001.pdb
22.263,rg_scorer_g_1_S_0031_0001_0001.pdb
22.221999999999998,rg_scorer_g_1_S_0032_0001_0001.pdb
22.205,rg_scorer_g_1_S_0033_0001_0001.pdb
22.434,rg_scorer_g_1_S_0034_0001_0001.pdb
22.131,rg_scorer_g_1_S_0035_0001_0001.pdb
22.29,rg_scorer_g_1_S_0036_0001_0001.pdb
22.320999999999998,rg_scorer_g_1_S_0037_0001_0001.pdb
22.149,rg_scorer_g_1_S_0038_0001_0001.pdb
22.281,rg_scorer_g_1_S_0039_0001_0001.pdb
22.127,rg_scorer_g_1_S_0040_0001_0001.pdb
