RG_SCORE,MODEL
17.872,rg_scorer_g_1_S_0001_0001_0001.pdb
17.887999999999998,rg_scorer_g_1_S_0002_0001_0001.pdb
17.926,rg_scorer_g_1_S_0003_0001_0001.pdb
17.908,rg_scorer_g_1_S_0004_0001_0001.pdb
17.887999999999998,rg_scorer_g_1_S_0005_0001_0001.pdb
17.865,rg_scorer_g_1_S_0006_0001_0001.pdb
17.9,rg_scorer_g_1_S_0007_0001_0001.pdb
17.906,rg_scorer_g_1_S_0008_0001_0001.pdb
17.899,rg_scorer_g_1_S_0009_0001_0001.pdb
17.877,rg_scorer_g_1_S_0010_0001_0001.pdb
17.935,rg_scorer_g_1_S_0011_0001_0001.pdb
17.883,rg_scorer_g_1_S_0012_0001_0001.pdb
17.897000000000002,rg_scorer_g_1_S_0013_0001_0001.pdb
17.891,rg_scorer_g_1_S_0014_0001_0001.pdb
17.9,rg_scorer_g_1_S_0015_0001_0001.pdb
17.875,rg_scorer_g_1_S_0016_0001_0001.pdb
17.893,rg_scorer_g_1_S_0017_0001_0001.pdb
17.885,rg_scorer_g_1_S_0018_0001_0001.pdb
17.852,rg_scorer_g_1_S_0019_0001_0001.pdb
17.89,rg_scorer_g_1_S_0020_0001_0001.pdb
17.902,rg_scorer_g_1_S_0021_0001_0001.pdb
17.878,rg_scorer_g_1_S_0022_0001_0001.pdb
17.877,rg_scorer_g_1_S_0023_0001_0001.pdb
17.893,rg_scorer_g_1_S_0024_0001_0001.pdb
17.881,rg_scorer_g_1_S_0025_0001_0001.pdb
17.863,rg_scorer_g_1_S_0026_0001_0001.pdb
17.953,rg_scorer_g_1_S_0027_0001_0001.pdb
17.905,rg_scorer_g_1_S_0028_0001_0001.pdb
17.907,rg_scorer_g_1_S_0029_0001_0001.pdb
17.898,rg_scorer_g_1_S_0030_0001_0001.pdb
17.878,rg_scorer_g_1_S_0031_0001_0001.pdb
17.887999999999998,rg_scorer_g_1_S_0032_0001_0001.pdb
