RG_SCORE,MODEL
16.225,rg_scorer_g_1_S_0001_0001_0001.pdb
16.11,rg_scorer_g_1_S_0002_0001_0001.pdb
16.323,rg_scorer_g_1_S_0003_0001_0001.pdb
15.825999999999999,rg_scorer_g_1_S_0004_0001_0001.pdb
16.230999999999998,rg_scorer_g_1_S_0005_0001_0001.pdb
15.969000000000001,rg_scorer_g_1_S_0006_0001_0001.pdb
16.445,rg_scorer_g_1_S_0007_0001_0001.pdb
16.372,rg_scorer_g_1_S_0008_0001_0001.pdb
16.199,rg_scorer_g_1_S_0009_0001_0001.pdb
16.551,rg_scorer_g_1_S_0010_0001_0001.pdb
16.34,rg_scorer_g_1_S_0011_0001_0001.pdb
16.54,rg_scorer_g_1_S_0012_0001_0001.pdb
15.78,rg_scorer_g_1_S_0013_0001_0001.pdb
16.326,rg_scorer_g_1_S_0014_0001_0001.pdb
15.815999999999999,rg_scorer_g_1_S_0015_0001_0001.pdb
16.191,rg_scorer_g_1_S_0016_0001_0001.pdb
15.992,rg_scorer_g_1_S_0017_0001_0001.pdb
15.683,rg_scorer_g_1_S_0018_0001_0001.pdb
16.187,rg_scorer_g_1_S_0019_0001_0001.pdb
16.246,rg_scorer_g_1_S_0020_0001_0001.pdb
16.384,rg_scorer_g_1_S_0021_0001_0001.pdb
16.337,rg_scorer_g_1_S_0022_0001_0001.pdb
16.269000000000002,rg_scorer_g_1_S_0023_0001_0001.pdb
16.35,rg_scorer_g_1_S_0024_0001_0001.pdb
15.946,rg_scorer_g_1_S_0025_0001_0001.pdb
15.939,rg_scorer_g_1_S_0026_0001_0001.pdb
16.303,rg_scorer_g_1_S_0027_0001_0001.pdb
15.677999999999999,rg_scorer_g_1_S_0028_0001_0001.pdb
16.430999999999997,rg_scorer_g_1_S_0029_0001_0001.pdb
16.387999999999998,rg_scorer_g_1_S_0030_0001_0001.pdb
16.238,rg_scorer_g_1_S_0031_0001_0001.pdb
16.45,rg_scorer_g_1_S_0032_0001_0001.pdb
16.357,rg_scorer_g_1_S_0033_0001_0001.pdb
16.218,rg_scorer_g_1_S_0034_0001_0001.pdb
16.002,rg_scorer_g_1_S_0035_0001_0001.pdb
16.426,rg_scorer_g_1_S_0036_0001_0001.pdb
16.449,rg_scorer_g_1_S_0037_0001_0001.pdb
17.264,rg_scorer_g_1_S_0038_0001_0001.pdb
16.459,rg_scorer_g_1_S_0039_0001_0001.pdb
16.430999999999997,rg_scorer_g_1_S_0040_0001_0001.pdb
15.998,rg_scorer_g_1_S_0041_0001_0001.pdb
