RG_SCORE,MODEL
20.274,rg_scorer_g_1_S_0001_0001_0001.pdb
20.055999999999997,rg_scorer_g_1_S_0002_0001_0001.pdb
19.97,rg_scorer_g_1_S_0003_0001_0001.pdb
19.8,rg_scorer_g_1_S_0004_0001_0001.pdb
19.921,rg_scorer_g_1_S_0005_0001_0001.pdb
20.308,rg_scorer_g_1_S_0006_0001_0001.pdb
20.002,rg_scorer_g_1_S_0007_0001_0001.pdb
20.293,rg_scorer_g_1_S_0008_0001_0001.pdb
19.901,rg_scorer_g_1_S_0009_0001_0001.pdb
19.594,rg_scorer_g_1_S_0010_0001_0001.pdb
19.93,rg_scorer_g_1_S_0011_0001_0001.pdb
19.976,rg_scorer_g_1_S_0012_0001_0001.pdb
20.090999999999998,rg_scorer_g_1_S_0013_0001_0001.pdb
19.737000000000002,rg_scorer_g_1_S_0014_0001_0001.pdb
19.919,rg_scorer_g_1_S_0015_0001_0001.pdb
20.035,rg_scorer_g_1_S_0016_0001_0001.pdb
20.283,rg_scorer_g_1_S_0017_0001_0001.pdb
19.98,rg_scorer_g_1_S_0018_0001_0001.pdb
19.983,rg_scorer_g_1_S_0019_0001_0001.pdb
20.063,rg_scorer_g_1_S_0020_0001_0001.pdb
19.971,rg_scorer_g_1_S_0021_0001_0001.pdb
20.11,rg_scorer_g_1_S_0022_0001_0001.pdb
20.104,rg_scorer_g_1_S_0023_0001_0001.pdb
20.033,rg_scorer_g_1_S_0024_0001_0001.pdb
19.995,rg_scorer_g_1_S_0025_0001_0001.pdb
19.976,rg_scorer_g_1_S_0026_0001_0001.pdb
20.154,rg_scorer_g_1_S_0027_0001_0001.pdb
19.986,rg_scorer_g_1_S_0028_0001_0001.pdb
20.002,rg_scorer_g_1_S_0029_0001_0001.pdb
19.658,rg_scorer_g_1_S_0030_0001_0001.pdb
20.143,rg_scorer_g_1_S_0031_0001_0001.pdb
19.485,rg_scorer_g_1_S_0032_0001_0001.pdb
19.72,rg_scorer_g_1_S_0033_0001_0001.pdb
19.982,rg_scorer_g_1_S_0034_0001_0001.pdb
20.207,rg_scorer_g_1_S_0035_0001_0001.pdb
19.82,rg_scorer_g_1_S_0036_0001_0001.pdb
19.639,rg_scorer_g_1_S_0037_0001_0001.pdb
20.094,rg_scorer_g_1_S_0038_0001_0001.pdb
20.119,rg_scorer_g_1_S_0039_0001_0001.pdb
19.868,rg_scorer_g_1_S_0040_0001_0001.pdb
19.797,rg_scorer_g_1_S_0041_0001_0001.pdb
19.701,rg_scorer_g_1_S_0042_0001_0001.pdb
20.022000000000002,rg_scorer_g_1_S_0043_0001_0001.pdb
20.072,rg_scorer_g_1_S_0044_0001_0001.pdb
19.632,rg_scorer_g_1_S_0045_0001_0001.pdb
19.468,rg_scorer_g_1_S_0046_0001_0001.pdb
19.605999999999998,rg_scorer_g_1_S_0047_0001_0001.pdb
20.065,rg_scorer_g_1_S_0048_0001_0001.pdb
19.766,rg_scorer_g_1_S_0049_0001_0001.pdb
20.09,rg_scorer_g_1_S_0050_0001_0001.pdb
19.594,rg_scorer_g_1_S_0051_0001_0001.pdb
20.383,rg_scorer_g_1_S_0052_0001_0001.pdb
19.944000000000003,rg_scorer_g_1_S_0053_0001_0001.pdb
19.726,rg_scorer_g_1_S_0054_0001_0001.pdb
19.915,rg_scorer_g_1_S_0055_0001_0001.pdb
19.78,rg_scorer_g_1_S_0056_0001_0001.pdb
20.027,rg_scorer_g_1_S_0057_0001_0001.pdb
20.124000000000002,rg_scorer_g_1_S_0058_0001_0001.pdb
19.927,rg_scorer_g_1_S_0059_0001_0001.pdb
20.192999999999998,rg_scorer_g_1_S_0060_0001_0001.pdb
19.875,rg_scorer_g_1_S_0061_0001_0001.pdb
19.77,rg_scorer_g_1_S_0062_0001_0001.pdb
20.048,rg_scorer_g_1_S_0063_0001_0001.pdb
19.948,rg_scorer_g_1_S_0064_0001_0001.pdb
19.977999999999998,rg_scorer_g_1_S_0065_0001_0001.pdb
20.016,rg_scorer_g_1_S_0066_0001_0001.pdb
20.046,rg_scorer_g_1_S_0067_0001_0001.pdb
19.988,rg_scorer_g_1_S_0068_0001_0001.pdb
20.07,rg_scorer_g_1_S_0069_0001_0001.pdb
19.558,rg_scorer_g_1_S_0070_0001_0001.pdb
20.090999999999998,rg_scorer_g_1_S_0071_0001_0001.pdb
19.788,rg_scorer_g_1_S_0072_0001_0001.pdb
20.135,rg_scorer_g_1_S_0073_0001_0001.pdb
20.012999999999998,rg_scorer_g_1_S_0074_0001_0001.pdb
20.066,rg_scorer_g_1_S_0075_0001_0001.pdb
20.305,rg_scorer_g_1_S_0076_0001_0001.pdb
19.677,rg_scorer_g_1_S_0077_0001_0001.pdb
19.852999999999998,rg_scorer_g_1_S_0078_0001_0001.pdb
19.875,rg_scorer_g_1_S_0079_0001_0001.pdb
19.997,rg_scorer_g_1_S_0080_0001_0001.pdb
19.996,rg_scorer_g_1_S_0081_0001_0001.pdb
20.123,rg_scorer_g_1_S_0082_0001_0001.pdb
