RG_SCORE,MODEL
14.587,rg_scorer_1_F_00000001_0001_0001.pdb
15.817,rg_scorer_1_F_00000003_0001_0001.pdb
14.155,rg_scorer_1_F_00000005_0001_0001.pdb
15.370999999999999,rg_scorer_1_F_00000006_0001_0001.pdb
15.323,rg_scorer_1_F_00000009_0001_0001.pdb
14.492,rg_scorer_1_F_00000010_0001_0001.pdb
15.414000000000001,rg_scorer_1_F_00000018_0001_0001.pdb
14.788,rg_scorer_1_F_00000020_0001_0001.pdb
14.823,rg_scorer_1_F_00000023_0001_0001.pdb
15.637,rg_scorer_1_F_00000025_0001_0001.pdb
14.498,rg_scorer_1_F_00000029_0001_0001.pdb
15.24,rg_scorer_1_F_00000031_0001_0001.pdb
14.950999999999999,rg_scorer_1_F_00000032_0001_0001.pdb
15.286,rg_scorer_1_F_00000033_0001_0001.pdb
14.242,rg_scorer_1_F_00000034_0001_0001.pdb
14.864,rg_scorer_1_F_00000037_0001_0001.pdb
15.137,rg_scorer_1_F_00000039_0001_0001.pdb
14.833,rg_scorer_1_F_00000050_0001_0001.pdb
15.002,rg_scorer_1_F_00000063_0001_0001.pdb
14.064,rg_scorer_1_F_00000074_0001_0001.pdb
14.995,rg_scorer_1_F_00000075_0001_0001.pdb
15.911,rg_scorer_1_F_00000079_0001_0001.pdb
15.775,rg_scorer_1_F_00000085_0001_0001.pdb
15.027000000000001,rg_scorer_1_F_00000086_0001_0001.pdb
14.487,rg_scorer_1_F_00000089_0001_0001.pdb
14.117,rg_scorer_1_F_00000090_0001_0001.pdb
14.427999999999999,rg_scorer_1_F_00000092_0001_0001.pdb
14.413,rg_scorer_1_F_00000093_0001_0001.pdb
15.123,rg_scorer_1_F_00000100_0001_0001.pdb
15.057,rg_scorer_1_S_00000002_0001_0001.pdb
14.675999999999998,rg_scorer_1_S_00000004_0001_0001.pdb
13.992,rg_scorer_1_S_00000007_0001_0001.pdb
14.671,rg_scorer_1_S_00000008_0001_0001.pdb
14.059000000000001,rg_scorer_1_S_00000011_0001_0001.pdb
13.745,rg_scorer_1_S_00000012_0001_0001.pdb
13.933,rg_scorer_1_S_00000013_0001_0001.pdb
14.026,rg_scorer_1_S_00000014_0001_0001.pdb
15.116,rg_scorer_1_S_00000015_0001_0001.pdb
13.67,rg_scorer_1_S_00000016_0001_0001.pdb
13.677,rg_scorer_1_S_00000017_0001_0001.pdb
14.499,rg_scorer_1_S_00000019_0001_0001.pdb
14.308,rg_scorer_1_S_00000021_0001_0001.pdb
14.530999999999999,rg_scorer_1_S_00000022_0001_0001.pdb
14.898,rg_scorer_1_S_00000024_0001_0001.pdb
14.254000000000001,rg_scorer_1_S_00000026_0001_0001.pdb
13.962,rg_scorer_1_S_00000027_0001_0001.pdb
14.043,rg_scorer_1_S_00000028_0001_0001.pdb
13.569,rg_scorer_1_S_00000030_0001_0001.pdb
14.29,rg_scorer_1_S_00000035_0001_0001.pdb
15.005,rg_scorer_1_S_00000036_0001_0001.pdb
14.165,rg_scorer_1_S_00000038_0001_0001.pdb
14.894,rg_scorer_1_S_00000040_0001_0001.pdb
14.229000000000001,rg_scorer_1_S_00000041_0001_0001.pdb
14.575,rg_scorer_1_S_00000042_0001_0001.pdb
14.173,rg_scorer_1_S_00000043_0001_0001.pdb
13.988,rg_scorer_1_S_00000044_0001_0001.pdb
14.064,rg_scorer_1_S_00000045_0001_0001.pdb
13.748,rg_scorer_1_S_00000046_0001_0001.pdb
14.433,rg_scorer_1_S_00000047_0001_0001.pdb
14.263,rg_scorer_1_S_00000048_0001_0001.pdb
13.710999999999999,rg_scorer_1_S_00000049_0001_0001.pdb
15.235999999999999,rg_scorer_1_S_00000051_0001_0001.pdb
13.932,rg_scorer_1_S_00000052_0001_0001.pdb
14.017000000000001,rg_scorer_1_S_00000053_0001_0001.pdb
14.695,rg_scorer_1_S_00000054_0001_0001.pdb
14.742,rg_scorer_1_S_00000055_0001_0001.pdb
15.004000000000001,rg_scorer_1_S_00000056_0001_0001.pdb
13.630999999999998,rg_scorer_1_S_00000057_0001_0001.pdb
14.114,rg_scorer_1_S_00000058_0001_0001.pdb
14.482000000000001,rg_scorer_1_S_00000059_0001_0001.pdb
13.49,rg_scorer_1_S_00000060_0001_0001.pdb
15.012,rg_scorer_1_S_00000061_0001_0001.pdb
14.994000000000002,rg_scorer_1_S_00000062_0001_0001.pdb
