RG_SCORE,MODEL
23.558000000000003,rg_scorer_g_1_S_0001_0001_0001.pdb
23.13,rg_scorer_g_1_S_0002_0001_0001.pdb
22.691,rg_scorer_g_1_S_0003_0001_0001.pdb
23.558000000000003,rg_scorer_g_1_S_0004_0001_0001.pdb
23.471,rg_scorer_g_1_S_0005_0001_0001.pdb
22.756,rg_scorer_g_1_S_0006_0001_0001.pdb
23.410999999999998,rg_scorer_g_1_S_0007_0001_0001.pdb
23.581999999999997,rg_scorer_g_1_S_0008_0001_0001.pdb
23.506999999999998,rg_scorer_g_1_S_0009_0001_0001.pdb
23.761999999999997,rg_scorer_g_1_S_0010_0001_0001.pdb
23.924,rg_scorer_g_1_S_0011_0001_0001.pdb
23.346999999999998,rg_scorer_g_1_S_0012_0001_0001.pdb
23.886999999999997,rg_scorer_g_1_S_0013_0001_0001.pdb
23.74,rg_scorer_g_1_S_0014_0001_0001.pdb
23.683000000000003,rg_scorer_g_1_S_0015_0001_0001.pdb
23.469,rg_scorer_g_1_S_0016_0001_0001.pdb
23.816,rg_scorer_g_1_S_0017_0001_0001.pdb
23.878,rg_scorer_g_1_S_0018_0001_0001.pdb
23.534000000000002,rg_scorer_g_1_S_0019_0001_0001.pdb
23.232,rg_scorer_g_1_S_0020_0001_0001.pdb
22.965,rg_scorer_g_1_S_0021_0001_0001.pdb
23.302,rg_scorer_g_1_S_0022_0001_0001.pdb
23.14,rg_scorer_g_1_S_0023_0001_0001.pdb
23.144000000000002,rg_scorer_g_1_S_0024_0001_0001.pdb
24.143,rg_scorer_g_1_S_0025_0001_0001.pdb
23.498,rg_scorer_g_1_S_0026_0001_0001.pdb
23.56,rg_scorer_g_1_S_0027_0001_0001.pdb
22.953000000000003,rg_scorer_g_1_S_0028_0001_0001.pdb
23.176,rg_scorer_g_1_S_0029_0001_0001.pdb
23.49,rg_scorer_g_1_S_0030_0001_0001.pdb
22.94,rg_scorer_g_1_S_0031_0001_0001.pdb
23.651999999999997,rg_scorer_g_1_S_0032_0001_0001.pdb
23.624000000000002,rg_scorer_g_1_S_0033_0001_0001.pdb
23.239,rg_scorer_g_1_S_0034_0001_0001.pdb
23.195999999999998,rg_scorer_g_1_S_0035_0001_0001.pdb
23.868000000000002,rg_scorer_g_1_S_0036_0001_0001.pdb
23.926,rg_scorer_g_1_S_0037_0001_0001.pdb
23.746,rg_scorer_g_1_S_0038_0001_0001.pdb
23.55,rg_scorer_g_1_S_0039_0001_0001.pdb
23.425,rg_scorer_g_1_S_0040_0001_0001.pdb
23.092,rg_scorer_g_1_S_0041_0001_0001.pdb
22.921,rg_scorer_g_1_S_0042_0001_0001.pdb
23.480999999999998,rg_scorer_g_1_S_0043_0001_0001.pdb
24.237,rg_scorer_g_1_S_0044_0001_0001.pdb
22.933000000000003,rg_scorer_g_1_S_0045_0001_0001.pdb
24.566,rg_scorer_g_1_S_0046_0001_0001.pdb
23.485,rg_scorer_g_1_S_0047_0001_0001.pdb
23.129,rg_scorer_g_1_S_0048_0001_0001.pdb
23.776999999999997,rg_scorer_g_1_S_0049_0001_0001.pdb
23.868000000000002,rg_scorer_g_1_S_0050_0001_0001.pdb
23.31,rg_scorer_g_1_S_0051_0001_0001.pdb
23.5,rg_scorer_g_1_S_0052_0001_0001.pdb
23.838,rg_scorer_g_1_S_0053_0001_0001.pdb
23.655,rg_scorer_g_1_S_0054_0001_0001.pdb
23.451,rg_scorer_g_1_S_0055_0001_0001.pdb
23.886999999999997,rg_scorer_g_1_S_0056_0001_0001.pdb
23.663,rg_scorer_g_1_S_0057_0001_0001.pdb
23.67,rg_scorer_g_1_S_0058_0001_0001.pdb
24.073,rg_scorer_g_1_S_0059_0001_0001.pdb
23.825,rg_scorer_g_1_S_0060_0001_0001.pdb
23.284000000000002,rg_scorer_g_1_S_0061_0001_0001.pdb
23.174,rg_scorer_g_1_S_0062_0001_0001.pdb
24.217,rg_scorer_g_1_S_0063_0001_0001.pdb
23.660999999999998,rg_scorer_g_1_S_0064_0001_0001.pdb
24.394000000000002,rg_scorer_g_1_S_0065_0001_0001.pdb
23.743000000000002,rg_scorer_g_1_S_0066_0001_0001.pdb
23.44,rg_scorer_g_1_S_0067_0001_0001.pdb
23.291999999999998,rg_scorer_g_1_S_0068_0001_0001.pdb
23.415,rg_scorer_g_1_S_0069_0001_0001.pdb
22.65,rg_scorer_g_1_S_0070_0001_0001.pdb
23.541999999999998,rg_scorer_g_1_S_0071_0001_0001.pdb
23.718000000000004,rg_scorer_g_1_S_0072_0001_0001.pdb
23.335,rg_scorer_g_1_S_0073_0001_0001.pdb
23.235,rg_scorer_g_1_S_0074_0001_0001.pdb
