RG_SCORE,MODEL
19.739,rg_scorer_g_1_S_0001_0001_0001.pdb
19.637999999999998,rg_scorer_g_1_S_0002_0001_0001.pdb
19.739,rg_scorer_g_1_S_0003_0001_0001.pdb
19.599,rg_scorer_g_1_S_0004_0001_0001.pdb
19.741,rg_scorer_g_1_S_0005_0001_0001.pdb
19.719,rg_scorer_g_1_S_0006_0001_0001.pdb
19.735,rg_scorer_g_1_S_0007_0001_0001.pdb
19.717,rg_scorer_g_1_S_0008_0001_0001.pdb
19.590999999999998,rg_scorer_g_1_S_0009_0001_0001.pdb
19.749000000000002,rg_scorer_g_1_S_0010_0001_0001.pdb
19.705,rg_scorer_g_1_S_0011_0001_0001.pdb
19.743,rg_scorer_g_1_S_0012_0001_0001.pdb
19.680999999999997,rg_scorer_g_1_S_0013_0001_0001.pdb
19.609,rg_scorer_g_1_S_0014_0001_0001.pdb
19.724,rg_scorer_g_1_S_0015_0001_0001.pdb
19.64,rg_scorer_g_1_S_0016_0001_0001.pdb
19.645,rg_scorer_g_1_S_0017_0001_0001.pdb
19.657,rg_scorer_g_1_S_0018_0001_0001.pdb
19.734,rg_scorer_g_1_S_0019_0001_0001.pdb
19.61,rg_scorer_g_1_S_0020_0001_0001.pdb
19.713,rg_scorer_g_1_S_0021_0001_0001.pdb
19.705,rg_scorer_g_1_S_0022_0001_0001.pdb
19.644000000000002,rg_scorer_g_1_S_0023_0001_0001.pdb
19.715999999999998,rg_scorer_g_1_S_0024_0001_0001.pdb
19.699,rg_scorer_g_1_S_0025_0001_0001.pdb
19.652,rg_scorer_g_1_S_0026_0001_0001.pdb
19.732,rg_scorer_g_1_S_0027_0001_0001.pdb
19.750999999999998,rg_scorer_g_1_S_0028_0001_0001.pdb
19.596,rg_scorer_g_1_S_0029_0001_0001.pdb
19.715,rg_scorer_g_1_S_0030_0001_0001.pdb
19.678,rg_scorer_g_1_S_0031_0001_0001.pdb
19.735,rg_scorer_g_1_S_0032_0001_0001.pdb
19.679000000000002,rg_scorer_g_1_S_0033_0001_0001.pdb
19.659000000000002,rg_scorer_g_1_S_0034_0001_0001.pdb
19.711,rg_scorer_g_1_S_0035_0001_0001.pdb
19.657,rg_scorer_g_1_S_0036_0001_0001.pdb
19.593,rg_scorer_g_1_S_0037_0001_0001.pdb
19.618,rg_scorer_g_1_S_0038_0001_0001.pdb
19.750999999999998,rg_scorer_g_1_S_0039_0001_0001.pdb
19.576,rg_scorer_g_1_S_0040_0001_0001.pdb
19.733,rg_scorer_g_1_S_0041_0001_0001.pdb
19.684,rg_scorer_g_1_S_0042_0001_0001.pdb
19.754,rg_scorer_g_1_S_0043_0001_0001.pdb
19.754,rg_scorer_g_1_S_0044_0001_0001.pdb
19.689,rg_scorer_g_1_S_0045_0001_0001.pdb
19.732,rg_scorer_g_1_S_0046_0001_0001.pdb
19.599,rg_scorer_g_1_S_0047_0001_0001.pdb
19.691,rg_scorer_g_1_S_0048_0001_0001.pdb
19.66,rg_scorer_g_1_S_0049_0001_0001.pdb
19.748,rg_scorer_g_1_S_0050_0001_0001.pdb
19.642,rg_scorer_g_1_S_0051_0001_0001.pdb
19.709,rg_scorer_g_1_S_0052_0001_0001.pdb
19.727999999999998,rg_scorer_g_1_S_0053_0001_0001.pdb
19.605,rg_scorer_g_1_S_0054_0001_0001.pdb
19.703,rg_scorer_g_1_S_0055_0001_0001.pdb
19.706,rg_scorer_g_1_S_0056_0001_0001.pdb
19.660999999999998,rg_scorer_g_1_S_0057_0001_0001.pdb
19.793,rg_scorer_g_1_S_0058_0001_0001.pdb
19.699,rg_scorer_g_1_S_0059_0001_0001.pdb
19.737000000000002,rg_scorer_g_1_S_0060_0001_0001.pdb
19.679000000000002,rg_scorer_g_1_S_0061_0001_0001.pdb
19.72,rg_scorer_g_1_S_0062_0001_0001.pdb
19.68,rg_scorer_g_1_S_0063_0001_0001.pdb
19.707,rg_scorer_g_1_S_0064_0001_0001.pdb
19.741,rg_scorer_g_1_S_0065_0001_0001.pdb
19.597,rg_scorer_g_1_S_0066_0001_0001.pdb
19.757,rg_scorer_g_1_S_0067_0001_0001.pdb
19.867,rg_scorer_g_1_S_0068_0001_0001.pdb
19.627,rg_scorer_g_1_S_0069_0001_0001.pdb
19.608,rg_scorer_g_1_S_0070_0001_0001.pdb
19.619,rg_scorer_g_1_S_0071_0001_0001.pdb
19.68,rg_scorer_g_1_S_0072_0001_0001.pdb
19.730999999999998,rg_scorer_g_1_S_0073_0001_0001.pdb
19.746,rg_scorer_g_1_S_0074_0001_0001.pdb
19.679000000000002,rg_scorer_g_1_S_0075_0001_0001.pdb
19.535999999999998,rg_scorer_g_1_S_0076_0001_0001.pdb
19.688,rg_scorer_g_1_S_0077_0001_0001.pdb
19.683,rg_scorer_g_1_S_0078_0001_0001.pdb
19.725,rg_scorer_g_1_S_0079_0001_0001.pdb
19.665,rg_scorer_g_1_S_0080_0001_0001.pdb
19.673,rg_scorer_g_1_S_0081_0001_0001.pdb
19.762999999999998,rg_scorer_g_1_S_0082_0001_0001.pdb
19.68,rg_scorer_g_1_S_0083_0001_0001.pdb
19.719,rg_scorer_g_1_S_0084_0001_0001.pdb
19.744,rg_scorer_g_1_S_0085_0001_0001.pdb
19.792,rg_scorer_g_1_S_0086_0001_0001.pdb
19.669,rg_scorer_g_1_S_0087_0001_0001.pdb
19.729,rg_scorer_g_1_S_0088_0001_0001.pdb
19.679000000000002,rg_scorer_g_1_S_0089_0001_0001.pdb
19.752,rg_scorer_g_1_S_0090_0001_0001.pdb
19.706,rg_scorer_g_1_S_0091_0001_0001.pdb
19.676,rg_scorer_g_1_S_0092_0001_0001.pdb
19.707,rg_scorer_g_1_S_0093_0001_0001.pdb
19.658,rg_scorer_g_1_S_0094_0001_0001.pdb
19.688,rg_scorer_g_1_S_0095_0001_0001.pdb
19.621,rg_scorer_g_1_S_0096_0001_0001.pdb
19.717,rg_scorer_g_1_S_0097_0001_0001.pdb
19.7,rg_scorer_g_1_S_0098_0001_0001.pdb
19.619,rg_scorer_g_1_S_0099_0001_0001.pdb
19.67,rg_scorer_g_1_S_0100_0001_0001.pdb
19.705,rg_scorer_g_2_S_0001_0001_0001.pdb
19.643,rg_scorer_g_2_S_0002_0001_0001.pdb
19.689,rg_scorer_g_2_S_0003_0001_0001.pdb
19.783,rg_scorer_g_2_S_0004_0001_0001.pdb
19.625999999999998,rg_scorer_g_2_S_0005_0001_0001.pdb
19.616,rg_scorer_g_2_S_0006_0001_0001.pdb
19.737000000000002,rg_scorer_g_2_S_0007_0001_0001.pdb
19.668,rg_scorer_g_2_S_0008_0001_0001.pdb
19.730999999999998,rg_scorer_g_2_S_0009_0001_0001.pdb
19.777,rg_scorer_g_2_S_0010_0001_0001.pdb
19.675,rg_scorer_g_2_S_0011_0001_0001.pdb
19.352,rg_scorer_g_2_S_0012_0001_0001.pdb
19.756,rg_scorer_g_2_S_0013_0001_0001.pdb
19.632,rg_scorer_g_2_S_0014_0001_0001.pdb
19.637,rg_scorer_g_2_S_0015_0001_0001.pdb
19.553,rg_scorer_g_2_S_0016_0001_0001.pdb
19.558,rg_scorer_g_2_S_0017_0001_0001.pdb
19.673,rg_scorer_g_2_S_0018_0001_0001.pdb
19.623,rg_scorer_g_2_S_0019_0001_0001.pdb
19.557000000000002,rg_scorer_g_2_S_0020_0001_0001.pdb
19.718,rg_scorer_g_2_S_0021_0001_0001.pdb
19.762999999999998,rg_scorer_g_2_S_0022_0001_0001.pdb
