RG_SCORE,MODEL
24.051,rg_scorer_gmb_1_S_0001_0001_0001.pdb
23.982,rg_scorer_gmb_1_S_0002_0001_0001.pdb
24.151,rg_scorer_gmb_1_S_0003_0001_0001.pdb
24.074,rg_scorer_gmb_1_S_0004_0001_0001.pdb
24.093000000000004,rg_scorer_gmb_1_S_0005_0001_0001.pdb
23.964000000000002,rg_scorer_gmb_1_S_0006_0001_0001.pdb
24.107,rg_scorer_gmb_1_S_0007_0001_0001.pdb
24.037,rg_scorer_gmb_1_S_0008_0001_0001.pdb
24.051,rg_scorer_gmb_1_S_0009_0001_0001.pdb
24.070999999999998,rg_scorer_gmb_1_S_0010_0001_0001.pdb
24.228,rg_scorer_gmb_1_S_0011_0001_0001.pdb
23.905,rg_scorer_gmb_1_S_0012_0001_0001.pdb
24.08,rg_scorer_gmb_1_S_0013_0001_0001.pdb
24.065,rg_scorer_gmb_1_S_0014_0001_0001.pdb
24.058000000000003,rg_scorer_gmb_1_S_0015_0001_0001.pdb
24.033,rg_scorer_gmb_1_S_0016_0001_0001.pdb
24.009,rg_scorer_gmb_1_S_0017_0001_0001.pdb
24.073,rg_scorer_gmb_1_S_0018_0001_0001.pdb
23.989,rg_scorer_gmb_1_S_0019_0001_0001.pdb
24.072,rg_scorer_gmb_1_S_0020_0001_0001.pdb
23.973000000000003,rg_scorer_gmb_1_S_0021_0001_0001.pdb
24.162,rg_scorer_gmb_1_S_0022_0001_0001.pdb
24.035999999999998,rg_scorer_gmb_1_S_0023_0001_0001.pdb
23.995,rg_scorer_gmb_1_S_0024_0001_0001.pdb
24.076,rg_scorer_gmb_1_S_0025_0001_0001.pdb
24.034000000000002,rg_scorer_gmb_1_S_0026_0001_0001.pdb
24.236,rg_scorer_gmb_1_S_0027_0001_0001.pdb
23.969,rg_scorer_gmb_1_S_0028_0001_0001.pdb
24.15,rg_scorer_gmb_1_S_0029_0001_0001.pdb
23.980999999999998,rg_scorer_gmb_1_S_0030_0001_0001.pdb
24.022,rg_scorer_gmb_1_S_0031_0001_0001.pdb
24.099,rg_scorer_gmb_1_S_0032_0001_0001.pdb
24.057,rg_scorer_gmb_1_S_0033_0001_0001.pdb
24.109,rg_scorer_gmb_1_S_0034_0001_0001.pdb
24.072,rg_scorer_gmb_1_S_0035_0001_0001.pdb
24.116,rg_scorer_gmb_1_S_0036_0001_0001.pdb
24.115,rg_scorer_gmb_1_S_0037_0001_0001.pdb
24.044,rg_scorer_gmb_1_S_0038_0001_0001.pdb
24.14,rg_scorer_gmb_1_S_0039_0001_0001.pdb
24.096999999999998,rg_scorer_gmb_1_S_0040_0001_0001.pdb
24.089000000000002,rg_scorer_gmb_1_S_0041_0001_0001.pdb
24.17,rg_scorer_gmb_1_S_0042_0001_0001.pdb
24.089000000000002,rg_scorer_gmb_1_S_0043_0001_0001.pdb
24.079,rg_scorer_gmb_1_S_0044_0001_0001.pdb
23.926,rg_scorer_gmb_1_S_0045_0001_0001.pdb
24.11,rg_scorer_gmb_1_S_0046_0001_0001.pdb
23.994,rg_scorer_gmb_1_S_0047_0001_0001.pdb
23.983,rg_scorer_gmb_1_S_0048_0001_0001.pdb
24.028000000000002,rg_scorer_gmb_1_S_0049_0001_0001.pdb
24.06,rg_scorer_gmb_1_S_0050_0001_0001.pdb
23.967,rg_scorer_gmb_1_S_0051_0001_0001.pdb
24.003,rg_scorer_gmb_1_S_0052_0001_0001.pdb
24.094,rg_scorer_gmb_1_S_0053_0001_0001.pdb
24.008000000000003,rg_scorer_gmb_1_S_0054_0001_0001.pdb
24.066999999999997,rg_scorer_gmb_1_S_0055_0001_0001.pdb
24.115,rg_scorer_gmb_1_S_0056_0001_0001.pdb
24.111,rg_scorer_gmb_1_S_0057_0001_0001.pdb
24.01,rg_scorer_gmb_1_S_0058_0001_0001.pdb
24.115,rg_scorer_gmb_1_S_0059_0001_0001.pdb
24.104,rg_scorer_gmb_1_S_0060_0001_0001.pdb
24.054000000000002,rg_scorer_gmb_1_S_0061_0001_0001.pdb
24.121,rg_scorer_gmb_1_S_0062_0001_0001.pdb
23.951999999999998,rg_scorer_gmb_1_S_0063_0001_0001.pdb
24.092,rg_scorer_gmb_1_S_0064_0001_0001.pdb
24.079,rg_scorer_gmb_1_S_0065_0001_0001.pdb
24.031999999999996,rg_scorer_gmb_1_S_0066_0001_0001.pdb
23.985,rg_scorer_gmb_1_S_0067_0001_0001.pdb
24.037,rg_scorer_gmb_1_S_0068_0001_0001.pdb
24.105999999999998,rg_scorer_gmb_1_S_0069_0001_0001.pdb
24.127,rg_scorer_gmb_1_S_0070_0001_0001.pdb
23.906,rg_scorer_gmb_1_S_0071_0001_0001.pdb
24.074,rg_scorer_gmb_1_S_0072_0001_0001.pdb
24.03,rg_scorer_gmb_1_S_0073_0001_0001.pdb
23.964000000000002,rg_scorer_gmb_1_S_0074_0001_0001.pdb
24.035,rg_scorer_gmb_1_S_0075_0001_0001.pdb
23.961,rg_scorer_gmb_1_S_0076_0001_0001.pdb
23.967,rg_scorer_gmb_1_S_0077_0001_0001.pdb
23.967,rg_scorer_gmb_1_S_0078_0001_0001.pdb
24.066999999999997,rg_scorer_gmb_1_S_0079_0001_0001.pdb
24.02,rg_scorer_gmb_1_S_0080_0001_0001.pdb
24.016,rg_scorer_gmb_1_S_0081_0001_0001.pdb
24.004,rg_scorer_gmb_1_S_0082_0001_0001.pdb
23.951999999999998,rg_scorer_gmb_1_S_0083_0001_0001.pdb
23.967,rg_scorer_gmb_1_S_0084_0001_0001.pdb
24.029,rg_scorer_gmb_1_S_0085_0001_0001.pdb
24.066999999999997,rg_scorer_gmb_1_S_0086_0001_0001.pdb
24.076999999999998,rg_scorer_gmb_1_S_0087_0001_0001.pdb
24.135,rg_scorer_gmb_1_S_0088_0001_0001.pdb
24.084,rg_scorer_gmb_1_S_0089_0001_0001.pdb
24.002,rg_scorer_gmb_1_S_0090_0001_0001.pdb
24.063000000000002,rg_scorer_gmb_1_S_0091_0001_0001.pdb
24.070999999999998,rg_scorer_gmb_1_S_0092_0001_0001.pdb
24.016,rg_scorer_gmb_1_S_0093_0001_0001.pdb
24.114,rg_scorer_gmb_1_S_0094_0001_0001.pdb
23.964000000000002,rg_scorer_gmb_1_S_0095_0001_0001.pdb
24.037,rg_scorer_gmb_1_S_0096_0001_0001.pdb
24.000999999999998,rg_scorer_gmb_1_S_0097_0001_0001.pdb
24.018,rg_scorer_gmb_1_S_0098_0001_0001.pdb
24.055,rg_scorer_gmb_1_S_0099_0001_0001.pdb
24.103,rg_scorer_gmb_1_S_0100_0001_0001.pdb
24.006999999999998,rg_scorer_gmb_2_S_0001_0001_0001.pdb
24.07,rg_scorer_gmb_2_S_0002_0001_0001.pdb
23.996,rg_scorer_gmb_2_S_0003_0001_0001.pdb
24.087,rg_scorer_gmb_2_S_0004_0001_0001.pdb
23.974,rg_scorer_gmb_2_S_0005_0001_0001.pdb
