RG_SCORE,MODEL
20.323,rg_scorer_g_1_S_0001_0001_0001.pdb
20.232,rg_scorer_g_1_S_0002_0001_0001.pdb
20.148,rg_scorer_g_1_S_0003_0001_0001.pdb
20.215999999999998,rg_scorer_g_1_S_0004_0001_0001.pdb
20.205,rg_scorer_g_1_S_0005_0001_0001.pdb
20.133,rg_scorer_g_1_S_0006_0001_0001.pdb
20.291,rg_scorer_g_1_S_0007_0001_0001.pdb
20.221,rg_scorer_g_1_S_0008_0001_0001.pdb
20.3,rg_scorer_g_1_S_0009_0001_0001.pdb
20.215999999999998,rg_scorer_g_1_S_0010_0001_0001.pdb
20.188,rg_scorer_g_1_S_0011_0001_0001.pdb
20.163,rg_scorer_g_1_S_0012_0001_0001.pdb
20.249000000000002,rg_scorer_g_1_S_0013_0001_0001.pdb
20.234,rg_scorer_g_1_S_0014_0001_0001.pdb
20.079,rg_scorer_g_1_S_0015_0001_0001.pdb
20.284000000000002,rg_scorer_g_1_S_0016_0001_0001.pdb
20.202,rg_scorer_g_1_S_0017_0001_0001.pdb
20.276,rg_scorer_g_1_S_0018_0001_0001.pdb
20.135,rg_scorer_g_1_S_0019_0001_0001.pdb
20.229,rg_scorer_g_1_S_0020_0001_0001.pdb
20.171,rg_scorer_g_1_S_0021_0001_0001.pdb
20.213,rg_scorer_g_1_S_0022_0001_0001.pdb
20.17,rg_scorer_g_1_S_0023_0001_0001.pdb
20.331,rg_scorer_g_1_S_0024_0001_0001.pdb
20.237000000000002,rg_scorer_g_1_S_0025_0001_0001.pdb
20.202,rg_scorer_g_1_S_0026_0001_0001.pdb
20.135,rg_scorer_g_1_S_0027_0001_0001.pdb
20.222,rg_scorer_g_1_S_0028_0001_0001.pdb
20.208,rg_scorer_g_1_S_0029_0001_0001.pdb
20.189,rg_scorer_g_1_S_0030_0001_0001.pdb
20.375999999999998,rg_scorer_g_1_S_0031_0001_0001.pdb
20.24,rg_scorer_g_1_S_0032_0001_0001.pdb
20.195999999999998,rg_scorer_g_1_S_0033_0001_0001.pdb
20.2,rg_scorer_g_1_S_0034_0001_0001.pdb
20.155,rg_scorer_g_1_S_0035_0001_0001.pdb
20.136,rg_scorer_g_1_S_0036_0001_0001.pdb
20.29,rg_scorer_g_1_S_0037_0001_0001.pdb
20.027,rg_scorer_g_1_S_0038_0001_0001.pdb
20.188,rg_scorer_g_1_S_0039_0001_0001.pdb
20.319000000000003,rg_scorer_g_1_S_0040_0001_0001.pdb
20.237000000000002,rg_scorer_g_1_S_0041_0001_0001.pdb
20.187,rg_scorer_g_1_S_0042_0001_0001.pdb
20.348,rg_scorer_g_1_S_0043_0001_0001.pdb
20.149,rg_scorer_g_1_S_0044_0001_0001.pdb
20.133,rg_scorer_g_1_S_0045_0001_0001.pdb
20.317,rg_scorer_g_1_S_0046_0001_0001.pdb
20.275,rg_scorer_g_1_S_0047_0001_0001.pdb
20.338,rg_scorer_g_1_S_0048_0001_0001.pdb
20.26,rg_scorer_g_1_S_0049_0001_0001.pdb
20.317,rg_scorer_g_1_S_0050_0001_0001.pdb
20.366,rg_scorer_g_1_S_0051_0001_0001.pdb
20.087,rg_scorer_g_1_S_0052_0001_0001.pdb
20.405,rg_scorer_g_1_S_0053_0001_0001.pdb
20.157,rg_scorer_g_1_S_0054_0001_0001.pdb
20.359,rg_scorer_g_1_S_0055_0001_0001.pdb
20.08,rg_scorer_g_1_S_0056_0001_0001.pdb
20.314,rg_scorer_g_1_S_0057_0001_0001.pdb
20.24,rg_scorer_g_1_S_0058_0001_0001.pdb
20.090999999999998,rg_scorer_g_1_S_0059_0001_0001.pdb
20.2,rg_scorer_g_1_S_0060_0001_0001.pdb
20.211,rg_scorer_g_1_S_0061_0001_0001.pdb
20.305,rg_scorer_g_1_S_0062_0001_0001.pdb
20.072,rg_scorer_g_1_S_0063_0001_0001.pdb
20.084,rg_scorer_g_1_S_0064_0001_0001.pdb
20.339000000000002,rg_scorer_g_1_S_0065_0001_0001.pdb
20.413,rg_scorer_g_1_S_0066_0001_0001.pdb
20.227,rg_scorer_g_1_S_0067_0001_0001.pdb
