RG_SCORE,MODEL
26.734,rg_scorer_g_1_S_0001_0001_0001.pdb
26.598000000000003,rg_scorer_g_1_S_0002_0001_0001.pdb
26.636,rg_scorer_g_1_S_0003_0001_0001.pdb
26.653000000000002,rg_scorer_g_1_S_0004_0001_0001.pdb
26.682,rg_scorer_g_1_S_0005_0001_0001.pdb
26.65,rg_scorer_g_1_S_0006_0001_0001.pdb
26.753,rg_scorer_g_1_S_0007_0001_0001.pdb
26.625,rg_scorer_g_1_S_0008_0001_0001.pdb
26.756,rg_scorer_g_1_S_0009_0001_0001.pdb
26.656999999999996,rg_scorer_g_1_S_0010_0001_0001.pdb
26.736,rg_scorer_g_1_S_0011_0001_0001.pdb
26.729,rg_scorer_g_1_S_0012_0001_0001.pdb
26.628,rg_scorer_g_1_S_0013_0001_0001.pdb
26.717,rg_scorer_g_1_S_0014_0001_0001.pdb
26.819000000000003,rg_scorer_g_1_S_0015_0001_0001.pdb
26.713,rg_scorer_g_1_S_0016_0001_0001.pdb
26.56,rg_scorer_g_1_S_0017_0001_0001.pdb
26.71,rg_scorer_g_1_S_0018_0001_0001.pdb
26.653000000000002,rg_scorer_g_1_S_0019_0001_0001.pdb
26.697,rg_scorer_g_1_S_0020_0001_0001.pdb
26.623,rg_scorer_g_1_S_0021_0001_0001.pdb
26.734,rg_scorer_g_1_S_0022_0001_0001.pdb
26.709,rg_scorer_g_1_S_0023_0001_0001.pdb
26.719,rg_scorer_g_1_S_0024_0001_0001.pdb
26.656,rg_scorer_g_1_S_0025_0001_0001.pdb
26.648000000000003,rg_scorer_g_1_S_0026_0001_0001.pdb
26.744,rg_scorer_g_1_S_0027_0001_0001.pdb
26.613000000000003,rg_scorer_g_1_S_0028_0001_0001.pdb
26.686999999999998,rg_scorer_g_1_S_0029_0001_0001.pdb
26.804000000000002,rg_scorer_g_1_S_0030_0001_0001.pdb
26.691999999999997,rg_scorer_g_1_S_0031_0001_0001.pdb
26.7,rg_scorer_g_1_S_0032_0001_0001.pdb
