RG_SCORE,MODEL
13.812999999999999,rg_scorer_1_S_00000001_0001_0001.pdb
14.09,rg_scorer_1_S_00000002_0001_0001.pdb
14.045,rg_scorer_1_S_00000003_0001_0001.pdb
14.059000000000001,rg_scorer_1_S_00000004_0001_0001.pdb
14.032,rg_scorer_1_S_00000005_0001_0001.pdb
14.08,rg_scorer_1_S_00000006_0001_0001.pdb
13.887,rg_scorer_1_S_00000007_0001_0001.pdb
13.817,rg_scorer_1_S_00000008_0001_0001.pdb
13.845999999999998,rg_scorer_1_S_00000009_0001_0001.pdb
14.056,rg_scorer_1_S_00000010_0001_0001.pdb
14.107999999999999,rg_scorer_1_S_00000011_0001_0001.pdb
14.094000000000001,rg_scorer_1_S_00000012_0001_0001.pdb
13.857000000000001,rg_scorer_1_S_00000013_0001_0001.pdb
14.072000000000001,rg_scorer_1_S_00000014_0001_0001.pdb
14.06,rg_scorer_1_S_00000015_0001_0001.pdb
13.953,rg_scorer_1_S_00000016_0001_0001.pdb
13.931,rg_scorer_1_S_00000017_0001_0001.pdb
14.009,rg_scorer_1_S_00000018_0001_0001.pdb
14.023,rg_scorer_1_S_00000019_0001_0001.pdb
14.014000000000001,rg_scorer_1_S_00000020_0001_0001.pdb
14.034,rg_scorer_1_S_00000021_0001_0001.pdb
14.172,rg_scorer_1_S_00000022_0001_0001.pdb
14.003,rg_scorer_1_S_00000023_0001_0001.pdb
14.033,rg_scorer_1_S_00000024_0001_0001.pdb
14.14,rg_scorer_1_S_00000025_0001_0001.pdb
14.100999999999999,rg_scorer_1_S_00000026_0001_0001.pdb
13.995999999999999,rg_scorer_1_S_00000027_0001_0001.pdb
14.11,rg_scorer_1_S_00000028_0001_0001.pdb
14.005,rg_scorer_1_S_00000029_0001_0001.pdb
14.078,rg_scorer_1_S_00000030_0001_0001.pdb
13.821,rg_scorer_1_S_00000031_0001_0001.pdb
13.939,rg_scorer_1_S_00000032_0001_0001.pdb
14.106,rg_scorer_1_S_00000033_0001_0001.pdb
13.940999999999999,rg_scorer_1_S_00000034_0001_0001.pdb
14.035,rg_scorer_1_S_00000035_0001_0001.pdb
13.997,rg_scorer_1_S_00000036_0001_0001.pdb
13.776,rg_scorer_1_S_00000037_0001_0001.pdb
13.964,rg_scorer_1_S_00000038_0001_0001.pdb
14.065999999999999,rg_scorer_1_S_00000039_0001_0001.pdb
14.151,rg_scorer_1_S_00000040_0001_0001.pdb
13.929,rg_scorer_1_S_00000041_0001_0001.pdb
13.949000000000002,rg_scorer_1_S_00000042_0001_0001.pdb
14.129000000000001,rg_scorer_1_S_00000043_0001_0001.pdb
14.014000000000001,rg_scorer_1_S_00000044_0001_0001.pdb
13.943,rg_scorer_1_S_00000045_0001_0001.pdb
13.895,rg_scorer_1_S_00000046_0001_0001.pdb
14.065,rg_scorer_1_S_00000047_0001_0001.pdb
14.117,rg_scorer_1_S_00000048_0001_0001.pdb
14.052,rg_scorer_1_S_00000049_0001_0001.pdb
14.155,rg_scorer_1_S_00000050_0001_0001.pdb
14.088,rg_scorer_1_S_00000051_0001_0001.pdb
13.985,rg_scorer_1_S_00000052_0001_0001.pdb
14.052,rg_scorer_1_S_00000053_0001_0001.pdb
14.001,rg_scorer_1_S_00000054_0001_0001.pdb
13.995,rg_scorer_1_S_00000055_0001_0001.pdb
14.037,rg_scorer_1_S_00000056_0001_0001.pdb
14.046,rg_scorer_1_S_00000057_0001_0001.pdb
13.95,rg_scorer_1_S_00000058_0001_0001.pdb
13.847000000000001,rg_scorer_1_S_00000059_0001_0001.pdb
13.966,rg_scorer_1_S_00000060_0001_0001.pdb
13.999,rg_scorer_1_S_00000061_0001_0001.pdb
13.890999999999998,rg_scorer_1_S_00000062_0001_0001.pdb
13.942,rg_scorer_1_S_00000063_0001_0001.pdb
13.998,rg_scorer_1_S_00000064_0001_0001.pdb
14.089,rg_scorer_1_S_00000065_0001_0001.pdb
13.957,rg_scorer_1_S_00000066_0001_0001.pdb
14.067,rg_scorer_1_S_00000067_0001_0001.pdb
14.064,rg_scorer_1_S_00000068_0001_0001.pdb
13.776,rg_scorer_1_S_00000069_0001_0001.pdb
14.038,rg_scorer_1_S_00000070_0001_0001.pdb
14.068,rg_scorer_1_S_00000071_0001_0001.pdb
13.853,rg_scorer_1_S_00000072_0001_0001.pdb
14.020999999999999,rg_scorer_1_S_00000073_0001_0001.pdb
14.015999999999998,rg_scorer_1_S_00000074_0001_0001.pdb
14.187999999999999,rg_scorer_1_S_00000075_0001_0001.pdb
14.046,rg_scorer_1_S_00000076_0001_0001.pdb
14.025,rg_scorer_1_S_00000077_0001_0001.pdb
13.981,rg_scorer_1_S_00000078_0001_0001.pdb
13.915999999999999,rg_scorer_1_S_00000079_0001_0001.pdb
14.029000000000002,rg_scorer_1_S_00000080_0001_0001.pdb
14.082,rg_scorer_1_S_00000081_0001_0001.pdb
14.052,rg_scorer_1_S_00000082_0001_0001.pdb
13.981,rg_scorer_1_S_00000083_0001_0001.pdb
13.977,rg_scorer_1_S_00000084_0001_0001.pdb
13.917,rg_scorer_1_S_00000085_0001_0001.pdb
14.011,rg_scorer_1_S_00000086_0001_0001.pdb
13.989,rg_scorer_1_S_00000087_0001_0001.pdb
14.078,rg_scorer_1_S_00000088_0001_0001.pdb
14.116,rg_scorer_1_S_00000089_0001_0001.pdb
14.084000000000001,rg_scorer_1_S_00000090_0001_0001.pdb
14.04,rg_scorer_1_S_00000091_0001_0001.pdb
14.069,rg_scorer_1_S_00000092_0001_0001.pdb
13.842,rg_scorer_1_S_00000093_0001_0001.pdb
13.933,rg_scorer_1_S_00000094_0001_0001.pdb
13.96,rg_scorer_1_S_00000095_0001_0001.pdb
13.832,rg_scorer_1_S_00000096_0001_0001.pdb
14.062999999999999,rg_scorer_1_S_00000097_0001_0001.pdb
13.987,rg_scorer_1_S_00000098_0001_0001.pdb
14.02,rg_scorer_1_S_00000099_0001_0001.pdb
13.937999999999999,rg_scorer_1_S_00000100_0001_0001.pdb
