RG_SCORE,MODEL
21.566999999999997,rg_scorer_g_1_S_0001_0001_0001.pdb
21.479,rg_scorer_g_1_S_0002_0001_0001.pdb
21.546,rg_scorer_g_1_S_0003_0001_0001.pdb
21.541,rg_scorer_g_1_S_0004_0001_0001.pdb
21.649,rg_scorer_g_1_S_0005_0001_0001.pdb
21.643,rg_scorer_g_1_S_0006_0001_0001.pdb
21.537,rg_scorer_g_1_S_0007_0001_0001.pdb
21.68,rg_scorer_g_1_S_0008_0001_0001.pdb
21.604,rg_scorer_g_1_S_0009_0001_0001.pdb
21.671,rg_scorer_g_1_S_0010_0001_0001.pdb
21.808000000000003,rg_scorer_g_1_S_0011_0001_0001.pdb
21.641,rg_scorer_g_1_S_0012_0001_0001.pdb
21.539,rg_scorer_g_1_S_0013_0001_0001.pdb
21.618000000000002,rg_scorer_g_1_S_0014_0001_0001.pdb
21.578000000000003,rg_scorer_g_1_S_0015_0001_0001.pdb
21.595,rg_scorer_g_1_S_0016_0001_0001.pdb
21.555,rg_scorer_g_1_S_0017_0001_0001.pdb
21.570999999999998,rg_scorer_g_1_S_0018_0001_0001.pdb
21.555,rg_scorer_g_1_S_0019_0001_0001.pdb
21.514,rg_scorer_g_1_S_0020_0001_0001.pdb
21.465999999999998,rg_scorer_g_1_S_0021_0001_0001.pdb
21.658,rg_scorer_g_1_S_0022_0001_0001.pdb
21.546999999999997,rg_scorer_g_1_S_0023_0001_0001.pdb
21.58,rg_scorer_g_1_S_0024_0001_0001.pdb
21.759,rg_scorer_g_1_S_0025_0001_0001.pdb
21.496,rg_scorer_g_1_S_0026_0001_0001.pdb
21.601999999999997,rg_scorer_g_1_S_0027_0001_0001.pdb
21.682,rg_scorer_g_1_S_0028_0001_0001.pdb
21.589000000000002,rg_scorer_g_1_S_0029_0001_0001.pdb
21.506999999999998,rg_scorer_g_1_S_0030_0001_0001.pdb
21.576,rg_scorer_g_1_S_0031_0001_0001.pdb
21.682,rg_scorer_g_1_S_0032_0001_0001.pdb
21.674,rg_scorer_g_1_S_0033_0001_0001.pdb
21.639,rg_scorer_g_1_S_0034_0001_0001.pdb
21.772,rg_scorer_g_1_S_0035_0001_0001.pdb
21.366,rg_scorer_g_1_S_0036_0001_0001.pdb
21.406999999999996,rg_scorer_g_1_S_0037_0001_0001.pdb
21.695,rg_scorer_g_1_S_0038_0001_0001.pdb
21.701999999999998,rg_scorer_g_1_S_0039_0001_0001.pdb
21.388,rg_scorer_g_1_S_0040_0001_0001.pdb
