RG_SCORE,MODEL
17.035999999999998,rg_scorer_g_1_S_0001_0001_0001.pdb
16.980999999999998,rg_scorer_g_1_S_0002_0001_0001.pdb
17.109,rg_scorer_g_1_S_0003_0001_0001.pdb
16.901,rg_scorer_g_1_S_0004_0001_0001.pdb
16.944000000000003,rg_scorer_g_1_S_0005_0001_0001.pdb
16.979,rg_scorer_g_1_S_0006_0001_0001.pdb
17.033,rg_scorer_g_1_S_0007_0001_0001.pdb
17.073,rg_scorer_g_1_S_0008_0001_0001.pdb
17.1,rg_scorer_g_1_S_0009_0001_0001.pdb
16.941,rg_scorer_g_1_S_0010_0001_0001.pdb
16.941,rg_scorer_g_1_S_0011_0001_0001.pdb
16.902,rg_scorer_g_1_S_0012_0001_0001.pdb
17.112000000000002,rg_scorer_g_1_S_0013_0001_0001.pdb
16.8,rg_scorer_g_1_S_0014_0001_0001.pdb
17.163,rg_scorer_g_1_S_0015_0001_0001.pdb
16.996,rg_scorer_g_1_S_0016_0001_0001.pdb
16.855999999999998,rg_scorer_g_1_S_0017_0001_0001.pdb
16.987000000000002,rg_scorer_g_1_S_0018_0001_0001.pdb
16.977,rg_scorer_g_1_S_0019_0001_0001.pdb
16.973,rg_scorer_g_1_S_0020_0001_0001.pdb
16.961,rg_scorer_g_1_S_0021_0001_0001.pdb
17.07,rg_scorer_g_1_S_0022_0001_0001.pdb
17.269000000000002,rg_scorer_g_1_S_0023_0001_0001.pdb
16.989,rg_scorer_g_1_S_0024_0001_0001.pdb
17.029,rg_scorer_g_1_S_0025_0001_0001.pdb
16.932000000000002,rg_scorer_g_1_S_0026_0001_0001.pdb
17.122,rg_scorer_g_1_S_0027_0001_0001.pdb
17.012,rg_scorer_g_1_S_0028_0001_0001.pdb
17.209,rg_scorer_g_1_S_0029_0001_0001.pdb
16.985,rg_scorer_g_1_S_0030_0001_0001.pdb
17.055999999999997,rg_scorer_g_1_S_0031_0001_0001.pdb
17.011,rg_scorer_g_1_S_0032_0001_0001.pdb
16.982,rg_scorer_g_1_S_0033_0001_0001.pdb
16.999000000000002,rg_scorer_g_1_S_0034_0001_0001.pdb
17.117,rg_scorer_g_1_S_0035_0001_0001.pdb
16.971,rg_scorer_g_1_S_0036_0001_0001.pdb
16.937,rg_scorer_g_1_S_0037_0001_0001.pdb
16.992,rg_scorer_g_1_S_0038_0001_0001.pdb
17.003,rg_scorer_g_1_S_0039_0001_0001.pdb
17.018,rg_scorer_g_1_S_0040_0001_0001.pdb
17.097,rg_scorer_g_1_S_0041_0001_0001.pdb
17.024,rg_scorer_g_1_S_0042_0001_0001.pdb
16.974,rg_scorer_g_1_S_0043_0001_0001.pdb
17.065,rg_scorer_g_1_S_0044_0001_0001.pdb
16.939,rg_scorer_g_1_S_0045_0001_0001.pdb
17.098,rg_scorer_g_1_S_0046_0001_0001.pdb
17.034000000000002,rg_scorer_g_1_S_0047_0001_0001.pdb
17.122,rg_scorer_g_1_S_0048_0001_0001.pdb
17.03,rg_scorer_g_1_S_0049_0001_0001.pdb
17.002,rg_scorer_g_1_S_0050_0001_0001.pdb
16.942,rg_scorer_g_1_S_0051_0001_0001.pdb
16.840999999999998,rg_scorer_g_1_S_0052_0001_0001.pdb
