RG_SCORE,MODEL
15.739,rg_scorer_1_F_00000002_0001_0001.pdb
15.805,rg_scorer_1_F_00000004_0001_0001.pdb
16.618,rg_scorer_1_F_00000005_0001_0001.pdb
16.72,rg_scorer_1_F_00000006_0001_0001.pdb
18.171,rg_scorer_1_F_00000007_0001_0001.pdb
15.388,rg_scorer_1_F_00000008_0001_0001.pdb
15.277000000000001,rg_scorer_1_F_00000009_0001_0001.pdb
15.709000000000001,rg_scorer_1_F_00000010_0001_0001.pdb
17.526,rg_scorer_1_F_00000011_0001_0001.pdb
15.002,rg_scorer_1_F_00000012_0001_0001.pdb
15.97,rg_scorer_1_F_00000015_0001_0001.pdb
14.956,rg_scorer_1_F_00000016_0001_0001.pdb
15.443,rg_scorer_1_F_00000017_0001_0001.pdb
16.027,rg_scorer_1_F_00000018_0001_0001.pdb
15.475999999999999,rg_scorer_1_F_00000019_0001_0001.pdb
16.64,rg_scorer_1_F_00000020_0001_0001.pdb
15.970999999999998,rg_scorer_1_F_00000021_0001_0001.pdb
15.380999999999998,rg_scorer_1_F_00000025_0001_0001.pdb
15.517999999999999,rg_scorer_1_F_00000026_0001_0001.pdb
15.780999999999999,rg_scorer_1_F_00000027_0001_0001.pdb
16.212,rg_scorer_1_F_00000033_0001_0001.pdb
16.146,rg_scorer_1_F_00000034_0001_0001.pdb
17.410999999999998,rg_scorer_1_F_00000037_0001_0001.pdb
15.254000000000001,rg_scorer_1_F_00000043_0001_0001.pdb
17.282,rg_scorer_1_F_00000044_0001_0001.pdb
16.177,rg_scorer_1_F_00000046_0001_0001.pdb
15.628,rg_scorer_1_F_00000055_0001_0001.pdb
14.532,rg_scorer_1_F_00000059_0001_0001.pdb
15.192,rg_scorer_1_F_00000061_0001_0001.pdb
15.925999999999998,rg_scorer_1_F_00000062_0001_0001.pdb
16.011,rg_scorer_1_F_00000065_0001_0001.pdb
15.200999999999999,rg_scorer_1_F_00000071_0001_0001.pdb
15.899000000000001,rg_scorer_1_F_00000072_0001_0001.pdb
15.959000000000001,rg_scorer_1_F_00000073_0001_0001.pdb
15.924000000000001,rg_scorer_1_F_00000074_0001_0001.pdb
15.654000000000002,rg_scorer_1_F_00000076_0001_0001.pdb
16.302,rg_scorer_1_F_00000078_0001_0001.pdb
15.663,rg_scorer_1_F_00000079_0001_0001.pdb
15.779000000000002,rg_scorer_1_F_00000080_0001_0001.pdb
15.992,rg_scorer_1_F_00000081_0001_0001.pdb
16.102999999999998,rg_scorer_1_F_00000084_0001_0001.pdb
15.095,rg_scorer_1_F_00000087_0001_0001.pdb
16.394000000000002,rg_scorer_1_F_00000088_0001_0001.pdb
15.681,rg_scorer_1_F_00000089_0001_0001.pdb
16.422,rg_scorer_1_F_00000093_0001_0001.pdb
15.163,rg_scorer_1_F_00000095_0001_0001.pdb
15.104000000000001,rg_scorer_1_F_00000098_0001_0001.pdb
15.276,rg_scorer_1_F_00000099_0001_0001.pdb
15.470999999999998,rg_scorer_1_S_00000001_0001_0001.pdb
15.419,rg_scorer_1_S_00000003_0001_0001.pdb
15.276,rg_scorer_1_S_00000013_0001_0001.pdb
14.67,rg_scorer_1_S_00000014_0001_0001.pdb
14.624,rg_scorer_1_S_00000022_0001_0001.pdb
14.443,rg_scorer_1_S_00000023_0001_0001.pdb
15.708,rg_scorer_1_S_00000024_0001_0001.pdb
14.943,rg_scorer_1_S_00000028_0001_0001.pdb
14.577,rg_scorer_1_S_00000029_0001_0001.pdb
15.085999999999999,rg_scorer_1_S_00000030_0001_0001.pdb
15.369000000000002,rg_scorer_1_S_00000031_0001_0001.pdb
15.735999999999999,rg_scorer_1_S_00000032_0001_0001.pdb
15.764000000000001,rg_scorer_1_S_00000035_0001_0001.pdb
16.58,rg_scorer_1_S_00000036_0001_0001.pdb
15.175999999999998,rg_scorer_1_S_00000038_0001_0001.pdb
15.315,rg_scorer_1_S_00000039_0001_0001.pdb
14.924000000000001,rg_scorer_1_S_00000040_0001_0001.pdb
16.926,rg_scorer_1_S_00000041_0001_0001.pdb
15.217,rg_scorer_1_S_00000042_0001_0001.pdb
14.774000000000001,rg_scorer_1_S_00000045_0001_0001.pdb
15.788,rg_scorer_1_S_00000047_0001_0001.pdb
15.799000000000001,rg_scorer_1_S_00000048_0001_0001.pdb
15.085999999999999,rg_scorer_1_S_00000049_0001_0001.pdb
15.169,rg_scorer_1_S_00000050_0001_0001.pdb
15.251,rg_scorer_1_S_00000051_0001_0001.pdb
14.758,rg_scorer_1_S_00000052_0001_0001.pdb
16.483,rg_scorer_1_S_00000053_0001_0001.pdb
14.582,rg_scorer_1_S_00000054_0001_0001.pdb
14.967,rg_scorer_1_S_00000056_0001_0001.pdb
15.038,rg_scorer_1_S_00000057_0001_0001.pdb
15.440999999999999,rg_scorer_1_S_00000058_0001_0001.pdb
14.637,rg_scorer_1_S_00000060_0001_0001.pdb
14.607999999999999,rg_scorer_1_S_00000063_0001_0001.pdb
15.734000000000002,rg_scorer_1_S_00000064_0001_0001.pdb
15.025,rg_scorer_1_S_00000066_0001_0001.pdb
16.122,rg_scorer_1_S_00000067_0001_0001.pdb
14.655,rg_scorer_1_S_00000068_0001_0001.pdb
14.685,rg_scorer_1_S_00000069_0001_0001.pdb
14.805,rg_scorer_1_S_00000070_0001_0001.pdb
15.532,rg_scorer_1_S_00000075_0001_0001.pdb
15.184000000000001,rg_scorer_1_S_00000077_0001_0001.pdb
14.558,rg_scorer_1_S_00000082_0001_0001.pdb
15.252,rg_scorer_1_S_00000083_0001_0001.pdb
14.513,rg_scorer_1_S_00000085_0001_0001.pdb
15.399000000000001,rg_scorer_1_S_00000086_0001_0001.pdb
16.258,rg_scorer_1_S_00000090_0001_0001.pdb
14.66,rg_scorer_1_S_00000091_0001_0001.pdb
16.555999999999997,rg_scorer_1_S_00000092_0001_0001.pdb
16.002,rg_scorer_1_S_00000094_0001_0001.pdb
16.765,rg_scorer_1_S_00000096_0001_0001.pdb
15.89,rg_scorer_1_S_00000097_0001_0001.pdb
14.411,rg_scorer_1_S_00000100_0001_0001.pdb
16.1,rg_scorer_2_F_00000001_0001_0001.pdb
16.425,rg_scorer_2_F_00000002_0001_0001.pdb
15.782,rg_scorer_2_F_00000003_0001_0001.pdb
16.507,rg_scorer_2_F_00000004_0001_0001.pdb
15.220999999999998,rg_scorer_2_F_00000008_0001_0001.pdb
15.183,rg_scorer_2_F_00000009_0001_0001.pdb
15.913,rg_scorer_2_F_00000015_0001_0001.pdb
16.441,rg_scorer_2_F_00000017_0001_0001.pdb
15.994000000000002,rg_scorer_2_F_00000018_0001_0001.pdb
14.905,rg_scorer_2_F_00000019_0001_0001.pdb
15.485,rg_scorer_2_F_00000024_0001_0001.pdb
15.697000000000001,rg_scorer_2_F_00000025_0001_0001.pdb
16.002,rg_scorer_2_F_00000027_0001_0001.pdb
14.832,rg_scorer_2_F_00000029_0001_0001.pdb
14.98,rg_scorer_2_F_00000035_0001_0001.pdb
16.089000000000002,rg_scorer_2_F_00000045_0001_0001.pdb
18.93,rg_scorer_2_F_00000047_0001_0001.pdb
15.369000000000002,rg_scorer_2_F_00000048_0001_0001.pdb
14.552,rg_scorer_2_F_00000049_0001_0001.pdb
15.356,rg_scorer_2_F_00000051_0001_0001.pdb
15.585,rg_scorer_2_F_00000052_0001_0001.pdb
14.755,rg_scorer_2_F_00000054_0001_0001.pdb
15.020999999999999,rg_scorer_2_F_00000055_0001_0001.pdb
14.609000000000002,rg_scorer_2_F_00000057_0001_0001.pdb
17.06,rg_scorer_2_F_00000061_0001_0001.pdb
14.995,rg_scorer_2_F_00000062_0001_0001.pdb
16.419,rg_scorer_2_F_00000064_0001_0001.pdb
16.608,rg_scorer_2_F_00000066_0001_0001.pdb
15.097999999999999,rg_scorer_2_F_00000068_0001_0001.pdb
14.98,rg_scorer_2_F_00000069_0001_0001.pdb
16.296,rg_scorer_2_F_00000071_0001_0001.pdb
15.255999999999998,rg_scorer_2_F_00000073_0001_0001.pdb
15.450999999999999,rg_scorer_2_F_00000074_0001_0001.pdb
16.128,rg_scorer_2_F_00000077_0001_0001.pdb
14.898,rg_scorer_2_F_00000079_0001_0001.pdb
15.923,rg_scorer_2_F_00000082_0001_0001.pdb
15.193,rg_scorer_2_F_00000084_0001_0001.pdb
16.383,rg_scorer_2_F_00000085_0001_0001.pdb
16.609,rg_scorer_2_F_00000087_0001_0001.pdb
14.923,rg_scorer_2_F_00000091_0001_0001.pdb
15.157,rg_scorer_2_F_00000093_0001_0001.pdb
15.055,rg_scorer_2_F_00000095_0001_0001.pdb
15.487,rg_scorer_2_F_00000097_0001_0001.pdb
15.502,rg_scorer_2_F_00000100_0001_0001.pdb
15.012,rg_scorer_2_S_00000005_0001_0001.pdb
15.402999999999999,rg_scorer_2_S_00000006_0001_0001.pdb
16.992,rg_scorer_2_S_00000007_0001_0001.pdb
15.532,rg_scorer_2_S_00000010_0001_0001.pdb
15.44,rg_scorer_2_S_00000011_0001_0001.pdb
16.915,rg_scorer_2_S_00000012_0001_0001.pdb
14.609000000000002,rg_scorer_2_S_00000013_0001_0001.pdb
15.443,rg_scorer_2_S_00000014_0001_0001.pdb
15.097999999999999,rg_scorer_2_S_00000016_0001_0001.pdb
14.692,rg_scorer_2_S_00000020_0001_0001.pdb
15.587,rg_scorer_2_S_00000021_0001_0001.pdb
15.32,rg_scorer_2_S_00000022_0001_0001.pdb
15.414000000000001,rg_scorer_2_S_00000023_0001_0001.pdb
15.262,rg_scorer_2_S_00000026_0001_0001.pdb
15.460999999999999,rg_scorer_2_S_00000028_0001_0001.pdb
15.844000000000001,rg_scorer_2_S_00000030_0001_0001.pdb
16.483,rg_scorer_2_S_00000031_0001_0001.pdb
15.401,rg_scorer_2_S_00000032_0001_0001.pdb
14.424000000000001,rg_scorer_2_S_00000033_0001_0001.pdb
15.26,rg_scorer_2_S_00000034_0001_0001.pdb
15.335999999999999,rg_scorer_2_S_00000036_0001_0001.pdb
14.935,rg_scorer_2_S_00000037_0001_0001.pdb
14.876,rg_scorer_2_S_00000038_0001_0001.pdb
14.753,rg_scorer_2_S_00000039_0001_0001.pdb
15.154000000000002,rg_scorer_2_S_00000040_0001_0001.pdb
14.53,rg_scorer_2_S_00000041_0001_0001.pdb
15.767999999999999,rg_scorer_2_S_00000042_0001_0001.pdb
15.370999999999999,rg_scorer_2_S_00000043_0001_0001.pdb
15.919,rg_scorer_2_S_00000044_0001_0001.pdb
16.366,rg_scorer_2_S_00000046_0001_0001.pdb
16.643,rg_scorer_2_S_00000050_0001_0001.pdb
15.177999999999999,rg_scorer_2_S_00000053_0001_0001.pdb
16.324,rg_scorer_2_S_00000056_0001_0001.pdb
15.243,rg_scorer_2_S_00000058_0001_0001.pdb
14.491,rg_scorer_2_S_00000059_0001_0001.pdb
16.711,rg_scorer_2_S_00000060_0001_0001.pdb
16.548,rg_scorer_2_S_00000063_0001_0001.pdb
15.288,rg_scorer_2_S_00000065_0001_0001.pdb
16.340999999999998,rg_scorer_2_S_00000067_0001_0001.pdb
14.599,rg_scorer_2_S_00000070_0001_0001.pdb
14.98,rg_scorer_2_S_00000072_0001_0001.pdb
14.99,rg_scorer_2_S_00000075_0001_0001.pdb
15.259,rg_scorer_2_S_00000076_0001_0001.pdb
14.978,rg_scorer_2_S_00000078_0001_0001.pdb
14.849,rg_scorer_2_S_00000080_0001_0001.pdb
15.633,rg_scorer_2_S_00000081_0001_0001.pdb
16.642,rg_scorer_2_S_00000083_0001_0001.pdb
16.195,rg_scorer_2_S_00000086_0001_0001.pdb
15.637,rg_scorer_2_S_00000088_0001_0001.pdb
16.275,rg_scorer_2_S_00000089_0001_0001.pdb
15.382,rg_scorer_2_S_00000090_0001_0001.pdb
14.687999999999999,rg_scorer_2_S_00000092_0001_0001.pdb
15.195,rg_scorer_2_S_00000094_0001_0001.pdb
15.163,rg_scorer_2_S_00000096_0001_0001.pdb
15.524000000000001,rg_scorer_2_S_00000098_0001_0001.pdb
15.525,rg_scorer_2_S_00000099_0001_0001.pdb
15.265999999999998,rg_scorer_3_F_00000005_0001_0001.pdb
16.441,rg_scorer_3_F_00000008_0001_0001.pdb
15.908,rg_scorer_3_F_00000009_0001_0001.pdb
15.324000000000002,rg_scorer_3_F_00000010_0001_0001.pdb
14.530999999999999,rg_scorer_3_F_00000013_0001_0001.pdb
