Protein_ID,Protein_SeqL,Protein_EXP_CCS,Protein_Class,Protein_Architecture,Decoy_CCS,Rosetta_Sc,IM_Sc,Decoy_RMSD,Decoy_TMsc,Decoy_Model
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2853.7,-952.413,-952.2204120713305,8.097697257995605,0.8732,r_1_S_0001_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2856.2,-898.947,-898.947,7.8968567848205575,0.8442,r_1_S_0002_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2871.62,-1030.984,-1030.984,4.357869625091554,0.9161,r_1_S_0003_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2981.3,-924.116,-824.116,7.027567386627197,0.8901,r_1_S_0004_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2841.81,-908.422,-901.7482467925926,8.120643615722656,0.8567,r_1_S_0005_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,3010.17,-1030.746,-930.7460000000001,4.6400179862976065,0.9243,r_1_S_0006_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2892.89,-885.515,-876.2712447925927,8.563948631286621,0.9006,r_1_S_0007_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2914.55,-959.371,-920.0473824074071,7.582668781280518,0.8551,r_1_S_0008_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2910.27,-803.692,-771.2364098718793,8.909175872802734,0.8728,r_1_S_0009_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2893.49,-862.89,-853.0281836074076,8.33626651763916,0.8401,r_1_S_0010_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2929.39,-946.699,-882.8776940244172,9.378243446350098,0.7966,r_1_S_0011_0001
1QOY_HM,300,2866,Mainly Alpha,Up-down Bundle,2868.42,-1047.208,-1047.208,3.1712775230407715,0.9257,r_1_S_0012_0001
